step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,5.594156,0.362815,0.000000,5.590482,
1000,2.207242,0.424394,0.000000,2.169178,
2000,2.039901,0.478618,0.000000,2.027015,
3000,1.964721,0.492003,0.000000,1.961587,
4000,1.913127,0.496931,0.000000,1.926827,
5000,1.882647,0.498825,0.000000,1.875854,
6000,1.861640,0.499580,0.000000,1.861254,
7000,1.842754,0.499873,0.000000,1.838924,
8000,1.823402,0.500044,0.000000,1.818923,
9000,1.809018,0.499914,0.000000,1.798023,
10000,1.796497,0.499980,0.000000,1.791744,
11000,1.769637,0.499939,0.000000,1.760782,
12000,1.752831,0.500023,0.000000,1.750779,
13000,1.737750,0.499956,0.000000,1.737965,
14000,1.730750,0.499983,0.000000,1.730795,
15000,1.711457,0.500043,0.000000,1.715551,
16000,1.707151,0.500028,0.000000,1.710457,
17000,1.696259,0.500033,0.000000,1.698974,
18000,1.693533,0.500030,0.000000,1.688467,
19000,1.686014,0.499980,0.000000,1.685096,
20000,1.671168,0.499981,0.000000,1.675090,
21000,1.678315,0.500048,0.000000,1.670349,
22000,1.662845,0.499946,0.000000,1.667243,
23000,1.658755,0.499932,0.000000,1.665353,
24000,1.652573,0.499996,0.000000,1.655694,
25000,1.650965,0.499974,0.000000,1.654388,
26000,1.646574,0.499998,0.000000,1.651869,
27000,1.636617,0.500004,0.000000,1.641076,
28000,1.631048,0.500046,0.000000,1.642983,
29000,1.635334,0.500034,0.000000,1.635729,
30000,1.633291,0.499963,0.000000,1.634680,
31000,1.631561,0.500041,0.000000,1.631197,
32000,1.634050,0.500007,0.000000,1.629248,
33000,1.617345,0.499960,0.000000,1.626585,
34000,1.624226,0.499957,0.000000,1.622087,
35000,1.616542,0.500035,0.000000,1.619431,
36000,1.612049,0.499977,0.000000,1.615599,
37000,1.605378,0.499982,0.000000,1.617549,
38000,1.613654,0.500003,0.000000,1.611578,
39000,1.602162,0.499977,0.000000,1.609314,
40000,1.603636,0.500058,0.000000,1.606074,
41000,1.601981,0.500011,0.000000,1.605503,
42000,1.591326,0.499948,0.000000,1.604634,
43000,1.608163,0.499987,0.000000,1.600591,
44000,1.602363,0.500016,0.000000,1.598923,
45000,1.600188,0.500016,0.000000,1.594854,
46000,1.586876,0.500051,0.000000,1.595479,
47000,1.584397,0.500037,0.000000,1.589747,
48000,1.589572,0.500024,0.000000,1.586298,
49000,1.585842,0.499956,0.000000,1.587758,
50000,1.583489,0.500002,0.000000,1.585746,
51000,1.579013,0.499931,0.000000,1.586304,
52000,1.583106,0.499998,0.000000,1.581459,
53000,1.578618,0.499952,0.000000,1.581333,
54000,1.576151,0.500034,0.000000,1.578737,
55000,1.573860,0.500010,0.000000,1.576572,
56000,1.581884,0.500092,0.000000,1.573788,
57000,1.565685,0.499965,0.000000,1.570993,
58000,1.563271,0.499986,0.000000,1.570809,
59000,1.570173,0.499970,0.000000,1.567299,
60000,1.565551,0.500015,0.000000,1.568469,
61000,1.560528,0.499840,0.000000,1.565411,
62000,1.572266,0.499980,0.000000,1.565234,
63000,1.565512,0.500035,0.000000,1.561935,
64000,1.561954,0.499938,0.000000,1.560724,
65000,1.551676,0.499959,0.000000,1.559789,
66000,1.557287,0.499986,0.000000,1.556505,
67000,1.551479,0.500031,0.000000,1.556029,
68000,1.547625,0.500112,0.000000,1.554599,
69000,1.554314,0.500064,0.000000,1.554397,
70000,1.549970,0.499905,0.000000,1.551536,
71000,1.545117,0.499932,0.000000,1.549575,
72000,1.545187,0.500025,0.000000,1.548427,
73000,1.539114,0.499973,0.000000,1.548345,
74000,1.550690,0.499943,0.000000,1.547382,
75000,1.543324,0.499974,0.000000,1.545874,
76000,1.536586,0.500013,0.000000,1.542626,
77000,1.540121,0.500076,0.000000,1.542761,
78000,1.542820,0.499950,0.000000,1.541647,
79000,1.536324,0.500006,0.000000,1.539926,
80000,1.534593,0.499965,0.000000,1.540073,
81000,1.533432,0.500040,0.000000,1.538016,
82000,1.540608,0.500188,0.000000,1.537253,
83000,1.529897,0.499929,0.000000,1.536096,
84000,1.540165,0.499956,0.000000,1.536405,
85000,1.532009,0.500077,0.000000,1.534692,
86000,1.530249,0.499890,0.000000,1.534040,
87000,1.520953,0.500001,0.000000,1.532806,
88000,1.536506,0.499977,0.000000,1.532983,
89000,1.535959,0.500278,0.000000,1.530986,
90000,1.532037,0.499881,0.000000,1.531381,
91000,1.531886,0.499932,0.000000,1.530330,
92000,1.528406,0.499900,0.000000,1.530107,
93000,1.526227,0.499981,0.000000,1.529634,
94000,1.526751,0.500142,0.000000,1.528492,
95000,1.533421,0.499841,0.000000,1.527871,
96000,1.531970,0.499870,0.000000,1.526574,
97000,1.521801,0.500267,0.000000,1.526685,
98000,1.530347,0.500220,0.000000,1.527604,
99000,1.522306,0.500018,0.000000,1.527421,
