step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500486,0.500567,0.498636,0.498652,0.496992,0.496936,0.499691,0.498429,0.498955,0.498875,0.499863,0.499382,0.499147,0.498831,0.499000,0.498974,0.502591,0.502350,0.499174,0.499054,0.499006,0.498936,0.503003,0.502779,0.499341,0.499118,0.499377,0.499109,0.503000,0.502771,0.499195,0.498921,0.499207,0.499027,0.503113,0.502915
400,0.506046,0.506259,0.497533,0.497836,0.487944,0.487545,0.506363,0.494695,0.493000,0.492236,0.493780,0.491773,0.503614,0.498730,0.497206,0.497157,0.509515,0.507892,0.496973,0.496530,0.497241,0.496827,0.512728,0.510661,0.494893,0.492794,0.494603,0.492951,0.512930,0.511136,0.497500,0.492971,0.497529,0.493138,0.513074,0.511161
600,0.516515,0.516883,0.497376,0.498517,0.475431,0.474142,0.520387,0.490204,0.479736,0.477122,0.486284,0.481030,0.515654,0.500068,0.491634,0.490671,0.515206,0.507759,0.496943,0.494049,0.496719,0.495214,0.528753,0.518578,0.488906,0.481616,0.487153,0.481485,0.529499,0.519013,0.492089,0.481004,0.492645,0.481116,0.525854,0.519244
800,0.528247,0.528816,0.490236,0.492517,0.461095,0.458139,0.541811,0.487026,0.463212,0.457004,0.477176,0.467860,0.533370,0.500658,0.483955,0.481196,0.518286,0.504090,0.497802,0.491232,0.495740,0.493584,0.546064,0.524366,0.489008,0.470174,0.487354,0.468282,0.551218,0.526826,0.486047,0.468982,0.490886,0.469716,0.544935,0.534920
1000,0.530983,0.531642,0.473819,0.476731,0.445779,0.440638,0.567289,0.483540,0.449815,0.435915,0.466653,0.452351,0.555273,0.501610,0.476014,0.470148,0.519083,0.497892,0.499723,0.489905,0.494191,0.491782,0.562732,0.530133,0.491776,0.461255,0.492726,0.456496,0.570325,0.536481,0.484690,0.460882,0.492116,0.462454,0.562523,0.551532
1200,0.525048,0.525417,0.454606,0.457677,0.431655,0.423541,0.590211,0.477916,0.445099,0.418197,0.459249,0.438310,0.575209,0.501430,0.468713,0.458467,0.519545,0.491627,0.501746,0.488476,0.491797,0.488808,0.575082,0.534447,0.494787,0.455324,0.500356,0.450633,0.592770,0.547900,0.482236,0.449064,0.490059,0.450634,0.584169,0.563204
1400,0.515719,0.515746,0.434865,0.437961,0.419691,0.407672,0.614363,0.472049,0.449702,0.403183,0.454379,0.425051,0.595236,0.500315,0.464336,0.448037,0.520426,0.485140,0.503602,0.486760,0.487928,0.484783,0.582649,0.537883,0.501167,0.450800,0.511291,0.446256,0.613909,0.558501,0.480943,0.438021,0.490584,0.439245,0.599258,0.567748
1600,0.501619,0.501068,0.414099,0.417111,0.410415,0.392992,0.637569,0.467604,0.459856,0.391941,0.452803,0.413050,0.614231,0.497695,0.461011,0.437818,0.521427,0.478886,0.503924,0.484230,0.484162,0.481071,0.586952,0.540060,0.508367,0.449288,0.522063,0.445039,0.631073,0.565912,0.479732,0.428529,0.489885,0.429210,0.611688,0.571159
1800,0.486157,0.485209,0.393868,0.396774,0.403258,0.379065,0.660619,0.461908,0.473630,0.382983,0.454805,0.401765,0.634103,0.494664,0.459466,0.427253,0.522679,0.472281,0.505920,0.483568,0.481423,0.478316,0.589545,0.540117,0.515709,0.447567,0.535512,0.445967,0.640937,0.569963,0.478251,0.421224,0.487997,0.420718,0.624515,0.574272
2000,0.470613,0.469325,0.374870,0.377654,0.398843,0.366059,0.683921,0.456298,0.491064,0.376852,0.459978,0.391547,0.653929,0.491914,0.460778,0.418664,0.523957,0.465110,0.507183,0.482248,0.478397,0.475345,0.590269,0.537303,0.522267,0.447775,0.546614,0.447211,0.650270,0.573778,0.475720,0.412802,0.486222,0.411706,0.635586,0.577232
2200,0.455284,0.453659,0.356900,0.359568,0.396904,0.354499,0.704561,0.451945,0.508747,0.371912,0.467073,0.383119,0.673244,0.488981,0.464231,0.411122,0.525808,0.458716,0.509268,0.481484,0.476235,0.473046,0.591921,0.535285,0.525479,0.445750,0.556476,0.448368,0.658235,0.577160,0.474616,0.404190,0.486112,0.403031,0.644967,0.579774
2400,0.440763,0.438779,0.340149,0.342725,0.397873,0.343961,0.724620,0.446690,0.526303,0.368728,0.476563,0.375210,0.690563,0.485167,0.470049,0.404889,0.527696,0.452578,0.510655,0.480175,0.473279,0.470038,0.590863,0.529910,0.532041,0.445492,0.567109,0.450784,0.662716,0.579075,0.472888,0.397811,0.484342,0.395182,0.651314,0.581405
2600,0.426089,0.423748,0.324200,0.326652,0.400929,0.335174,0.743386,0.440283,0.543966,0.364527,0.488120,0.368652,0.709228,0.481879,0.478205,0.399170,0.530032,0.446161,0.513385,0.479629,0.471187,0.467691,0.590811,0.525669,0.539404,0.445836,0.579967,0.456170,0.666467,0.580740,0.470286,0.390276,0.482535,0.388886,0.657200,0.582976
2800,0.413247,0.410687,0.309736,0.312094,0.405661,0.326527,0.761661,0.434423,0.561728,0.361971,0.500740,0.363388,0.727165,0.477475,0.486896,0.394146,0.532023,0.439887,0.515282,0.478248,0.468449,0.464717,0.589333,0.520308,0.545248,0.446131,0.592922,0.459032,0.669630,0.582189,0.466637,0.381315,0.479178,0.380423,0.662875,0.584467
3000,0.400206,0.397393,0.295972,0.298225,0.411251,0.318558,0.779712,0.428818,0.578267,0.358775,0.515813,0.359028,0.745441,0.472426,0.497630,0.390080,0.535219,0.433226,0.517654,0.476697,0.466217,0.461996,0.587523,0.514590,0.549482,0.445863,0.602149,0.461823,0.672172,0.583388,0.465674,0.375807,0.478187,0.374674,0.667921,0.585851
3200,0.387883,0.384877,0.283495,0.285650,0.419064,0.312038,0.795117,0.422388,0.596318,0.355346,0.530090,0.354797,0.761398,0.468321,0.506706,0.386334,0.538768,0.427463,0.520304,0.475472,0.463458,0.458707,0.585195,0.508778,0.554381,0.446303,0.611815,0.464246,0.674745,0.584564,0.465165,0.371224,0.477138,0.369583,0.673348,0.587366
3400,0.376641,0.373406,0.271775,0.273826,0.426905,0.306439,0.809718,0.416533,0.611543,0.351700,0.545366,0.351472,0.777136,0.464668,0.518130,0.383205,0.541359,0.421503,0.522876,0.473916,0.460985,0.455734,0.583418,0.503892,0.559387,0.447654,0.619936,0.466257,0.676788,0.585554,0.462224,0.365610,0.474761,0.363934,0.677900,0.588739
3600,0.366560,0.363141,0.261099,0.263069,0.435229,0.301359,0.824189,0.410897,0.626793,0.348037,0.560018,0.348776,0.792000,0.460622,0.529292,0.380500,0.544613,0.416467,0.525287,0.472477,0.458414,0.452732,0.580400,0.498269,0.562398,0.447708,0.627627,0.468159,0.678369,0.586264,0.461056,0.361028,0.474564,0.358648,0.681550,0.589771
3800,0.356787,0.353228,0.251381,0.253264,0.444516,0.296331,0.835030,0.404753,0.640374,0.344796,0.575502,0.346139,0.805296,0.456590,0.539416,0.378042,0.547754,0.411310,0.528259,0.471398,0.456072,0.449884,0.577887,0.492847,0.565231,0.447937,0.634813,0.471410,0.680195,0.587103,0.459609,0.356103,0.471470,0.352902,0.685168,0.590829
4000,0.348382,0.344688,0.242706,0.244503,0.453230,0.292050,0.845498,0.399050,0.653481,0.341263,0.591013,0.343903,0.818100,0.452319,0.550077,0.376001,0.551760,0.406757,0.530243,0.469691,0.454133,0.447261,0.575931,0.488080,0.566412,0.447155,0.639560,0.472727,0.681914,0.587921,0.457472,0.352405,0.470012,0.348723,0.688563,0.591873
4200,0.340089,0.336335,0.234740,0.236454,0.462018,0.288548,0.856418,0.394825,0.668091,0.337565,0.605030,0.342284,0.830072,0.448389,0.560183,0.374045,0.553868,0.402275,0.532207,0.468368,0.452951,0.445308,0.573538,0.483349,0.566900,0.445848,0.642356,0.473012,0.683194,0.588471,0.455082,0.348832,0.467999,0.345268,0.690850,0.592513
4400,0.332979,0.329127,0.227492,0.229140,0.470626,0.285007,0.865050,0.390180,0.679568,0.334257,0.618447,0.340823,0.841314,0.444464,0.570349,0.372210,0.557299,0.398071,0.534204,0.466613,0.451144,0.442853,0.571472,0.478953,0.567717,0.444267,0.644230,0.472384,0.684629,0.589172,0.453956,0.345645,0.466384,0.341733,0.692888,0.593193
4600,0.326269,0.322339,0.220980,0.222569,0.479571,0.281754,0.873711,0.385742,0.691057,0.331333,0.633395,0.340086,0.851762,0.440567,0.579560,0.370752,0.560808,0.393680,0.536769,0.465658,0.449724,0.440885,0.568844,0.473825,0.567504,0.442790,0.644266,0.470669,0.685841,0.589775,0.452536,0.342933,0.464910,0.338564,0.694595,0.593735
4800,0.320101,0.316089,0.215092,0.216623,0.487804,0.278950,0.880671,0.381727,0.700666,0.327885,0.646379,0.339091,0.861324,0.437051,0.587649,0.369329,0.563320,0.389872,0.538355,0.464058,0.448373,0.438837,0.566548,0.469500,0.567771,0.442240,0.645640,0.470935,0.686777,0.590208,0.451169,0.340329,0.463238,0.336132,0.695772,0.594085
5000,0.314942,0.310819,0.209924,0.211397,0.496354,0.276037,0.885149,0.377770,0.709874,0.324820,0.659555,0.338094,0.870444,0.433666,0.596416,0.367966,0.566489,0.385793,0.539858,0.462397,0.447455,0.437291,0.563561,0.464476,0.566705,0.440307,0.643745,0.468613,0.687705,0.590684,0.450570,0.338347,0.461515,0.333728,0.696935,0.594441
5200,0.309893,0.305691,0.205198,0.206628,0.503586,0.273484,0.890613,0.373947,0.718787,0.322068,0.671968,0.337490,0.878334,0.431046,0.604174,0.366401,0.568916,0.382534,0.541818,0.461374,0.446687,0.435817,0.561295,0.460546,0.566204,0.439096,0.643589,0.467637,0.688412,0.591036,0.449669,0.336554,0.460666,0.331802,0.697758,0.594671
5400,0.305916,0.301670,0.201003,0.202394,0.510758,0.271209,0.895547,0.370464,0.726648,0.319808,0.682779,0.336889,0.885786,0.428476,0.611594,0.365413,0.571146,0.379368,0.543498,0.460016,0.445516,0.434035,0.558736,0.456398,0.565496,0.438003,0.642561,0.466051,0.689019,0.591357,0.448844,0.335009,0.459145,0.329765,0.698433,0.594864
5600,0.302261,0.297962,0.197267,0.198617,0.517325,0.269226,0.899111,0.367520,0.733315,0.317817,0.693505,0.336180,0.892197,0.425872,0.618398,0.364321,0.573638,0.376325,0.545035,0.459116,0.445042,0.432850,0.556633,0.452855,0.566004,0.437605,0.642040,0.465282,0.689425,0.591532,0.447821,0.333461,0.458288,0.328211,0.698942,0.594955
5800,0.299085,0.294756,0.193967,0.195281,0.523151,0.267343,0.902732,0.364841,0.740106,0.315681,0.703178,0.335646,0.898648,0.423575,0.624392,0.363220,0.576031,0.373841,0.546591,0.458046,0.444261,0.431391,0.554374,0.449516,0.565200,0.436158,0.639975,0.463214,0.689768,0.591711,0.447050,0.332311,0.457603,0.327016,0.699356,0.595065
6000,0.296156,0.291820,0.191037,0.192320,0.528273,0.265524,0.904953,0.362368,0.745704,0.314036,0.712381,0.335222,0.903229,0.421111,0.630010,0.362626,0.577856,0.371475,0.547826,0.457112,0.443441,0.430140,0.552687,0.446667,0.564685,0.435215,0.639206,0.462272,0.690031,0.591824,0.446599,0.331339,0.456882,0.325864,0.699666,0.595131
6200,0.293316,0.288979,0.188515,0.189775,0.532865,0.263862,0.907243,0.360247,0.750762,0.312376,0.720569,0.334787,0.908381,0.419543,0.635796,0.362167,0.579805,0.369204,0.549226,0.456558,0.443406,0.429590,0.551033,0.443868,0.563318,0.433749,0.637076,0.460594,0.690208,0.591917,0.445852,0.330494,0.456394,0.325022,0.699939,0.595184
6400,0.291297,0.286948,0.186336,0.187574,0.537227,0.262454,0.907967,0.358005,0.755314,0.311043,0.728159,0.334471,0.911816,0.417541,0.640252,0.361438,0.581634,0.367556,0.549863,0.455693,0.442802,0.428606,0.549676,0.441683,0.562500,0.432754,0.635541,0.459317,0.690364,0.591993,0.445403,0.329835,0.456046,0.324373,0.700146,0.595234
