step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.502277,0.502327,0.498586,0.498594,0.498794,0.498785,0.497231,0.497229,0.499754,0.499742,0.498710,0.498780,0.499002,0.498975,0.500271,0.499856,0.499861,0.499572,0.499487,0.499548,0.500252,0.500209,0.503184,0.503170,0.500665,0.500444,0.498696,0.498667,0.498497,0.498466,0.503148,0.502997,0.500457,0.500259,0.500642,0.500822,0.501902,0.501905,0.503215,0.503251,0.499798,0.499964,0.500855,0.500856,0.501931,0.501932,0.503187,0.503214
400,0.512256,0.512391,0.500629,0.500794,0.495865,0.495714,0.488532,0.488558,0.502388,0.501228,0.494809,0.494803,0.496176,0.496078,0.496162,0.495299,0.502703,0.501826,0.496794,0.496886,0.497325,0.497297,0.511900,0.511395,0.501134,0.501036,0.493200,0.492483,0.491861,0.491616,0.513173,0.512794,0.501111,0.500902,0.504878,0.505076,0.506210,0.506224,0.513907,0.513664,0.499684,0.500043,0.503876,0.503990,0.507762,0.507762,0.513936,0.513854
600,0.527861,0.528114,0.510616,0.511055,0.491259,0.491084,0.477929,0.478139,0.508205,0.504836,0.487462,0.487558,0.493245,0.493047,0.488586,0.487417,0.505221,0.503570,0.493064,0.493199,0.493981,0.493934,0.521321,0.520355,0.499479,0.499690,0.498649,0.489090,0.482932,0.482243,0.529162,0.529064,0.499658,0.498846,0.511651,0.500631,0.495004,0.494597,0.529375,0.528811,0.499651,0.499805,0.510552,0.509121,0.499943,0.499687,0.529434,0.528446
800,0.549488,0.549903,0.524235,0.525064,0.485099,0.484882,0.465184,0.465694,0.516119,0.509580,0.475258,0.475104,0.488078,0.487832,0.476901,0.475382,0.508064,0.504683,0.487859,0.488001,0.491160,0.490974,0.529429,0.528621,0.498099,0.497977,0.511988,0.498018,0.480077,0.472450,0.549210,0.549926,0.499528,0.495982,0.519475,0.490715,0.484036,0.482440,0.548171,0.546804,0.498311,0.498257,0.519213,0.514796,0.489803,0.489154,0.543629,0.539549
1000,0.573638,0.574263,0.539827,0.541127,0.475629,0.475409,0.450389,0.451122,0.526363,0.514681,0.459338,0.457930,0.480029,0.479558,0.461036,0.459127,0.511011,0.505403,0.480871,0.481013,0.486628,0.486402,0.536341,0.533260,0.500858,0.501007,0.526146,0.512306,0.485239,0.467654,0.568709,0.571688,0.499041,0.492968,0.525987,0.485091,0.482781,0.474931,0.556642,0.553589,0.501054,0.500660,0.524897,0.518614,0.482876,0.479306,0.556692,0.544740
1200,0.594575,0.595409,0.556600,0.558417,0.463311,0.462774,0.436929,0.437677,0.534635,0.517665,0.444059,0.440738,0.469868,0.468947,0.446299,0.443802,0.512834,0.504996,0.474297,0.474149,0.481231,0.480675,0.541972,0.534599,0.500486,0.500168,0.538416,0.523477,0.491491,0.464385,0.591057,0.592506,0.499509,0.490682,0.534717,0.477495,0.486992,0.466663,0.572061,0.560640,0.501051,0.500690,0.531967,0.522873,0.478763,0.468568,0.570725,0.547626
1400,0.614593,0.615658,0.573475,0.575833,0.448938,0.447819,0.422951,0.423613,0.540723,0.518834,0.430821,0.424724,0.458435,0.456479,0.432380,0.428967,0.514441,0.503374,0.467789,0.467304,0.475814,0.474705,0.546224,0.534767,0.500647,0.500556,0.551316,0.534248,0.496148,0.464206,0.611847,0.607768,0.499731,0.488065,0.543265,0.470607,0.493004,0.459363,0.589785,0.567276,0.500658,0.499324,0.540455,0.527713,0.479914,0.459044,0.581910,0.550238
1600,0.631074,0.632274,0.590437,0.593292,0.432786,0.430813,0.408975,0.409352,0.547119,0.519573,0.419114,0.409580,0.446346,0.442887,0.418234,0.413605,0.516599,0.502390,0.462398,0.461403,0.471214,0.469074,0.550545,0.534766,0.501602,0.501711,0.563230,0.546041,0.502352,0.465484,0.632119,0.624056,0.500564,0.486396,0.550722,0.466038,0.499099,0.456141,0.601876,0.571182,0.503554,0.501433,0.545701,0.530279,0.483673,0.453685,0.588974,0.551820
1800,0.647399,0.648754,0.603660,0.607067,0.417479,0.414254,0.395986,0.395791,0.552459,0.519232,0.410510,0.396106,0.435275,0.429543,0.405073,0.398970,0.516523,0.499170,0.456887,0.455106,0.466527,0.463267,0.551402,0.530906,0.499037,0.498803,0.575191,0.556900,0.507315,0.465989,0.651243,0.631818,0.501964,0.485809,0.557158,0.460790,0.505922,0.453653,0.615817,0.574501,0.505901,0.500892,0.552792,0.533733,0.487596,0.446910,0.595959,0.553218
