step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498117,0.498027,0.498287,0.498303,0.498928,0.498899,0.498018,0.497908,0.499286,0.499225,0.498569,0.498564,0.498569,0.498524,0.502059,0.501738,0.500341,0.500305,0.498640,0.498624,0.498481,0.498437,0.502486,0.502317,0.499798,0.499913,0.498585,0.498599,0.498531,0.498505,0.502406,0.502217,0.499642,0.499854,0.500064,0.500069,0.499421,0.499403,0.502662,0.502581,0.499975,0.499939,0.500298,0.500192,0.499540,0.499530,0.502458,0.502341
400,0.487848,0.487731,0.502918,0.503092,0.495167,0.494827,0.489440,0.489332,0.495014,0.495395,0.497673,0.497824,0.497328,0.496902,0.509973,0.509012,0.501236,0.501724,0.496384,0.496443,0.495602,0.495559,0.511630,0.510915,0.500033,0.500217,0.498876,0.498437,0.497414,0.497414,0.510879,0.509881,0.498423,0.498654,0.499067,0.496851,0.495414,0.495464,0.512313,0.511419,0.499771,0.499593,0.501480,0.496943,0.495353,0.495398,0.512166,0.511010
600,0.472787,0.472645,0.513957,0.514393,0.490495,0.489847,0.476465,0.476451,0.492113,0.492306,0.496128,0.496435,0.495328,0.493304,0.517663,0.515584,0.501095,0.501615,0.496275,0.495573,0.490920,0.490202,0.527821,0.525491,0.500866,0.500622,0.494178,0.491166,0.488892,0.488489,0.527793,0.521983,0.496813,0.497146,0.500509,0.487178,0.486532,0.486593,0.529461,0.521988,0.499456,0.499281,0.504149,0.486001,0.485174,0.485339,0.528730,0.521428
800,0.452077,0.451865,0.525833,0.526594,0.484768,0.484156,0.459454,0.459363,0.488370,0.488540,0.492718,0.493407,0.492134,0.488846,0.521033,0.516881,0.499462,0.499995,0.499766,0.497239,0.490521,0.484540,0.541860,0.541644,0.500667,0.500320,0.495665,0.486354,0.482586,0.480738,0.547127,0.532286,0.494177,0.495254,0.507480,0.474578,0.476609,0.476642,0.542856,0.534970,0.496632,0.496886,0.509533,0.473247,0.472926,0.472785,0.544952,0.535281
1000,0.426818,0.426547,0.535697,0.536993,0.473689,0.472933,0.437891,0.437552,0.485238,0.484704,0.488565,0.489915,0.489272,0.483193,0.522693,0.513804,0.503607,0.502894,0.502683,0.499093,0.493077,0.483707,0.556529,0.557590,0.501398,0.501257,0.501218,0.482064,0.480472,0.472468,0.566520,0.543581,0.492478,0.493472,0.515166,0.459881,0.469333,0.465600,0.554152,0.540555,0.494236,0.493908,0.519065,0.459477,0.465357,0.459812,0.558695,0.541482
1200,0.403734,0.403380,0.545353,0.547200,0.458681,0.457356,0.415840,0.415191,0.482308,0.480536,0.484304,0.486351,0.486952,0.478495,0.522061,0.507918,0.504967,0.503822,0.503732,0.499844,0.494719,0.483432,0.569235,0.568733,0.500407,0.499831,0.507841,0.480059,0.483811,0.468318,0.586808,0.559196,0.492885,0.493939,0.522576,0.448519,0.468102,0.456734,0.561812,0.543171,0.491805,0.492423,0.529414,0.448694,0.464130,0.448245,0.566184,0.543828
1400,0.382792,0.382197,0.553023,0.555453,0.442484,0.440395,0.395265,0.394256,0.480464,0.476640,0.479866,0.482479,0.484552,0.474585,0.518741,0.499498,0.505348,0.503317,0.503389,0.499135,0.495103,0.482499,0.578899,0.576764,0.500741,0.500296,0.515654,0.478816,0.489529,0.465981,0.598714,0.564440,0.489655,0.491235,0.530437,0.437288,0.470308,0.448550,0.569281,0.545708,0.490875,0.491742,0.537719,0.439190,0.468849,0.442402,0.571375,0.545298
1600,0.363748,0.362756,0.556093,0.559032,0.425708,0.422581,0.375766,0.374388,0.479174,0.472462,0.475404,0.478667,0.481382,0.469967,0.515167,0.491695,0.506250,0.502758,0.502697,0.498273,0.494727,0.480819,0.586500,0.582500,0.498679,0.497709,0.523348,0.479236,0.496217,0.463898,0.606490,0.567807,0.484514,0.486776,0.538946,0.427601,0.473528,0.443195,0.575442,0.547761,0.488022,0.489635,0.548414,0.431693,0.473563,0.438672,0.575635,0.546442
1800,0.347513,0.345868,0.557642,0.560980,0.409464,0.404905,0.358426,0.356308,0.478964,0.468097,0.471261,0.474919,0.479441,0.466560,0.510166,0.482754,0.506445,0.502275,0.501813,0.497115,0.494713,0.479222,0.592003,0.587500,0.498867,0.497331,0.531894,0.480779,0.503058,0.462529,0.611494,0.570139,0.485535,0.487168,0.549750,0.420782,0.479240,0.440520,0.580737,0.549706,0.486900,0.488685,0.561265,0.425005,0.479706,0.436621,0.579080,0.547481
2000,0.334253,0.331550,0.556727,0.560408,0.395720,0.388872,0.342389,0.339458,0.479488,0.464083,0.467740,0.471731,0.477509,0.463253,0.505121,0.474329,0.506815,0.502334,0.501140,0.496166,0.495509,0.477867,0.599079,0.594572,0.496550,0.494953,0.543221,0.484358,0.508365,0.462286,0.615185,0.571819,0.488983,0.490012,0.556248,0.414581,0.484463,0.438222,0.584596,0.551135,0.486325,0.488670,0.569231,0.417880,0.486245,0.434786,0.581825,0.548253
2200,0.323680,0.319563,0.555361,0.559318,0.383880,0.374104,0.328198,0.323976,0.481284,0.460168,0.463502,0.467984,0.474942,0.459407,0.499386,0.465589,0.506679,0.501079,0.500459,0.495169,0.495233,0.476142,0.605454,0.600001,0.495201,0.493593,0.552100,0.487178,0.513418,0.460444,0.618718,0.573539,0.490599,0.491275,0.560504,0.406648,0.490934,0.435778,0.588257,0.552602,0.486730,0.488144,0.577466,0.413136,0.494613,0.435199,0.584378,0.549069
