step,train_loss,val_bpb
200,8.875968,2.402167
400,7.395018,2.126354
600,6.841451,2.040411
800,6.626318,1.997250
1000,6.460379,1.950416
1200,6.334150,1.914003
1400,6.231172,1.888589
1600,6.123835,1.863164
1800,6.068738,1.845049
2000,6.009286,1.828421
2200,5.943078,1.816030
2400,5.912802,1.804654
2600,5.878858,1.790039
2800,5.832893,1.780271
3000,5.797676,1.771342
3200,5.770213,1.760886
3400,5.723678,1.753021
3600,5.725206,1.749797
3800,5.689397,1.742675
