step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.426569,0.427749,0.418107,0.395747,0.551306,0.427753,0.670827,0.604014,0.651690,0.497194,0.598587,0.433329,0.584391,0.462286,0.658206,0.534073,0.702217,0.465280,0.557701,0.407293,0.489218,0.391842,0.609388,0.488495,0.643227,0.463271,0.482786,0.444825,0.551656,0.471420,0.585825,0.499646,0.597743,0.483448,0.492611,0.481701,0.558008,0.506542,0.548679,0.506017,0.519702,0.479674,0.495226,0.494803,0.520255,0.485106,0.510681,0.502187
2200,0.422550,0.422590,0.417224,0.391321,0.567781,0.425834,0.686250,0.608466,0.659867,0.492309,0.615635,0.432588,0.602565,0.464094,0.671282,0.525390,0.720495,0.456842,0.570116,0.404146,0.501445,0.384328,0.619306,0.478261,0.657015,0.459222,0.487578,0.439239,0.555942,0.464697,0.592813,0.492072,0.608615,0.481242,0.492600,0.478736,0.562893,0.503179,0.553232,0.503334,0.523638,0.477921,0.494855,0.494176,0.523825,0.482334,0.511498,0.501939
2400,0.419516,0.418592,0.416252,0.386912,0.582516,0.423104,0.698469,0.609471,0.666022,0.488237,0.630948,0.432077,0.619064,0.465376,0.682444,0.516213,0.735752,0.448888,0.581587,0.401152,0.513422,0.377936,0.627103,0.468051,0.670289,0.454734,0.493081,0.434372,0.559576,0.458309,0.599084,0.483321,0.616418,0.478783,0.492978,0.475966,0.567568,0.499465,0.557530,0.499654,0.526905,0.475940,0.494281,0.493368,0.526572,0.478880,0.512234,0.501539
2600,0.416433,0.414934,0.415106,0.383292,0.595574,0.419977,0.707448,0.608382,0.671592,0.484501,0.644291,0.431455,0.633164,0.466470,0.689969,0.507514,0.749049,0.442239,0.592538,0.398278,0.524133,0.372088,0.631935,0.459295,0.680631,0.451128,0.498981,0.430689,0.562444,0.452731,0.602594,0.475286,0.623683,0.476598,0.493702,0.473905,0.570555,0.496085,0.560098,0.495648,0.530463,0.474809,0.493996,0.492787,0.529781,0.476725,0.512681,0.501125
2800,0.413998,0.412222,0.413659,0.379984,0.606263,0.416457,0.711645,0.604490,0.675497,0.481447,0.655761,0.430953,0.645574,0.467473,0.694593,0.500159,0.759879,0.436904,0.601674,0.396259,0.533463,0.367932,0.635310,0.451457,0.689746,0.447509,0.504281,0.427932,0.564773,0.447914,0.605353,0.468109,0.629693,0.474318,0.494423,0.471985,0.572782,0.491982,0.561769,0.491647,0.532879,0.473217,0.493678,0.492187,0.531430,0.473820,0.513054,0.500697
3000,0.411840,0.410015,0.412334,0.377556,0.614493,0.413003,0.713749,0.600485,0.677934,0.478779,0.664792,0.430313,0.655910,0.468302,0.697900,0.493823,0.768804,0.432498,0.609428,0.394537,0.541008,0.364524,0.638446,0.444891,0.697275,0.445041,0.509302,0.425785,0.567090,0.443691,0.606701,0.461860,0.634736,0.472956,0.494969,0.470142,0.574243,0.488378,0.562761,0.487837,0.535139,0.471972,0.493621,0.491895,0.533071,0.471752,0.513268,0.500272
3200,0.410243,0.408492,0.410666,0.375326,0.620885,0.409916,0.713018,0.595806,0.680128,0.476804,0.672173,0.429915,0.664147,0.468656,0.699638,0.488485,0.776073,0.428985,0.615547,0.393301,0.547520,0.362205,0.641006,0.439778,0.703310,0.442395,0.513384,0.424218,0.567902,0.440206,0.607879,0.456918,0.638805,0.471993,0.495818,0.468971,0.575784,0.485649,0.563426,0.484710,0.537068,0.471124,0.493510,0.491559,0.534030,0.469884,0.513416,0.499911
3400,0.408791,0.407137,0.409250,0.373617,0.625458,0.407285,0.711550,0.591795,0.681250,0.474946,0.677752,0.429551,0.670684,0.469014,0.700594,0.484350,0.781637,0.426518,0.620614,0.392301,0.552557,0.360346,0.642151,0.435726,0.708178,0.440614,0.517159,0.423050,0.568882,0.437376,0.608158,0.452856,0.641602,0.471075,0.496825,0.468187,0.576826,0.483345,0.563737,0.481862,0.538790,0.470596,0.493502,0.491321,0.534684,0.468211,0.513551,0.499606
3600,0.407561,0.406087,0.407921,0.372149,0.628777,0.405173,0.709786,0.588435,0.682213,0.473631,0.682178,0.429140,0.675778,0.469069,0.700912,0.481040,0.786002,0.424379,0.624477,0.391477,0.556535,0.358834,0.643142,0.432527,0.712016,0.439112,0.519932,0.422017,0.569138,0.435042,0.608402,0.449727,0.644126,0.470350,0.497553,0.467439,0.577366,0.481500,0.563927,0.479784,0.539863,0.469984,0.493391,0.491045,0.535433,0.467044,0.513635,0.499378
3800,0.406593,0.405287,0.406670,0.370913,0.631238,0.403210,0.707657,0.585469,0.682941,0.472570,0.685981,0.428963,0.680057,0.469430,0.700951,0.478326,0.789394,0.422730,0.627832,0.390792,0.559810,0.357786,0.644320,0.429927,0.714975,0.437924,0.522306,0.421225,0.569510,0.433228,0.608635,0.447082,0.646159,0.469487,0.498225,0.466899,0.577929,0.479981,0.564103,0.477891,0.541044,0.469666,0.493284,0.490799,0.535788,0.465912,0.513684,0.499133
4000,0.405714,0.404572,0.405506,0.369812,0.633214,0.401445,0.705478,0.582804,0.683698,0.471604,0.689298,0.428775,0.683821,0.469595,0.700799,0.476008,0.792527,0.421178,0.630826,0.390335,0.562753,0.356887,0.645171,0.427705,0.717733,0.436882,0.524530,0.420678,0.569577,0.431531,0.608797,0.444809,0.648092,0.469037,0.498910,0.466480,0.578489,0.478685,0.564170,0.476209,0.541873,0.469295,0.493262,0.490665,0.536141,0.464928,0.513716,0.498931
