step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500656,0.500736,0.498106,0.498119,0.496945,0.496885,0.499314,0.497593,0.498622,0.498641,0.500117,0.499446,0.499642,0.499071,0.498485,0.498473,0.502590,0.502320,0.499738,0.499596,0.499570,0.499523,0.502949,0.502687,0.499331,0.499292,0.499127,0.499117,0.503029,0.502819,0.499725,0.499236,0.499408,0.499001,0.503125,0.502913
400,0.506263,0.506523,0.496265,0.496623,0.487764,0.487352,0.504950,0.493414,0.491791,0.491205,0.494846,0.492442,0.505319,0.497754,0.493579,0.493401,0.508283,0.505365,0.498855,0.497668,0.498436,0.498129,0.512215,0.510402,0.495459,0.494144,0.495367,0.494233,0.513081,0.511967,0.499728,0.493433,0.499074,0.493157,0.512413,0.510354
600,0.515762,0.516283,0.495254,0.496600,0.475636,0.474224,0.517543,0.489843,0.479240,0.477072,0.488347,0.482680,0.517683,0.498486,0.484290,0.483283,0.513629,0.504856,0.496851,0.492697,0.495822,0.494334,0.527453,0.520100,0.492810,0.484589,0.494212,0.483570,0.527942,0.520042,0.495687,0.482696,0.493999,0.482419,0.526061,0.521389
800,0.524506,0.525239,0.488444,0.491030,0.461578,0.458516,0.537264,0.487076,0.463859,0.458489,0.479629,0.470012,0.535574,0.499233,0.472592,0.469884,0.515736,0.500864,0.495935,0.489570,0.492894,0.490731,0.543897,0.527258,0.493206,0.473719,0.498073,0.471396,0.539501,0.526799,0.482838,0.468744,0.480260,0.467445,0.548955,0.542128
1000,0.524697,0.525366,0.470641,0.473954,0.447255,0.441755,0.562420,0.484239,0.450868,0.438454,0.470164,0.455382,0.556473,0.498073,0.460667,0.454517,0.516313,0.494388,0.497549,0.487935,0.489821,0.487224,0.558773,0.534068,0.496394,0.468114,0.504102,0.465523,0.563888,0.547557,0.488135,0.462601,0.486206,0.459421,0.574026,0.566656
1200,0.516355,0.516684,0.450977,0.454470,0.433929,0.425229,0.586480,0.481658,0.445763,0.421065,0.461854,0.440542,0.577645,0.496516,0.450590,0.439645,0.516569,0.486770,0.498361,0.486090,0.486639,0.483672,0.570914,0.541442,0.498856,0.465073,0.508859,0.461858,0.590264,0.572510,0.497855,0.457872,0.497025,0.452519,0.598206,0.588679
1400,0.505638,0.505709,0.430468,0.433924,0.422940,0.410219,0.611909,0.479156,0.450697,0.406988,0.456157,0.427006,0.599036,0.493053,0.446392,0.427002,0.516282,0.478819,0.499141,0.483572,0.481957,0.478760,0.574296,0.543530,0.507396,0.467203,0.520258,0.467437,0.616155,0.590332,0.505373,0.451513,0.506458,0.446631,0.616746,0.597366
1600,0.491916,0.491534,0.410106,0.413462,0.413586,0.395748,0.636070,0.476023,0.462387,0.396706,0.453634,0.414107,0.618427,0.489008,0.445928,0.416297,0.516872,0.470580,0.501005,0.482350,0.478919,0.475468,0.576422,0.543289,0.516475,0.471280,0.534215,0.476266,0.642964,0.600260,0.514645,0.446797,0.517008,0.438405,0.627562,0.601782
1800,0.477320,0.476475,0.390279,0.393538,0.407080,0.382620,0.658776,0.472668,0.476934,0.388796,0.454226,0.402402,0.638450,0.484909,0.448943,0.406365,0.517763,0.462737,0.502571,0.480518,0.475113,0.471607,0.577293,0.540614,0.524365,0.474458,0.548055,0.484872,0.669739,0.610814,0.525649,0.441676,0.527741,0.432017,0.638618,0.606549
2000,0.461494,0.460282,0.371044,0.374150,0.402485,0.370357,0.680965,0.467277,0.494366,0.383337,0.457704,0.392202,0.658248,0.481026,0.455878,0.397852,0.518847,0.454714,0.505044,0.478921,0.471948,0.468145,0.578815,0.538169,0.532544,0.478097,0.561321,0.492801,0.693144,0.620749,0.536221,0.435925,0.537822,0.426095,0.647830,0.611385
2200,0.445879,0.444318,0.353173,0.356160,0.400673,0.358564,0.703476,0.461934,0.511927,0.379527,0.465203,0.383242,0.677426,0.476747,0.464062,0.391090,0.520645,0.447224,0.507757,0.477340,0.469152,0.465128,0.580033,0.534974,0.541463,0.483022,0.573673,0.501465,0.707562,0.625075,0.543764,0.430050,0.545693,0.420993,0.654997,0.615194
2400,0.431568,0.429700,0.336399,0.339271,0.400954,0.348546,0.725656,0.457186,0.531147,0.376442,0.473792,0.375276,0.696325,0.471639,0.474288,0.385721,0.522235,0.439324,0.510413,0.475630,0.466529,0.462202,0.580270,0.530454,0.548121,0.487175,0.584315,0.507616,0.716208,0.627603,0.550378,0.425159,0.553328,0.415139,0.660415,0.618120
2600,0.417940,0.415772,0.320519,0.323253,0.402445,0.339717,0.745479,0.451496,0.549830,0.373209,0.483154,0.368690,0.715354,0.466602,0.485571,0.381114,0.524473,0.431634,0.513928,0.474263,0.464320,0.459706,0.581366,0.527034,0.557332,0.493778,0.594910,0.514120,0.722818,0.629521,0.558262,0.420476,0.562592,0.410349,0.665196,0.620775
2800,0.404892,0.402449,0.305841,0.308457,0.406666,0.331497,0.763857,0.445792,0.568270,0.368828,0.494561,0.362878,0.733100,0.461077,0.498924,0.377352,0.526150,0.424466,0.516536,0.471653,0.461502,0.456461,0.581715,0.522996,0.565147,0.498640,0.606483,0.521710,0.729605,0.631528,0.567485,0.416740,0.572393,0.405656,0.669096,0.622998
3000,0.392531,0.389849,0.292159,0.294657,0.410341,0.323582,0.782813,0.440264,0.587487,0.365216,0.505656,0.358017,0.751405,0.456001,0.512041,0.373393,0.529409,0.418570,0.520010,0.469564,0.459162,0.453660,0.581135,0.517911,0.572233,0.503200,0.615767,0.526727,0.734502,0.633050,0.574905,0.413594,0.578489,0.401381,0.672356,0.624874
3200,0.381518,0.378530,0.279769,0.282155,0.415915,0.317188,0.797924,0.434194,0.606208,0.361117,0.517897,0.354067,0.767848,0.450581,0.525585,0.370978,0.531546,0.412275,0.524464,0.468506,0.457231,0.451153,0.580667,0.513279,0.576768,0.505287,0.622773,0.530247,0.739539,0.634733,0.582525,0.409752,0.588962,0.398080,0.674762,0.626231
3400,0.370196,0.367002,0.268291,0.270564,0.423453,0.311506,0.813631,0.428487,0.623920,0.358088,0.531187,0.350063,0.785343,0.445601,0.538815,0.368556,0.533709,0.405849,0.527263,0.465642,0.454834,0.448154,0.579639,0.508564,0.580591,0.507319,0.627689,0.532674,0.744529,0.636311,0.587278,0.406905,0.597318,0.395432,0.676751,0.627320
3600,0.360657,0.357258,0.257981,0.260153,0.430783,0.305997,0.826272,0.423133,0.641297,0.354347,0.545260,0.346957,0.800194,0.440109,0.551919,0.366733,0.536767,0.399875,0.530195,0.463666,0.452344,0.445325,0.578482,0.503791,0.584740,0.509924,0.632591,0.535756,0.750211,0.638206,0.591926,0.404647,0.604449,0.393394,0.678530,0.628317
3800,0.351515,0.347942,0.248498,0.250567,0.439864,0.300612,0.837121,0.416845,0.656033,0.351062,0.560284,0.344403,0.814098,0.434870,0.564144,0.364430,0.540613,0.394365,0.533030,0.461661,0.450195,0.442594,0.577463,0.498888,0.586819,0.510215,0.636373,0.537813,0.756569,0.640224,0.596336,0.402367,0.609074,0.391421,0.680046,0.629122
4000,0.343221,0.339521,0.239773,0.241759,0.448067,0.295874,0.848973,0.411769,0.670344,0.347131,0.574751,0.341903,0.828282,0.429813,0.576096,0.362441,0.544421,0.388955,0.535478,0.459789,0.448708,0.440447,0.576447,0.493811,0.587176,0.509208,0.637991,0.537766,0.761440,0.641909,0.600474,0.401177,0.612452,0.390230,0.681559,0.629925
4200,0.335402,0.331595,0.231879,0.233782,0.456978,0.291877,0.858575,0.406458,0.685160,0.343536,0.588587,0.340213,0.841857,0.425270,0.587546,0.360784,0.547613,0.384221,0.538127,0.457833,0.447067,0.438034,0.574837,0.488956,0.587112,0.508093,0.639166,0.537998,0.765125,0.643225,0.605150,0.399070,0.617766,0.388748,0.682857,0.630642
4400,0.328433,0.324499,0.224672,0.226504,0.465309,0.288114,0.867328,0.401361,0.698088,0.339438,0.602153,0.338297,0.853111,0.420454,0.598554,0.358827,0.550452,0.379220,0.541114,0.456144,0.445260,0.435679,0.573638,0.484270,0.587170,0.506747,0.640264,0.537898,0.767973,0.644263,0.607072,0.397708,0.620085,0.387783,0.683936,0.631216
4600,0.322479,0.318437,0.218165,0.219934,0.474279,0.284657,0.876384,0.397261,0.709961,0.335821,0.616275,0.337329,0.864243,0.416639,0.610413,0.357606,0.554031,0.374484,0.542747,0.453337,0.444020,0.433838,0.572110,0.479385,0.587807,0.506268,0.641271,0.538122,0.770720,0.645261,0.609199,0.396554,0.621780,0.386522,0.684952,0.631746
4800,0.316684,0.312554,0.212339,0.214043,0.482372,0.281670,0.882699,0.393230,0.721388,0.332626,0.628266,0.336059,0.875193,0.413102,0.619494,0.356120,0.557218,0.370682,0.545632,0.452014,0.443259,0.432432,0.570616,0.475139,0.586916,0.504348,0.640039,0.536332,0.772582,0.645933,0.610268,0.395715,0.623238,0.385803,0.685744,0.632155
5000,0.311409,0.307234,0.207304,0.208941,0.490037,0.279076,0.888624,0.389166,0.731541,0.329237,0.639715,0.334565,0.884435,0.408998,0.628275,0.354460,0.560270,0.367112,0.546516,0.449417,0.441634,0.430159,0.568359,0.470451,0.585551,0.502183,0.637747,0.534031,0.774065,0.646523,0.610740,0.394532,0.624469,0.384985,0.686504,0.632566
5200,0.306731,0.302505,0.202584,0.204172,0.496768,0.276568,0.892849,0.384781,0.740702,0.326816,0.650693,0.333431,0.893797,0.406107,0.636415,0.352878,0.563502,0.364041,0.547621,0.447436,0.440541,0.428422,0.566933,0.466881,0.584047,0.500066,0.636140,0.532307,0.775192,0.646959,0.611718,0.393652,0.626623,0.384623,0.687011,0.632809
5400,0.302390,0.298124,0.198448,0.199990,0.503802,0.274102,0.897181,0.381300,0.748701,0.324084,0.661082,0.332774,0.902750,0.403537,0.644449,0.351530,0.566087,0.361154,0.548786,0.445615,0.439842,0.427088,0.565753,0.463678,0.583181,0.498400,0.634773,0.530654,0.776123,0.647353,0.611046,0.392750,0.627278,0.384248,0.687545,0.633097
5600,0.298750,0.294436,0.194755,0.196252,0.510096,0.272272,0.900854,0.378266,0.756371,0.321738,0.671206,0.332031,0.909342,0.400894,0.651766,0.350288,0.568418,0.358078,0.550349,0.444355,0.439457,0.426181,0.564290,0.460431,0.582197,0.496797,0.632962,0.528701,0.776665,0.647582,0.610660,0.392095,0.628033,0.383989,0.687870,0.633238
5800,0.295498,0.291133,0.191491,0.192951,0.515767,0.270304,0.903096,0.375130,0.763578,0.319312,0.680182,0.331475,0.916117,0.398524,0.658138,0.349114,0.571169,0.355730,0.551713,0.442759,0.438979,0.425081,0.562808,0.457321,0.580045,0.494362,0.630050,0.525938,0.776954,0.647833,0.611235,0.391812,0.628915,0.383893,0.688237,0.633440
6000,0.292591,0.288202,0.188639,0.190067,0.520901,0.268350,0.905377,0.372376,0.769639,0.317418,0.688908,0.331129,0.920921,0.396133,0.664392,0.347979,0.574210,0.353543,0.552600,0.441523,0.438348,0.424008,0.561440,0.454414,0.578574,0.492437,0.627653,0.523763,0.776988,0.647902,0.610611,0.391263,0.628819,0.383768,0.688422,0.633499
6200,0.290208,0.285824,0.186115,0.187515,0.525612,0.266471,0.908217,0.370179,0.776030,0.315537,0.696380,0.330589,0.926263,0.394343,0.669987,0.347434,0.576394,0.351432,0.553490,0.440329,0.438398,0.423537,0.560677,0.452067,0.577276,0.490715,0.625744,0.521998,0.776849,0.647897,0.611003,0.391263,0.629127,0.383745,0.688559,0.633531
6400,0.288011,0.283612,0.183921,0.185296,0.530218,0.265137,0.909077,0.367646,0.781291,0.313948,0.703595,0.330426,0.930807,0.392556,0.674794,0.346851,0.577856,0.349541,0.554701,0.439472,0.437974,0.422686,0.559602,0.449936,0.576278,0.489334,0.623658,0.520083,0.776637,0.647908,0.611596,0.391143,0.629602,0.383511,0.688668,0.633558
6600,0.286146,0.281732,0.182035,0.183384,0.534017,0.263914,0.910999,0.365949,0.785341,0.312253,0.709950,0.330001,0.934469,0.390961,0.679071,0.346242,0.579459,0.347786,0.554971,0.438118,0.437870,0.422199,0.558584,0.447839,0.574262,0.487285,0.620777,0.517633,0.776032,0.647864,0.610443,0.390952,0.629589,0.383868,0.688762,0.633588
6800,0.284732,0.280290,0.180349,0.181679,0.537376,0.262730,0.911994,0.364220,0.789044,0.310923,0.715353,0.329592,0.938339,0.389465,0.683087,0.345852,0.581152,0.346417,0.555533,0.437263,0.437562,0.421577,0.557752,0.446009,0.572909,0.485807,0.618670,0.515792,0.775406,0.647721,0.610333,0.390893,0.629510,0.383734,0.688767,0.633556
7000,0.283312,0.278861,0.178898,0.180212,0.540530,0.261618,0.912889,0.362581,0.792365,0.309685,0.720663,0.329467,0.941206,0.388092,0.686611,0.345422,0.582404,0.345019,0.556101,0.436489,0.437423,0.421113,0.556889,0.444315,0.571421,0.484367,0.616800,0.514233,0.774747,0.647629,0.610342,0.390856,0.629722,0.383765,0.688819,0.633561
7200,0.282096,0.277642,0.177620,0.178920,0.542982,0.260608,0.913835,0.361194,0.795205,0.308605,0.725344,0.329433,0.943768,0.386759,0.689619,0.344874,0.583816,0.343923,0.556465,0.435504,0.437362,0.420681,0.556127,0.442852,0.570916,0.483675,0.615365,0.512999,0.774265,0.647553,0.610134,0.390772,0.629558,0.383762,0.688850,0.633559
7400,0.280991,0.276543,0.176481,0.177767,0.545460,0.259762,0.913945,0.359846,0.797781,0.307687,0.729398,0.329289,0.946255,0.385703,0.692325,0.344495,0.584877,0.342962,0.557096,0.434964,0.437247,0.420350,0.555542,0.441630,0.570093,0.482617,0.613729,0.511545,0.773557,0.647447,0.609961,0.390680,0.629442,0.383804,0.688879,0.633560
7600,0.279993,0.275532,0.175442,0.176716,0.547747,0.259046,0.914237,0.358702,0.800329,0.306919,0.733122,0.329164,0.948441,0.384665,0.695056,0.344069,0.585915,0.341975,0.557353,0.434295,0.437160,0.419998,0.554832,0.440282,0.569293,0.481686,0.612299,0.510337,0.772840,0.647302,0.609885,0.390648,0.629275,0.383639,0.688877,0.633537
7800,0.279041,0.274579,0.174466,0.175728,0.549706,0.258312,0.914616,0.357552,0.802161,0.306031,0.736793,0.329175,0.950330,0.383790,0.697270,0.343726,0.586853,0.341037,0.557772,0.433739,0.437107,0.419674,0.554174,0.439065,0.568194,0.480565,0.610868,0.509160,0.772013,0.647134,0.609697,0.390631,0.628657,0.383412,0.688877,0.633520
8000,0.278219,0.273754,0.173534,0.174786,0.551672,0.257556,0.915693,0.356688,0.804410,0.305133,0.740504,0.329132,0.952734,0.383015,0.699737,0.343385,0.587894,0.340293,0.558249,0.433306,0.436854,0.419188,0.553505,0.437833,0.567320,0.479544,0.609369,0.507860,0.771038,0.646920,0.609475,0.390460,0.628790,0.383581,0.688853,0.633479
