step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean
0,0.336028,0.332064,0.331908,254.9654,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.9654,0.994844,1.9897,16.0000
200,0.320674,0.339709,0.339618,260.8612,1371001,0.14527650,550,757673,612778,1371001,0.391216,0.391896,0.392344,-0.001069,0.000000,0.001135,0.000166,1.000000,260.8612,1.016263,2.0391,16.0000
400,0.286353,0.356754,0.356893,274.0406,2852895,0.30230364,116962,1602362,1133571,2473797,0.389593,0.391504,0.393319,-0.003168,-0.000000,0.002812,0.000423,1.000000,274.0406,1.039233,2.1056,16.0000
600,0.272122,0.363928,0.363950,279.5053,3716968,0.39386410,375541,1972260,1369167,2664269,0.387489,0.390924,0.394950,-0.005092,-0.000004,0.005048,0.000774,1.000000,279.5053,1.042167,2.1398,16.0000
800,0.269477,0.365285,0.365238,280.5208,4191920,0.44419184,594718,2112626,1484576,2515985,0.384583,0.390209,0.397386,-0.007439,0.000003,0.007629,0.001193,1.000000,280.5208,1.042915,2.1618,16.0000
1000,0.269844,0.365009,0.365147,280.3800,4478694,0.47457948,752860,2175212,1550622,2349417,0.381616,0.389382,0.400187,-0.011958,-0.000007,0.011315,0.001643,1.000000,280.3800,1.043063,2.1573,16.0000
1200,0.270295,0.364620,0.365085,280.2067,4666924,0.49452507,869957,2208648,1588319,2209804,0.378092,0.388446,0.404829,-0.014719,-0.000013,0.012812,0.002166,1.000000,280.2067,1.045278,2.1247,16.0000
1400,0.270502,0.364667,0.364831,280.1272,4802160,0.50885516,959735,2230400,1612025,2096694,0.373855,0.387309,0.408417,-0.019281,-0.000003,0.016385,0.002744,1.000000,280.1272,1.045851,2.0633,16.0000
1600,0.270884,0.364411,0.364704,279.9804,4904408,0.51968980,1030109,2244534,1629765,1999931,0.370234,0.386083,0.412381,-0.025015,-0.000007,0.027738,0.003401,1.000000,279.9804,1.047366,1.9807,16.0000
1800,0.270261,0.364560,0.365179,280.2198,4974515,0.52711856,1084808,2255179,1634528,1847445,0.365768,0.384665,0.413213,-0.026837,-0.000028,0.031234,0.004034,1.000000,280.2198,1.048850,1.8954,16.0000
2000,0.269836,0.364860,0.365305,280.3831,5022831,0.53223830,1122453,2262521,1637857,1679261,0.363891,0.383252,0.415740,-0.031594,-0.000039,0.035012,0.004628,1.000000,280.3831,1.051355,1.8116,16.0000
2200,0.268914,0.365252,0.365834,280.7371,5060879,0.53627002,1154129,2270058,1636692,1554872,0.360451,0.381758,0.417963,-0.041436,-0.000008,0.039123,0.005177,1.000000,280.7371,1.052452,1.7269,16.0000
2400,0.268094,0.365660,0.366246,281.0518,5089829,0.53933769,1179141,2275894,1634794,1458986,0.356297,0.380314,0.418890,-0.034822,-0.000009,0.040885,0.005721,1.000000,281.0518,1.054639,1.6503,16.0000
2600,0.267362,0.366220,0.366418,281.3330,5116655,0.54218030,1200861,2281902,1633892,1384298,0.352933,0.378897,0.419169,-0.037009,-0.000006,0.041298,0.006241,1.000000,281.3330,1.056918,1.5776,16.0000
2800,0.266789,0.366353,0.366857,281.5529,5137527,0.54439193,1219496,2285722,1632309,1321857,0.350439,0.377567,0.419980,-0.043606,0.000002,0.043962,0.006727,1.000000,281.5529,1.058241,1.5052,16.0000
3000,0.266458,0.366350,0.367192,281.6802,5156736,0.54642743,1234846,2289216,1632674,1268223,0.346651,0.376323,0.418163,-0.047406,-0.000029,0.045214,0.007217,1.000000,281.6802,1.059533,1.4377,16.0000
3200,0.265829,0.366726,0.367445,281.9218,5172388,0.54808599,1249356,2292756,1630276,1221261,0.344568,0.375112,0.417544,-0.047933,-0.000022,0.047226,0.007692,1.000000,281.9218,1.061632,1.3833,16.0000
3400,0.264995,0.367236,0.367768,282.2419,5189025,0.54984885,1262613,2298379,1628033,1179725,0.340895,0.373865,0.417779,-0.052921,-0.000045,0.052031,0.008080,1.000000,282.2419,1.064019,1.3300,16.0000
3600,0.264244,0.367554,0.368203,282.5304,5200192,0.55103219,1275392,2301119,1623681,1142226,0.338798,0.372610,0.417890,-0.055777,-0.000037,0.055251,0.008526,1.000000,282.5304,1.065806,1.2828,16.0000
3800,0.263893,0.367786,0.368321,282.6651,5213494,0.55244172,1286142,2304050,1623302,1110563,0.335852,0.371465,0.419572,-0.062984,-0.000039,0.059600,0.008929,1.000000,282.6651,1.067434,1.2373,16.0000
4000,0.263194,0.368235,0.368571,282.9336,5223734,0.55352676,1296622,2307229,1619883,1082274,0.332256,0.370283,0.418012,-0.068422,-0.000064,0.063944,0.009292,1.000000,282.9336,1.068073,1.1979,16.0000
