step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497306,0.497619,0.497079,0.497078,0.496694,0.496589,0.499343,0.499317,0.498493,0.498554,0.499350,0.499326,0.499249,0.499302,0.499259,0.499288,0.499854,0.499823,0.499140,0.499283,0.499249,0.499268,0.499956,0.499917,0.499219,0.499272,0.499377,0.499389,0.500076,0.500052,0.499358,0.499360,0.499382,0.499398,0.500109,0.500094
400,0.489410,0.490110,0.491185,0.491181,0.488229,0.488257,0.500821,0.499169,0.493649,0.494104,0.494282,0.494149,0.498951,0.498524,0.497491,0.497840,0.500305,0.499794,0.497283,0.497201,0.498605,0.498793,0.501420,0.500676,0.497559,0.497169,0.498982,0.499083,0.501743,0.501256,0.497297,0.497283,0.499588,0.499673,0.502074,0.501891
600,0.478133,0.478890,0.478771,0.479151,0.474040,0.474669,0.506597,0.499413,0.484108,0.484653,0.483988,0.483549,0.502178,0.497297,0.489393,0.489429,0.497332,0.495752,0.496363,0.493493,0.495000,0.495606,0.504694,0.502104,0.497458,0.493859,0.495795,0.496092,0.504518,0.502626,0.495702,0.494997,0.499870,0.500067,0.507183,0.505938
800,0.466986,0.465257,0.459920,0.459898,0.454780,0.455790,0.515641,0.499757,0.474240,0.472945,0.470791,0.468763,0.509217,0.495258,0.477038,0.474873,0.489719,0.486188,0.498965,0.487399,0.487743,0.488463,0.510888,0.504467,0.499919,0.489102,0.489431,0.489473,0.510166,0.504717,0.495949,0.492635,0.500139,0.500534,0.519364,0.515074
1000,0.459187,0.451310,0.444165,0.440678,0.435648,0.435600,0.527176,0.499931,0.468408,0.461144,0.461674,0.453865,0.517094,0.491664,0.466140,0.457520,0.479434,0.471886,0.507202,0.481153,0.480258,0.479920,0.522895,0.509582,0.506445,0.484294,0.480462,0.478895,0.519064,0.507111,0.497231,0.489709,0.501168,0.501267,0.539104,0.529600
1200,0.457761,0.441213,0.435704,0.423841,0.420845,0.417505,0.539135,0.499442,0.470776,0.452484,0.462410,0.442157,0.526307,0.488402,0.463289,0.441159,0.469944,0.456121,0.515945,0.474696,0.472118,0.469514,0.535091,0.511960,0.514070,0.480108,0.474782,0.469490,0.529390,0.507682,0.500887,0.487003,0.502085,0.501502,0.559033,0.543649
1400,0.460258,0.433053,0.435139,0.410024,0.413352,0.402059,0.550136,0.497822,0.479184,0.446101,0.473145,0.434477,0.537553,0.484768,0.469610,0.428176,0.464383,0.440822,0.527495,0.469313,0.466450,0.459659,0.547623,0.513526,0.524345,0.475586,0.470568,0.459755,0.539407,0.505210,0.505214,0.483859,0.503303,0.501223,0.579329,0.557207
1600,0.465621,0.427626,0.441525,0.398473,0.414681,0.388055,0.561594,0.497879,0.490674,0.441932,0.489181,0.429926,0.548244,0.481174,0.481899,0.417199,0.465632,0.426129,0.540856,0.464949,0.462480,0.449603,0.562635,0.515099,0.535879,0.471472,0.469012,0.450401,0.551284,0.502678,0.513252,0.480753,0.505249,0.500366,0.599519,0.569077
1800,0.469785,0.422293,0.451841,0.390229,0.426388,0.377513,0.572699,0.496782,0.504517,0.438801,0.510366,0.430009,0.559420,0.477669,0.499879,0.409028,0.474158,0.414887,0.554342,0.460073,0.460545,0.439804,0.576376,0.513462,0.547841,0.468691,0.471711,0.441466,0.565070,0.498848,0.522354,0.478523,0.507110,0.498702,0.617952,0.577778
2000,0.476564,0.418413,0.464753,0.382794,0.442141,0.371608,0.583834,0.495857,0.520666,0.437088,0.532312,0.429595,0.571696,0.474139,0.519234,0.404067,0.487071,0.404595,0.568251,0.455803,0.461615,0.431233,0.592556,0.512023,0.561012,0.465138,0.477874,0.434517,0.578653,0.494831,0.532022,0.477045,0.509314,0.496600,0.634213,0.583627
2200,0.481981,0.414531,0.479877,0.377493,0.460263,0.365953,0.594309,0.493883,0.539175,0.437401,0.557209,0.433422,0.586468,0.471889,0.540337,0.401233,0.505005,0.397993,0.583451,0.453081,0.463994,0.422534,0.608413,0.509540,0.575919,0.462881,0.488350,0.429311,0.595705,0.491155,0.541482,0.474049,0.512411,0.494489,0.648854,0.586884
2400,0.489750,0.412825,0.494756,0.372484,0.480182,0.364944,0.605106,0.493152,0.557423,0.436902,0.581824,0.436593,0.601071,0.469914,0.562260,0.399970,0.524615,0.393077,0.597970,0.449556,0.470748,0.415501,0.625569,0.507525,0.590481,0.460547,0.498771,0.424089,0.611551,0.486047,0.554074,0.473028,0.515485,0.491104,0.661524,0.587497
2600,0.496938,0.409915,0.512104,0.369071,0.501350,0.365974,0.615763,0.491422,0.576752,0.437625,0.606704,0.439956,0.612616,0.467124,0.585123,0.398191,0.545622,0.389724,0.613637,0.446831,0.478111,0.409007,0.640601,0.503036,0.605281,0.457629,0.511538,0.419121,0.627197,0.479087,0.567183,0.471315,0.519507,0.488097,0.672737,0.586817
2800,0.505051,0.408179,0.528572,0.365518,0.522041,0.366345,0.625188,0.490268,0.596975,0.439041,0.633048,0.444586,0.625928,0.464908,0.608277,0.396678,0.568402,0.388359,0.630031,0.444862,0.487958,0.403597,0.658164,0.500351,0.621305,0.456625,0.527624,0.415808,0.647084,0.474257,0.581026,0.469607,0.524613,0.484973,0.681669,0.583244
3000,0.512016,0.406456,0.543629,0.362703,0.543790,0.367113,0.633604,0.488086,0.616174,0.440210,0.659746,0.449878,0.640054,0.461928,0.632971,0.395550,0.591529,0.386959,0.646078,0.442689,0.500437,0.399544,0.674549,0.496248,0.635767,0.454183,0.543651,0.413819,0.667683,0.470568,0.594850,0.468692,0.530413,0.481534,0.689874,0.579141
3200,0.517902,0.404383,0.559223,0.359570,0.565366,0.368666,0.642022,0.486499,0.634687,0.440903,0.686475,0.455036,0.652619,0.459103,0.657159,0.394441,0.614909,0.387145,0.662373,0.440972,0.513936,0.396724,0.691508,0.493514,0.651514,0.452488,0.558927,0.412261,0.686958,0.465791,0.609594,0.468166,0.537207,0.478204,0.697310,0.573120
3400,0.523847,0.402467,0.575100,0.355935,0.586937,0.370208,0.651617,0.485884,0.652527,0.441161,0.712604,0.459357,0.666417,0.456598,0.680321,0.392945,0.637914,0.387216,0.677141,0.438870,0.526778,0.393737,0.708260,0.489870,0.665582,0.450783,0.574969,0.410386,0.706257,0.460627,0.623286,0.467265,0.546011,0.474931,0.703596,0.566838
3600,0.530121,0.401412,0.589977,0.352261,0.607228,0.371917,0.659331,0.483683,0.670145,0.441733,0.739200,0.463822,0.681040,0.454703,0.703088,0.392282,0.661593,0.386911,0.692754,0.437202,0.540147,0.391390,0.724918,0.486881,0.680211,0.449683,0.593223,0.410413,0.725770,0.456731,0.635061,0.465625,0.554230,0.471535,0.709561,0.560175
3800,0.535014,0.399362,0.604069,0.349168,0.627178,0.372857,0.665600,0.480911,0.688308,0.441875,0.764786,0.468014,0.693780,0.451891,0.724503,0.389839,0.685141,0.387268,0.707092,0.435331,0.553711,0.390001,0.740368,0.484153,0.694190,0.448506,0.608758,0.408871,0.745496,0.451874,0.648998,0.465071,0.563391,0.468627,0.714558,0.553190
4000,0.539532,0.397465,0.617478,0.346104,0.645783,0.373289,0.672575,0.479094,0.704959,0.442089,0.789601,0.472430,0.707875,0.450073,0.746189,0.388396,0.706993,0.387996,0.722026,0.433887,0.568208,0.389100,0.757445,0.482403,0.708220,0.447600,0.625047,0.408076,0.765485,0.448797,0.662013,0.464217,0.573472,0.465471,0.717793,0.545672
4200,0.543974,0.395751,0.629319,0.342701,0.663889,0.374428,0.678269,0.477007,0.720718,0.442349,0.812567,0.475611,0.719175,0.448163,0.766196,0.386659,0.728618,0.387645,0.735286,0.432348,0.581456,0.387583,0.772173,0.478825,0.719591,0.445626,0.641084,0.406915,0.783672,0.444809,0.673526,0.462258,0.584049,0.462508,0.721495,0.538536
4400,0.547382,0.393766,0.641184,0.339823,0.681921,0.375943,0.685397,0.476114,0.736097,0.442183,0.835714,0.479281,0.731188,0.446458,0.783891,0.384867,0.749269,0.386917,0.748124,0.430980,0.593963,0.386577,0.786713,0.476649,0.732272,0.444341,0.656399,0.405896,0.800311,0.440824,0.684696,0.461440,0.593769,0.460031,0.725587,0.532155
4600,0.551538,0.392479,0.652506,0.337071,0.698432,0.376642,0.691026,0.474958,0.750062,0.442047,0.857438,0.481939,0.743972,0.444667,0.802555,0.383729,0.769576,0.386343,0.761493,0.430008,0.606332,0.386136,0.800018,0.473684,0.744295,0.443569,0.671490,0.406036,0.818112,0.438676,0.696308,0.461557,0.604127,0.458056,0.728933,0.525463
4800,0.554752,0.391447,0.661861,0.334330,0.713934,0.377680,0.695534,0.473094,0.761747,0.441188,0.877586,0.484385,0.755651,0.443627,0.819248,0.382125,0.788440,0.386179,0.772608,0.428541,0.618315,0.386025,0.813220,0.472513,0.754752,0.442862,0.686265,0.405967,0.834039,0.435612,0.707127,0.461247,0.613785,0.455970,0.731218,0.519053
