step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,2.00000,9.224405,0.001641,0.001641,0.000254,0.000236,0.000267,0.000296,0.000289,0.000300,2.582215,2.627474
400,2.00000,7.525333,0.000541,0.000541,0.000062,0.000066,0.000081,0.000102,0.000133,0.000097,2.137228,2.178261
600,2.00000,6.649077,0.000554,0.000554,0.000065,0.000064,0.000075,0.000090,0.000125,0.000135,1.974866,2.021553
800,2.00000,6.224666,0.000787,0.000787,0.000095,0.000084,0.000098,0.000114,0.000148,0.000248,1.876646,1.918790
1000,2.00000,5.919783,0.001124,0.001124,0.000130,0.000114,0.000133,0.000158,0.000205,0.000383,1.798324,1.836569
1200,2.00000,5.676122,0.001591,0.001591,0.000181,0.000164,0.000190,0.000228,0.000287,0.000542,1.734350,1.772477
1400,2.00000,5.475752,0.002255,0.002255,0.000253,0.000242,0.000273,0.000329,0.000407,0.000750,1.678241,1.718572
1600,2.00000,5.312903,0.003149,0.003149,0.000357,0.000358,0.000388,0.000469,0.000575,0.001002,1.630220,1.674298
1800,2.00000,5.138772,0.004163,0.004163,0.000471,0.000479,0.000520,0.000620,0.000779,0.001294,1.582550,1.632677
2000,2.00000,4.973415,0.005126,0.005126,0.000565,0.000585,0.000643,0.000752,0.001006,0.001575,1.534118,1.586017
2200,2.00000,4.823246,0.006037,0.006037,0.000646,0.000685,0.000769,0.000875,0.001235,0.001828,1.492628,1.547468
2400,2.00000,4.705064,0.006872,0.006872,0.000715,0.000776,0.000883,0.000995,0.001454,0.002049,1.460447,1.518279
2600,2.00000,4.601844,0.007722,0.007722,0.000795,0.000873,0.001006,0.001124,0.001666,0.002258,1.433519,1.494354
2800,2.00000,4.524800,0.008446,0.008446,0.000855,0.000950,0.001117,0.001235,0.001852,0.002437,1.412954,1.477089
3000,2.00000,4.467197,0.009137,0.009137,0.000913,0.001026,0.001229,0.001357,0.002020,0.002593,1.393459,1.460844
3200,2.00000,4.426577,0.009762,0.009762,0.000975,0.001094,0.001334,0.001465,0.002165,0.002729,1.380090,1.451281
3400,2.00000,4.372873,0.010294,0.010294,0.001019,0.001149,0.001428,0.001557,0.002294,0.002846,1.367064,1.438896
3600,2.00000,4.328973,0.010859,0.010859,0.001070,0.001219,0.001524,0.001664,0.002418,0.002965,1.355640,1.430843
3800,2.00000,4.313102,0.011328,0.011328,0.001108,0.001272,0.001604,0.001751,0.002523,0.003071,1.346634,1.421450
4000,2.00000,4.277811,0.011716,0.011716,0.001136,0.001314,0.001675,0.001819,0.002608,0.003164,1.339314,1.416329
4200,2.00000,4.239756,0.012121,0.012121,0.001170,0.001357,0.001744,0.001893,0.002707,0.003250,1.330412,1.411514
4400,2.00000,4.217627,0.012437,0.012437,0.001200,0.001402,0.001805,0.001952,0.002767,0.003311,1.322497,1.405440
4600,2.00000,4.205565,0.012714,0.012714,0.001226,0.001429,0.001853,0.002006,0.002829,0.003371,1.315546,1.399909
4800,2.00000,4.177804,0.012942,0.012942,0.001238,0.001453,0.001897,0.002056,0.002883,0.003416,1.310208,1.397926
5000,2.00000,4.165715,0.013140,0.013140,0.001249,0.001476,0.001934,0.002090,0.002924,0.003467,1.305231,1.392946
5200,2.00000,4.155655,0.013322,0.013322,0.001258,0.001493,0.001969,0.002130,0.002963,0.003509,1.298387,1.386795
5400,2.00000,4.155983,0.013450,0.013450,0.001265,0.001508,0.001990,0.002141,0.002987,0.003559,1.293855,1.384537
5600,2.00000,4.114889,0.013539,0.013539,0.001267,0.001516,0.002007,0.002168,0.003013,0.003567,1.289083,1.381803
5800,2.00000,4.091620,0.013648,0.013648,0.001265,0.001537,0.002030,0.002188,0.003031,0.003597,1.286424,1.377289
6000,2.00000,4.080875,0.013725,0.013725,0.001274,0.001543,0.002047,0.002199,0.003041,0.003622,1.282016,1.375402
6200,2.00000,4.070242,0.013739,0.013739,0.001270,0.001542,0.002051,0.002204,0.003047,0.003624,1.278002,1.373412
6400,2.00000,4.053520,0.013786,0.013786,0.001268,0.001552,0.002063,0.002213,0.003059,0.003631,1.274852,1.370652
6600,2.00000,4.041285,0.013762,0.013762,0.001255,0.001553,0.002065,0.002210,0.003042,0.003637,1.270420,1.369598
6800,2.00000,4.042350,0.013738,0.013738,0.001249,0.001546,0.002068,0.002200,0.003040,0.003635,1.266368,1.365911
7000,2.00000,4.015390,0.013744,0.013744,0.001243,0.001549,0.002068,0.002211,0.003031,0.003642,1.264020,1.364602
7200,2.00000,3.993260,0.013658,0.013658,0.001227,0.001528,0.002052,0.002195,0.003022,0.003635,1.261296,1.364520
7400,2.00000,3.995801,0.013596,0.013596,0.001212,0.001523,0.002042,0.002189,0.003010,0.003620,1.257656,1.360811
7600,2.00000,3.979084,0.013519,0.013519,0.001195,0.001513,0.002029,0.002175,0.002997,0.003609,1.255094,1.359146
7800,2.00000,3.963059,0.013460,0.013460,0.001188,0.001505,0.002021,0.002166,0.002978,0.003602,1.253233,1.359273
8000,2.00000,3.955980,0.013435,0.013435,0.001181,0.001506,0.002016,0.002158,0.002974,0.003600,1.249939,1.357618
8200,2.00000,3.952742,0.013312,0.013312,0.001156,0.001489,0.002005,0.002143,0.002944,0.003575,1.246743,1.355790
8400,2.00000,3.940464,0.013190,0.013190,0.001135,0.001474,0.001980,0.002128,0.002920,0.003553,1.243867,1.353895
8600,2.00000,3.926214,0.013049,0.013049,0.001117,0.001456,0.001959,0.002099,0.002894,0.003524,1.241674,1.354126
8800,2.00000,3.917008,0.012951,0.012951,0.001098,0.001439,0.001943,0.002085,0.002869,0.003517,1.239857,1.355845
9000,2.00000,3.923521,0.012845,0.012845,0.001089,0.001427,0.001930,0.002063,0.002847,0.003489,1.237746,1.351696
9200,2.00000,3.907661,0.012706,0.012706,0.001070,0.001412,0.001907,0.002041,0.002818,0.003458,1.235970,1.350560
9400,2.00000,3.892192,0.012573,0.012573,0.001048,0.001392,0.001887,0.002019,0.002792,0.003436,1.234314,1.351392
9600,2.00000,3.888976,0.012435,0.012435,0.001030,0.001378,0.001870,0.001992,0.002756,0.003410,1.231821,1.350751
9800,2.00000,3.893384,0.012287,0.012287,0.001014,0.001360,0.001850,0.001970,0.002722,0.003372,1.228502,1.347240
10000,2.00000,3.872064,0.012127,0.012127,0.000990,0.001340,0.001823,0.001943,0.002696,0.003337,1.227350,1.348177
10200,2.00000,3.868749,0.011990,0.011990,0.000974,0.001320,0.001799,0.001921,0.002656,0.003319,1.226116,1.347785
10400,2.00000,3.880803,0.011851,0.011851,0.000955,0.001301,0.001779,0.001895,0.002624,0.003298,1.223217,1.346961
10600,2.00000,3.883943,0.011653,0.011653,0.000932,0.001274,0.001740,0.001861,0.002592,0.003255,1.220971,1.345687
10800,2.00000,3.850859,0.011492,0.011492,0.000911,0.001257,0.001720,0.001839,0.002554,0.003210,1.220392,1.346338
11000,2.00000,3.827223,0.011352,0.011352,0.000892,0.001238,0.001700,0.001819,0.002526,0.003176,1.217832,1.344927
11200,2.00000,3.833779,0.011237,0.011237,0.000881,0.001227,0.001681,0.001797,0.002496,0.003154,1.216592,1.344317
11400,2.00000,3.833090,0.011077,0.011077,0.000864,0.001209,0.001659,0.001765,0.002464,0.003116,1.214461,1.343448
11600,2.00000,3.819647,0.010929,0.010929,0.000847,0.001188,0.001634,0.001741,0.002434,0.003085,1.213822,1.343891
11800,2.00000,3.816867,0.010773,0.010773,0.000827,0.001176,0.001608,0.001715,0.002396,0.003049,1.212298,1.343027
12000,2.00000,3.812893,0.010633,0.010633,0.000812,0.001157,0.001589,0.001690,0.002367,0.003018,1.210830,1.341741
12200,2.00000,3.796504,0.010496,0.010496,0.000797,0.001143,0.001572,0.001666,0.002329,0.002990,1.209341,1.343843
12400,2.00000,3.789671,0.010330,0.010330,0.000780,0.001118,0.001543,0.001644,0.002298,0.002947,1.208132,1.343097
12600,2.00000,3.786907,0.010191,0.010191,0.000766,0.001103,0.001521,0.001622,0.002267,0.002913,1.206726,1.342945
12800,2.00000,3.779133,0.010051,0.010051,0.000750,0.001089,0.001501,0.001594,0.002237,0.002879,1.205333,1.341384
13000,2.00000,3.775941,0.009901,0.009901,0.000738,0.001069,0.001475,0.001572,0.002205,0.002841,1.205278,1.340943
13200,2.00000,3.767556,0.009789,0.009789,0.000727,0.001053,0.001457,0.001549,0.002180,0.002823,1.203751,1.341359
13400,2.00000,3.772084,0.009675,0.009675,0.000713,0.001038,0.001441,0.001529,0.002156,0.002799,1.202148,1.341726
13600,2.00000,3.763905,0.009539,0.009539,0.000699,0.001022,0.001416,0.001513,0.002124,0.002766,1.201349,1.339540
13800,2.00000,3.754132,0.009411,0.009411,0.000685,0.001006,0.001395,0.001487,0.002100,0.002739,1.200134,1.340114
14000,2.00000,3.754175,0.009311,0.009311,0.000673,0.000994,0.001381,0.001475,0.002080,0.002708,1.199404,1.341575
14200,2.00000,3.758741,0.009203,0.009203,0.000667,0.000982,0.001366,0.001456,0.002053,0.002678,1.198244,1.341950
