step,batch_loss,lr
1,4.272692e+03,1.000000e-07
2,4.371497e+03,2.000000e-07
3,4.294592e+03,3.000000e-07
4,4.407001e+03,4.000000e-07
5,4.281208e+03,5.000000e-07
6,4.259212e+03,6.000000e-07
7,4.324601e+03,7.000000e-07
8,4.249151e+03,8.000000e-07
9,4.326766e+03,9.000000e-07
10,4.285425e+03,1.000000e-06
11,4.296541e+03,1.100000e-06
12,4.269205e+03,1.200000e-06
13,4.289099e+03,1.300000e-06
14,4.281508e+03,1.400000e-06
15,4.340011e+03,1.500000e-06
16,4.298866e+03,1.600000e-06
17,4.347647e+03,1.700000e-06
18,4.311729e+03,1.800000e-06
19,4.250622e+03,1.900000e-06
20,4.367499e+03,2.000000e-06
21,4.327891e+03,2.100000e-06
22,4.325024e+03,2.200000e-06
23,4.250135e+03,2.300000e-06
24,4.280823e+03,2.400000e-06
25,4.150155e+03,2.500000e-06
26,4.136422e+03,2.600000e-06
27,4.019441e+03,2.700000e-06
28,3.907948e+03,2.800000e-06
29,3.828639e+03,2.900000e-06
30,3.844373e+03,3.000000e-06
31,3.660949e+03,3.100000e-06
32,3.639779e+03,3.200000e-06
33,3.600105e+03,3.300000e-06
34,3.519748e+03,3.400000e-06
35,3.558759e+03,3.500000e-06
36,3.492351e+03,3.600000e-06
37,3.430498e+03,3.700000e-06
38,3.360776e+03,3.800000e-06
39,3.366951e+03,3.900000e-06
40,3.347180e+03,4.000000e-06
41,3.282304e+03,4.100000e-06
42,3.241138e+03,4.200000e-06
43,3.215808e+03,4.300000e-06
44,3.174435e+03,4.400000e-06
45,3.188115e+03,4.500000e-06
46,3.121191e+03,4.600000e-06
47,3.062403e+03,4.700000e-06
48,3.070607e+03,4.800000e-06
49,3.074693e+03,4.900000e-06
50,3.029216e+03,5.000000e-06
51,3.033413e+03,5.100000e-06
52,3.014508e+03,5.200000e-06
53,3.033686e+03,5.300000e-06
54,2.937341e+03,5.400000e-06
55,2.962059e+03,5.500000e-06
56,2.976158e+03,5.600000e-06
57,2.967153e+03,5.700000e-06
58,2.925861e+03,5.800000e-06
59,2.895031e+03,5.900000e-06
60,2.909028e+03,6.000000e-06
61,2.853127e+03,6.100000e-06
62,2.830651e+03,6.200000e-06
63,2.894085e+03,6.300000e-06
64,2.862746e+03,6.400000e-06
65,2.820014e+03,6.500000e-06
66,2.815208e+03,6.600000e-06
67,2.837016e+03,6.700000e-06
68,2.804539e+03,6.800000e-06
69,2.796477e+03,6.900000e-06
70,2.778930e+03,7.000000e-06
71,2.771061e+03,7.100000e-06
72,2.714688e+03,7.200000e-06
73,2.731737e+03,7.300000e-06
74,2.735818e+03,7.400000e-06
75,2.759023e+03,7.500000e-06
76,2.743849e+03,7.600000e-06
77,2.772520e+03,7.700000e-06
78,2.711720e+03,7.800000e-06
79,2.671763e+03,7.900000e-06
80,2.697272e+03,8.000000e-06
81,2.662549e+03,8.100000e-06
82,2.651870e+03,8.200000e-06
83,2.633736e+03,8.300000e-06
84,2.627716e+03,8.400000e-06
85,2.669049e+03,8.500000e-06
86,2.642492e+03,8.600000e-06
87,2.633202e+03,8.700000e-06
88,2.647260e+03,8.800000e-06
89,2.550093e+03,8.900000e-06
90,2.615037e+03,9.000000e-06
91,2.562696e+03,9.100000e-06
92,2.582192e+03,9.200000e-06
93,2.574571e+03,9.300000e-06
94,2.548419e+03,9.400000e-06
95,2.555036e+03,9.500000e-06
96,2.553531e+03,9.600000e-06
97,2.573220e+03,9.700000e-06
98,2.523811e+03,9.800000e-06
99,2.540491e+03,9.900000e-06
100,2.484689e+03,1.000000e-05
101,2.507926e+03,1.010000e-05
102,2.516428e+03,1.020000e-05
103,2.489790e+03,1.030000e-05
104,2.462105e+03,1.040000e-05
105,2.482012e+03,1.050000e-05
106,2.439929e+03,1.060000e-05
107,2.421814e+03,1.070000e-05
108,2.485803e+03,1.080000e-05
109,2.442652e+03,1.090000e-05
110,2.425441e+03,1.100000e-05
111,2.434887e+03,1.110000e-05
112,2.423864e+03,1.120000e-05
113,2.370672e+03,1.130000e-05
114,2.371101e+03,1.140000e-05
115,2.355133e+03,1.150000e-05
116,2.368915e+03,1.160000e-05
117,2.394703e+03,1.170000e-05
118,2.365719e+03,1.180000e-05
119,2.378642e+03,1.190000e-05
120,2.349941e+03,1.200000e-05
121,2.326246e+03,1.210000e-05
122,2.363238e+03,1.220000e-05
123,2.318540e+03,1.230000e-05
124,2.303519e+03,1.240000e-05
125,2.329008e+03,1.250000e-05
126,2.306402e+03,1.260000e-05
127,2.301547e+03,1.270000e-05
128,2.289323e+03,1.280000e-05
129,2.316846e+03,1.290000e-05
130,2.294041e+03,1.300000e-05
131,2.280093e+03,1.310000e-05
132,2.277462e+03,1.320000e-05
133,2.256174e+03,1.330000e-05
134,2.230727e+03,1.340000e-05
135,2.216615e+03,1.350000e-05
136,2.210497e+03,1.360000e-05
137,2.248252e+03,1.370000e-05
138,2.213956e+03,1.380000e-05
139,2.204692e+03,1.390000e-05
140,2.187919e+03,1.400000e-05
141,2.212524e+03,1.410000e-05
142,2.153612e+03,1.420000e-05
143,2.163706e+03,1.430000e-05
144,2.152974e+03,1.440000e-05
145,2.186123e+03,1.450000e-05
146,2.135756e+03,1.460000e-05
147,2.156010e+03,1.470000e-05
148,2.148502e+03,1.480000e-05
149,2.118760e+03,1.490000e-05
150,2.124961e+03,1.500000e-05
151,2.106092e+03,1.510000e-05
152,2.098654e+03,1.520000e-05
153,2.091969e+03,1.530000e-05
154,2.103312e+03,1.540000e-05
155,2.071025e+03,1.550000e-05
156,2.080744e+03,1.560000e-05
157,2.116547e+03,1.570000e-05
158,2.047822e+03,1.580000e-05
159,2.054775e+03,1.590000e-05
160,2.042941e+03,1.600000e-05
161,2.022207e+03,1.610000e-05
162,2.030314e+03,1.620000e-05
163,2.025939e+03,1.630000e-05
164,2.032385e+03,1.640000e-05
165,1.999049e+03,1.650000e-05
166,1.971874e+03,1.660000e-05
167,1.975259e+03,1.670000e-05
168,1.997620e+03,1.680000e-05
169,1.962995e+03,1.690000e-05
170,1.984471e+03,1.700000e-05
171,1.979683e+03,1.710000e-05
172,1.973159e+03,1.720000e-05
173,1.945207e+03,1.730000e-05
174,1.919258e+03,1.740000e-05
175,1.956767e+03,1.750000e-05
176,1.932113e+03,1.760000e-05
177,1.916294e+03,1.770000e-05
178,1.943078e+03,1.780000e-05
179,1.937411e+03,1.790000e-05
180,1.923718e+03,1.800000e-05
181,1.929847e+03,1.810000e-05
182,1.902451e+03,1.820000e-05
183,1.930182e+03,1.830000e-05
184,1.876960e+03,1.840000e-05
185,1.895902e+03,1.850000e-05
186,1.860640e+03,1.860000e-05
187,1.850672e+03,1.870000e-05
188,1.857762e+03,1.880000e-05
189,1.871509e+03,1.890000e-05
190,1.831616e+03,1.900000e-05
191,1.848503e+03,1.910000e-05
192,1.864907e+03,1.920000e-05
193,1.831652e+03,1.930000e-05
194,1.827769e+03,1.940000e-05
195,1.819804e+03,1.950000e-05
196,1.806584e+03,1.960000e-05
197,1.816829e+03,1.970000e-05
198,1.842887e+03,1.980000e-05
199,1.798089e+03,1.990000e-05
200,1.756636e+03,2.000000e-05
201,1.808493e+03,2.010000e-05
202,1.787915e+03,2.020000e-05
203,1.772606e+03,2.030000e-05
204,1.757530e+03,2.040000e-05
205,1.755732e+03,2.050000e-05
206,1.752676e+03,2.060000e-05
207,1.751902e+03,2.070000e-05
208,1.752048e+03,2.080000e-05
209,1.730349e+03,2.090000e-05
210,1.724136e+03,2.100000e-05
211,1.723932e+03,2.110000e-05
212,1.697469e+03,2.120000e-05
213,1.697093e+03,2.130000e-05
214,1.699750e+03,2.140000e-05
215,1.732102e+03,2.150000e-05
216,1.709457e+03,2.160000e-05
217,1.668342e+03,2.170000e-05
218,1.712409e+03,2.180000e-05
219,1.660755e+03,2.190000e-05
220,1.671836e+03,2.200000e-05
221,1.656095e+03,2.210000e-05
222,1.680494e+03,2.220000e-05
223,1.658844e+03,2.230000e-05
224,1.682556e+03,2.240000e-05
225,1.675212e+03,2.250000e-05
226,1.656284e+03,2.260000e-05
227,1.662691e+03,2.270000e-05
228,1.634824e+03,2.280000e-05
229,1.642293e+03,2.290000e-05
230,1.634476e+03,2.300000e-05
231,1.616599e+03,2.310000e-05
232,1.609490e+03,2.320000e-05
233,1.623358e+03,2.330000e-05
234,1.632275e+03,2.340000e-05
235,1.615262e+03,2.350000e-05
236,1.604913e+03,2.360000e-05
237,1.591011e+03,2.370000e-05
238,1.626674e+03,2.380000e-05
239,1.597229e+03,2.390000e-05
240,1.552885e+03,2.400000e-05
241,1.589588e+03,2.410000e-05
242,1.577641e+03,2.420000e-05
243,1.556248e+03,2.430000e-05
244,1.547115e+03,2.440000e-05
245,1.571226e+03,2.450000e-05
246,1.561878e+03,2.460000e-05
247,1.570013e+03,2.470000e-05
248,1.523449e+03,2.480000e-05
249,1.527498e+03,2.490000e-05
250,1.528659e+03,2.500000e-05
251,1.571413e+03,2.510000e-05
252,1.501569e+03,2.520000e-05
253,1.506634e+03,2.530000e-05
254,1.521041e+03,2.540000e-05
255,1.508274e+03,2.550000e-05
256,1.516521e+03,2.560000e-05
257,1.505809e+03,2.570000e-05
258,1.523154e+03,2.580000e-05
259,1.476028e+03,2.590000e-05
260,1.490823e+03,2.600000e-05
261,1.483878e+03,2.610000e-05
262,1.477832e+03,2.620000e-05
263,1.479649e+03,2.630000e-05
264,1.458982e+03,2.640000e-05
265,1.442263e+03,2.650000e-05
266,1.453132e+03,2.660000e-05
267,1.444826e+03,2.670000e-05
268,1.444951e+03,2.680000e-05
269,1.459908e+03,2.690000e-05
270,1.420286e+03,2.700000e-05
271,1.429189e+03,2.710000e-05
272,1.426280e+03,2.720000e-05
273,1.411047e+03,2.730000e-05
274,1.430665e+03,2.740000e-05
275,1.406386e+03,2.750000e-05
276,1.446735e+03,2.760000e-05
277,1.415284e+03,2.770000e-05
278,1.426035e+03,2.780000e-05
279,1.398033e+03,2.790000e-05
280,1.408099e+03,2.800000e-05
281,1.397341e+03,2.810000e-05
282,1.400608e+03,2.820000e-05
283,1.372096e+03,2.830000e-05
284,1.392502e+03,2.840000e-05
285,1.361065e+03,2.850000e-05
286,1.362486e+03,2.860000e-05
287,1.368343e+03,2.870000e-05
288,1.357992e+03,2.880000e-05
289,1.364537e+03,2.890000e-05
290,1.355846e+03,2.900000e-05
291,1.321767e+03,2.910000e-05
292,1.333249e+03,2.920000e-05
293,1.344225e+03,2.930000e-05
294,1.322583e+03,2.940000e-05
295,1.324420e+03,2.950000e-05
296,1.290668e+03,2.960000e-05
297,1.339481e+03,2.970000e-05
298,1.308912e+03,2.980000e-05
299,1.288829e+03,2.990000e-05
300,1.307443e+03,3.000000e-05
301,1.321839e+03,3.010000e-05
302,1.285419e+03,3.020000e-05
303,1.298667e+03,3.030000e-05
304,1.272334e+03,3.040000e-05
305,1.308851e+03,3.050000e-05
306,1.277683e+03,3.060000e-05
307,1.248384e+03,3.070000e-05
308,1.269213e+03,3.080000e-05
309,1.261535e+03,3.090000e-05
310,1.251079e+03,3.100000e-05
311,1.262058e+03,3.110000e-05
312,1.246444e+03,3.120000e-05
313,1.264206e+03,3.130000e-05
314,1.258319e+03,3.140000e-05
315,1.235985e+03,3.150000e-05
316,1.225458e+03,3.160000e-05
317,1.228156e+03,3.170000e-05
318,1.221259e+03,3.180000e-05
319,1.248395e+03,3.190000e-05
320,1.220904e+03,3.200000e-05
321,1.208382e+03,3.210000e-05
322,1.227982e+03,3.220000e-05
323,1.208431e+03,3.230000e-05
324,1.199661e+03,3.240000e-05
325,1.198052e+03,3.250000e-05
326,1.212177e+03,3.260000e-05
327,1.188198e+03,3.270000e-05
328,1.178543e+03,3.280000e-05
329,1.163817e+03,3.290000e-05
330,1.152610e+03,3.300000e-05
331,1.163793e+03,3.310000e-05
332,1.153424e+03,3.320000e-05
333,1.193332e+03,3.330000e-05
334,1.144488e+03,3.340000e-05
335,1.148871e+03,3.350000e-05
336,1.148682e+03,3.360000e-05
337,1.142490e+03,3.370000e-05
338,1.146525e+03,3.380000e-05
339,1.126599e+03,3.390000e-05
340,1.147058e+03,3.400000e-05
341,1.141208e+03,3.410000e-05
342,1.125759e+03,3.420000e-05
343,1.128550e+03,3.430000e-05
344,1.144369e+03,3.440000e-05
345,1.116057e+03,3.450000e-05
346,1.134879e+03,3.460000e-05
347,1.099423e+03,3.470000e-05
348,1.120491e+03,3.480000e-05
349,1.135188e+03,3.490000e-05
350,1.128624e+03,3.500000e-05
351,1.106836e+03,3.510000e-05
352,1.102612e+03,3.520000e-05
353,1.102095e+03,3.530000e-05
354,1.077547e+03,3.540000e-05
355,1.090390e+03,3.550000e-05
356,1.094325e+03,3.560000e-05
357,1.088317e+03,3.570000e-05
358,1.064754e+03,3.580000e-05
359,1.067229e+03,3.590000e-05
360,1.082330e+03,3.600000e-05
361,1.063263e+03,3.610000e-05
362,1.081960e+03,3.620000e-05
363,1.061784e+03,3.630000e-05
364,1.062597e+03,3.640000e-05
365,1.043504e+03,3.650000e-05
366,1.076196e+03,3.660000e-05
367,1.050514e+03,3.670000e-05
368,1.047536e+03,3.680000e-05
369,1.041810e+03,3.690000e-05
370,1.055475e+03,3.700000e-05
371,1.028149e+03,3.710000e-05
372,1.034589e+03,3.720000e-05
373,1.025763e+03,3.730000e-05
374,1.026953e+03,3.740000e-05
375,1.017387e+03,3.750000e-05
376,1.030058e+03,3.760000e-05
377,1.008832e+03,3.770000e-05
378,1.013409e+03,3.780000e-05
379,1.010913e+03,3.790000e-05
380,1.005056e+03,3.800000e-05
381,1.017080e+03,3.810000e-05
382,9.903544e+02,3.820000e-05
383,9.953015e+02,3.830000e-05
384,9.738625e+02,3.840000e-05
385,9.968186e+02,3.850000e-05
386,9.838173e+02,3.860000e-05
387,1.004259e+03,3.870000e-05
388,9.803865e+02,3.880000e-05
389,9.680454e+02,3.890000e-05
390,9.951267e+02,3.900000e-05
391,9.623010e+02,3.910000e-05
392,9.733773e+02,3.920000e-05
393,9.636047e+02,3.930000e-05
394,9.752448e+02,3.940000e-05
395,9.682689e+02,3.950000e-05
396,9.504651e+02,3.960000e-05
397,9.797151e+02,3.970000e-05
398,9.426071e+02,3.980000e-05
399,9.500853e+02,3.990000e-05
400,9.451922e+02,4.000000e-05
401,9.511079e+02,4.010000e-05
402,9.594352e+02,4.020000e-05
403,9.417693e+02,4.030000e-05
404,9.534904e+02,4.040000e-05
405,9.265593e+02,4.050000e-05
406,9.366144e+02,4.060000e-05
407,9.290789e+02,4.070000e-05
408,9.302116e+02,4.080000e-05
409,9.302020e+02,4.090000e-05
410,9.113669e+02,4.100000e-05
411,9.182019e+02,4.110000e-05
412,9.015284e+02,4.120000e-05
413,9.227419e+02,4.130000e-05
414,9.389527e+02,4.140000e-05
415,9.259414e+02,4.150000e-05
416,9.000291e+02,4.160000e-05
417,9.132900e+02,4.170000e-05
418,8.960003e+02,4.180000e-05
419,8.885686e+02,4.190000e-05
420,9.016819e+02,4.200000e-05
421,8.963726e+02,4.210000e-05
422,8.858032e+02,4.220000e-05
423,8.822963e+02,4.230000e-05
424,8.847253e+02,4.240000e-05
425,8.949306e+02,4.250000e-05
426,8.926638e+02,4.260000e-05
427,8.906191e+02,4.270000e-05
428,8.805191e+02,4.280000e-05
429,8.679250e+02,4.290000e-05
430,8.647604e+02,4.300000e-05
431,8.678050e+02,4.310000e-05
432,8.589522e+02,4.320000e-05
433,8.817557e+02,4.330000e-05
434,8.731610e+02,4.340000e-05
435,8.547495e+02,4.350000e-05
436,8.610096e+02,4.360000e-05
437,8.635662e+02,4.370000e-05
438,8.624910e+02,4.380000e-05
439,8.712473e+02,4.390000e-05
