step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497541,0.497670,0.497276,0.497220,0.499032,0.498794,0.500436,0.500316,0.498514,0.498353,0.499289,0.499137,0.499519,0.499430,0.501156,0.501023,0.498353,0.498178,0.498855,0.498737,0.498155,0.498134,0.498807,0.498636
400,0.490684,0.491564,0.489426,0.489158,0.496908,0.496528,0.503856,0.503025,0.493214,0.491977,0.493030,0.492302,0.496618,0.496044,0.502718,0.501564,0.493454,0.491945,0.494161,0.493181,0.493254,0.492264,0.495499,0.494160
600,0.478162,0.480965,0.477348,0.476743,0.490807,0.490110,0.508138,0.505319,0.486980,0.482490,0.483188,0.481591,0.489922,0.487764,0.502285,0.499305,0.486360,0.481407,0.487182,0.484769,0.485785,0.482543,0.493139,0.489728
800,0.461349,0.466206,0.461823,0.460661,0.479057,0.477636,0.514086,0.506812,0.479665,0.469806,0.470125,0.466744,0.480724,0.475390,0.501659,0.495586,0.476520,0.464651,0.476748,0.472223,0.476153,0.468936,0.490904,0.483819
1000,0.442474,0.448741,0.445908,0.444064,0.466077,0.462509,0.519526,0.505965,0.477094,0.457241,0.457366,0.451177,0.470877,0.459999,0.500279,0.490131,0.474199,0.449293,0.465338,0.457850,0.467579,0.453372,0.488099,0.476533
1200,0.425872,0.432688,0.430833,0.427934,0.452672,0.446601,0.522855,0.501923,0.475395,0.444502,0.445760,0.435623,0.462959,0.445916,0.497998,0.482988,0.476241,0.434651,0.456125,0.444561,0.462065,0.439331,0.485129,0.468646
1400,0.411340,0.417847,0.419117,0.414588,0.442772,0.431585,0.526460,0.497245,0.480571,0.434220,0.439959,0.423261,0.457489,0.431245,0.494685,0.474664,0.484292,0.421873,0.449107,0.432354,0.459903,0.427554,0.482237,0.460125
1600,0.398176,0.403810,0.407669,0.400534,0.434396,0.418078,0.527733,0.490670,0.489701,0.424725,0.436951,0.410935,0.456060,0.418109,0.491853,0.465494,0.494942,0.412362,0.445191,0.420618,0.461309,0.415601,0.479871,0.451809
1800,0.387167,0.391212,0.399245,0.388289,0.427509,0.405167,0.531864,0.485933,0.500023,0.416592,0.440995,0.403137,0.458172,0.405876,0.490044,0.457566,0.507693,0.403511,0.442921,0.409418,0.464712,0.405807,0.477793,0.443753
2000,0.378139,0.379853,0.393639,0.376755,0.425844,0.393546,0.536306,0.479772,0.512421,0.410944,0.448096,0.395778,0.463403,0.395739,0.489200,0.448307,0.524527,0.396172,0.444375,0.399985,0.472641,0.396687,0.475985,0.434627
2200,0.371413,0.370289,0.390445,0.365494,0.425719,0.384189,0.542469,0.475116,0.524703,0.406448,0.457942,0.391625,0.470609,0.386130,0.490300,0.440635,0.539574,0.388133,0.449505,0.393694,0.480130,0.388859,0.474191,0.425517
2400,0.365360,0.360874,0.391996,0.356513,0.427682,0.376564,0.550563,0.470769,0.536629,0.401218,0.468811,0.386330,0.480559,0.379039,0.494090,0.434737,0.556354,0.382576,0.456513,0.389242,0.491285,0.381754,0.474014,0.417254
2600,0.361044,0.352476,0.395025,0.348662,0.431084,0.369834,0.558248,0.466527,0.549689,0.396084,0.481477,0.383837,0.489497,0.371534,0.496917,0.427519,0.571515,0.376460,0.464992,0.384667,0.503124,0.375008,0.473630,0.408921
2800,0.358143,0.345451,0.401871,0.342872,0.435263,0.363381,0.566546,0.461769,0.563518,0.392866,0.495034,0.382508,0.502243,0.365932,0.502461,0.421509,0.590002,0.371662,0.473997,0.380437,0.515902,0.369723,0.474359,0.402057
