step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.497148,0.497061,0.498412,0.498426,0.498083,0.497980,0.100447,0.498697,0.498421,0.498972,0.498938,0.498743,0.498709,0.100362,0.499680,0.499574,0.499179,0.499128,0.498922,0.498918,0.099847,0.499298,0.499527,0.498829,0.498788,0.498753,0.498765,0.099866,0.499832,0.499768,0.498440,0.498396,0.498382,0.498403,0.099801,0.500049,0.499861,0.498572,0.498516,0.498493,0.498513,0.099891
400,0.487532,0.487397,0.499046,0.499151,0.493209,0.492609,0.102425,0.498393,0.495337,0.497417,0.497240,0.496152,0.495903,0.101822,0.499663,0.498669,0.498134,0.497895,0.497336,0.497144,0.100927,0.499911,0.499369,0.498427,0.498151,0.497399,0.497362,0.100181,0.499380,0.499402,0.496354,0.495914,0.495426,0.495803,0.099570,0.500873,0.501183,0.497288,0.497061,0.496912,0.497443,0.099569
600,0.472213,0.472050,0.503410,0.503839,0.481259,0.481027,0.105535,0.499855,0.488811,0.494875,0.494539,0.492133,0.491723,0.103228,0.497283,0.494073,0.496164,0.495398,0.493930,0.493181,0.101590,0.500740,0.499029,0.498349,0.497604,0.496226,0.495366,0.100596,0.500113,0.499099,0.497400,0.496482,0.495050,0.494498,0.099689,0.502785,0.501990,0.496000,0.495170,0.494351,0.493512,0.099200
800,0.450832,0.450583,0.506924,0.507776,0.460441,0.461552,0.109600,0.505720,0.481376,0.491271,0.490823,0.487711,0.487314,0.105165,0.498220,0.491372,0.491427,0.489951,0.488676,0.487108,0.102636,0.502682,0.499648,0.498360,0.497119,0.496219,0.494750,0.102516,0.501495,0.499820,0.499120,0.497754,0.495908,0.494792,0.100339,0.502083,0.500841,0.497882,0.496573,0.495401,0.491995,0.099324
1000,0.425375,0.425040,0.505971,0.507213,0.435039,0.436112,0.114191,0.518913,0.474137,0.486797,0.486074,0.482409,0.482035,0.107348,0.498356,0.486458,0.486507,0.484274,0.482235,0.479473,0.104175,0.505664,0.500604,0.498202,0.496453,0.496139,0.494055,0.103573,0.506329,0.503367,0.501241,0.499533,0.497238,0.495663,0.101151,0.500374,0.496915,0.499288,0.497815,0.496603,0.491685,0.099363
1200,0.402404,0.401941,0.501868,0.503407,0.411625,0.412157,0.119786,0.537257,0.468339,0.481438,0.480439,0.475340,0.475127,0.110142,0.500998,0.483660,0.480327,0.477785,0.476224,0.472775,0.106287,0.507828,0.501173,0.498320,0.495994,0.496068,0.493384,0.104451,0.507370,0.502789,0.503308,0.501448,0.498883,0.496896,0.103213,0.498700,0.495480,0.502180,0.500542,0.499444,0.493660,0.099558
1400,0.382100,0.381349,0.495039,0.496918,0.390881,0.390453,0.125092,0.556574,0.464543,0.476545,0.475156,0.468702,0.468457,0.112984,0.503519,0.479934,0.474850,0.471724,0.469634,0.465159,0.109426,0.510017,0.502062,0.497944,0.495061,0.496670,0.493541,0.105121,0.508633,0.503069,0.505976,0.503805,0.500695,0.498254,0.104216,0.498534,0.495624,0.504772,0.502997,0.502199,0.495693,0.099514
1600,0.363670,0.362491,0.486486,0.488643,0.372963,0.370893,0.130878,0.579292,0.461923,0.470950,0.469249,0.461033,0.460564,0.116548,0.507802,0.477195,0.468441,0.464750,0.462582,0.456295,0.113166,0.511569,0.502724,0.497557,0.494478,0.497368,0.493570,0.105758,0.511622,0.503916,0.506932,0.504609,0.501536,0.498653,0.104693,0.498952,0.495922,0.506850,0.504995,0.504313,0.497197,0.099839
1800,0.347864,0.346038,0.474698,0.477075,0.359050,0.354082,0.136438,0.602687,0.460867,0.466937,0.464595,0.454660,0.453703,0.119654,0.511206,0.473999,0.462907,0.458563,0.454703,0.447087,0.116707,0.513589,0.503685,0.497214,0.493789,0.497695,0.493756,0.106261,0.514496,0.506476,0.509163,0.506745,0.503331,0.500039,0.105014,0.497360,0.493434,0.508826,0.506836,0.506268,0.498372,0.099445
