step,module,touch_frac,c_r_mean,c_r_median,c_r_max,frac_eq1,frac_ge8,frac_ge32,frac_ge64
400,L4.out_proj,0.4955,64.58,10,3643,0.0866,0.2668,0.1538,0.1063
400,L4.residual_lut,0.9990,128.13,76,1495,0.0017,0.9648,0.7803,0.5728
400,L5.qkv_lut,0.9997,128.04,78,2887,0.0029,0.9671,0.7837,0.5783
400,L5.v_lut,0.9572,33.43,16,1295,0.0469,0.6750,0.2855,0.1326
400,L5.out_proj,0.3614,88.54,10,3764,0.0695,0.1942,0.1209,0.0876
400,L5.residual_lut,0.9507,134.64,41,4330,0.0354,0.7651,0.5222,0.3911
600,L0.qkv_lut,1.0000,128.00,102,691,0.0000,0.9997,0.9642,0.7907
600,L0.v_lut,0.9901,32.32,21,587,0.0110,0.8494,0.3025,0.0924
600,L0.out_proj,0.9452,33.86,18,904,0.0494,0.6825,0.3089,0.1414
600,L0.residual_lut,0.9917,129.07,74,1663,0.0103,0.9229,0.7197,0.5403
600,L1.qkv_lut,0.9933,128.86,78,1499,0.0076,0.9321,0.7393,0.5602
600,L1.v_lut,0.8806,36.34,14,1101,0.0776,0.5674,0.2676,0.1413
600,L1.out_proj,0.9634,33.22,18,683,0.0422,0.7133,0.3221,0.1442
600,L1.residual_lut,0.9990,128.13,93,1173,0.0007,0.9773,0.8401,0.6326
600,L2.qkv_lut,0.9948,128.67,95,1120,0.0011,0.9784,0.8459,0.6479
600,L2.v_lut,0.9530,33.58,17,605,0.0494,0.6809,0.3120,0.1467
600,L2.out_proj,0.9404,34.03,16,905,0.0526,0.6639,0.2965,0.1402
600,L2.residual_lut,0.9998,128.03,89,1309,0.0005,0.9836,0.8501,0.6316
600,L3.qkv_lut,1.0000,128.00,88,1338,0.0008,0.9876,0.8335,0.6291
600,L3.v_lut,0.9696,33.00,17,814,0.0399,0.7018,0.2975,0.1345
600,L3.out_proj,0.7999,40.01,12,2008,0.0869,0.4841,0.2379,0.1312
600,L3.residual_lut,1.0000,128.00,83,1713,0.0002,0.9922,0.8533,0.6238
600,L4.qkv_lut,0.9961,128.50,82,1813,0.0010,0.9795,0.8286,0.6060
600,L4.v_lut,0.9820,32.59,17,1347,0.0267,0.7444,0.2957,0.1240
600,L4.out_proj,0.6081,52.62,11,1903,0.0898,0.3468,0.1899,0.1216
600,L4.residual_lut,1.0000,128.00,94,956,0.0002,0.9912,0.8853,0.6733
600,L5.qkv_lut,1.0000,128.00,94,1426,0.0008,0.9922,0.8857,0.6740
600,L5.v_lut,0.9873,32.41,20,758,0.0201,0.7904,0.3236,0.1282
600,L5.out_proj,0.6292,50.86,9,2350,0.1073,0.3395,0.1920,0.1278
600,L5.residual_lut,0.9890,129.42,77,2183,0.0081,0.9299,0.7437,0.5615
800,L0.qkv_lut,1.0000,128.00,102,722,0.0000,0.9995,0.9644,0.7871
800,L0.v_lut,0.9902,32.32,21,519,0.0107,0.8480,0.3014,0.0933
800,L0.out_proj,0.9508,33.66,18,888,0.0440,0.6999,0.3149,0.1388
800,L0.residual_lut,0.9961,128.50,78,1591,0.0073,0.9402,0.7505,0.5637
800,L1.qkv_lut,0.9954,128.59,80,1321,0.0078,0.9479,0.7565,0.5737
800,L1.v_lut,0.8992,35.59,15,984,0.0681,0.5944,0.2732,0.1406
800,L1.out_proj,0.9742,32.85,19,670,0.0355,0.7374,0.3289,0.1384
800,L1.residual_lut,0.9988,128.16,95,1006,0.0012,0.9819,0.8535,0.6633
800,L2.qkv_lut,0.9946,128.69,97,1035,0.0007,0.9816,0.8630,0.6675
800,L2.v_lut,0.9615,33.28,18,686,0.0418,0.7046,0.3166,0.1431
800,L2.out_proj,0.9596,33.35,17,847,0.0464,0.6974,0.3070,0.1401
800,L2.residual_lut,0.9998,128.03,91,1320,0.0005,0.9888,0.8582,0.6438
800,L3.qkv_lut,0.9995,128.06,93,1297,0.0010,0.9857,0.8569,0.6525
800,L3.v_lut,0.9625,33.25,17,884,0.0421,0.6993,0.3043,0.1388
800,L3.out_proj,0.8414,38.03,13,1488,0.0852,0.5191,0.2523,0.1400
800,L3.residual_lut,1.0000,128.00,89,1160,0.0002,0.9856,0.8416,0.6289
800,L4.qkv_lut,0.9971,128.38,89,1465,0.0023,0.9790,0.8267,0.6252
800,L4.v_lut,0.9772,32.75,18,1000,0.0310,0.7371,0.3133,0.1351
800,L4.out_proj,0.5898,54.25,10,2194,0.0947,0.3239,0.1768,0.1176
800,L4.residual_lut,0.9993,128.09,92,1433,0.0012,0.9827,0.8354,0.6355
800,L5.qkv_lut,0.9995,128.06,90,1450,0.0018,0.9772,0.8229,0.6283
800,L5.v_lut,0.9717,32.93,18,928,0.0367,0.7312,0.3180,0.1384
800,L5.out_proj,0.4485,71.35,11,3227,0.0753,0.2505,0.1507,0.1052
800,L5.residual_lut,0.9077,141.01,101,1575,0.0000,0.8997,0.8010,0.6257
1000,L0.qkv_lut,1.0000,128.00,101,706,0.0000,0.9993,0.9635,0.7874
1000,L0.v_lut,0.9903,32.31,21,515,0.0108,0.8490,0.3031,0.0931
1000,L0.out_proj,0.9592,33.36,19,791,0.0401,0.7196,0.3265,0.1387
1000,L0.residual_lut,0.9949,128.66,80,1476,0.0051,0.9473,0.7637,0.5715
