step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498126,0.498037,0.499304,0.499302,0.499489,0.499417,0.500258,0.500255,0.497759,0.497778,0.498887,0.499283,0.498633,0.498578,0.499348,0.499020,0.499861,0.499833,0.498951,0.498941,0.499689,0.499608,0.498674,0.498784,0.499407,0.499176,0.499653,0.499618,0.499009,0.498980,0.500001,0.499945,0.498564,0.498696,0.499224,0.498939,0.499766,0.499724,0.499035,0.498993,0.500052,0.499939,0.498504,0.498589,0.499225,0.498941,0.499768,0.499709,0.499055,0.499028,0.500051,0.500023,0.498434,0.498566,0.499221,0.498947,0.499872,0.499756,0.499035,0.499001
400,0.490011,0.489668,0.499784,0.499854,0.498366,0.498233,0.498604,0.499548,0.487878,0.487873,0.495631,0.495904,0.497051,0.497338,0.498814,0.497902,0.502086,0.502284,0.495097,0.494852,0.497929,0.497906,0.497767,0.498295,0.500186,0.500052,0.495807,0.495569,0.505756,0.505125,0.500117,0.499864,0.496621,0.497184,0.498522,0.498804,0.496228,0.496301,0.506106,0.505865,0.498722,0.498732,0.500508,0.500934,0.502732,0.502307,0.496962,0.496850,0.505697,0.505036,0.499656,0.499201,0.497567,0.498331,0.501632,0.502076,0.494873,0.494780,0.507251,0.507063
600,0.474736,0.474369,0.506497,0.506980,0.492622,0.491780,0.493249,0.496073,0.472400,0.472342,0.488212,0.487938,0.494892,0.495309,0.496977,0.495499,0.509226,0.509751,0.490321,0.489343,0.497617,0.497885,0.498778,0.499724,0.504398,0.503088,0.492679,0.491920,0.519208,0.517894,0.500801,0.500725,0.503569,0.504554,0.509985,0.509517,0.490874,0.489961,0.522694,0.521802,0.497633,0.497760,0.507454,0.507097,0.506485,0.504700,0.490594,0.489856,0.521456,0.519655,0.499806,0.499224,0.501652,0.502481,0.509164,0.508497,0.490685,0.489913,0.523040,0.522177
800,0.455976,0.455478,0.513398,0.514525,0.485792,0.484139,0.482828,0.487839,0.451257,0.451119,0.478215,0.477803,0.492153,0.492895,0.493560,0.491470,0.517633,0.519266,0.485837,0.484258,0.498415,0.498872,0.499489,0.500944,0.507714,0.504841,0.493160,0.491919,0.534988,0.534660,0.500846,0.501639,0.516288,0.519077,0.526455,0.524211,0.475949,0.474238,0.546583,0.544800,0.492593,0.493041,0.519131,0.517539,0.519577,0.514400,0.477395,0.475677,0.545653,0.539545,0.499531,0.498380,0.512541,0.506976,0.523536,0.519166,0.480301,0.478845,0.546418,0.544940
1000,0.436957,0.436301,0.516748,0.518228,0.477088,0.474154,0.472108,0.477207,0.429615,0.429213,0.469686,0.467687,0.487643,0.488926,0.489324,0.485768,0.528411,0.531036,0.480228,0.477997,0.499124,0.500059,0.498674,0.500737,0.510623,0.505789,0.495419,0.493680,0.551432,0.549648,0.499209,0.501107,0.534755,0.537379,0.548114,0.543904,0.459313,0.456287,0.575438,0.569823,0.489391,0.489898,0.533934,0.526953,0.539307,0.531887,0.461845,0.458421,0.573007,0.558336,0.498470,0.498018,0.525714,0.508728,0.543843,0.536913,0.466749,0.463790,0.574141,0.568582
1200,0.418556,0.417668,0.515999,0.517445,0.468418,0.463447,0.464570,0.467614,0.408749,0.408143,0.462110,0.457807,0.482848,0.484813,0.485310,0.480123,0.538764,0.543186,0.474476,0.471833,0.500254,0.501060,0.496419,0.498801,0.511453,0.505442,0.499215,0.496771,0.561285,0.558566,0.495848,0.499043,0.551233,0.555882,0.569177,0.564234,0.444939,0.440322,0.605359,0.593026,0.490152,0.490311,0.549927,0.532532,0.562091,0.553267,0.446180,0.440916,0.598523,0.574755,0.500306,0.498292,0.537675,0.506555,0.563834,0.554322,0.454456,0.449814,0.602242,0.592867
1400,0.396932,0.395849,0.514678,0.515981,0.459669,0.452219,0.455861,0.455393,0.389795,0.388815,0.457305,0.448211,0.477969,0.480683,0.481234,0.473939,0.550868,0.556363,0.468803,0.465857,0.500126,0.500882,0.493929,0.496700,0.510790,0.504002,0.503195,0.499876,0.569673,0.566493,0.496851,0.499917,0.567328,0.570957,0.587284,0.582496,0.431923,0.425196,0.634639,0.614302,0.490062,0.489475,0.557850,0.529655,0.574935,0.565449,0.434936,0.427101,0.615218,0.586808,0.499815,0.499305,0.542978,0.503539,0.586916,0.575734,0.442825,0.435335,0.631895,0.613936
1600,0.375618,0.374442,0.510375,0.511494,0.450165,0.439270,0.449496,0.442430,0.371790,0.370184,0.453883,0.438236,0.472833,0.476169,0.477751,0.467899,0.560444,0.567574,0.463641,0.460297,0.499193,0.500263,0.491756,0.495014,0.512071,0.503610,0.505721,0.501250,0.578616,0.574443,0.499517,0.501272,0.572465,0.573751,0.592885,0.587592,0.422028,0.412787,0.659725,0.636748,0.487203,0.487043,0.561116,0.528355,0.581717,0.572279,0.425560,0.415562,0.633896,0.596137,0.500610,0.500256,0.553514,0.504720,0.607577,0.594083,0.430661,0.421270,0.662221,0.636815
1800,0.356384,0.355019,0.507402,0.508321,0.443058,0.427557,0.446285,0.429797,0.355879,0.353170,0.455669,0.428845,0.467807,0.471460,0.473227,0.461502,0.569948,0.577686,0.457849,0.454026,0.498673,0.499742,0.489403,0.493038,0.511715,0.501989,0.508840,0.502923,0.584314,0.580407,0.498820,0.498972,0.571808,0.572067,0.596680,0.591134,0.414777,0.402893,0.677858,0.653162,0.488444,0.488708,0.573312,0.531107,0.593931,0.584734,0.417573,0.404739,0.655694,0.603824,0.502421,0.501244,0.567371,0.508072,0.628761,0.611980,0.423557,0.411040,0.691237,0.655594
