step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
5500,4.176936,1.270127,18.205379,19.384411,19.865204,19.846668,20.077118,20.109018,0.928945,0.989048,1.013500,1.012584,1.024311,1.026047,15.715365,19.320242,18.442362,18.816912,21.175671,21.283037,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.74629724,1.97889054,2.13577008,2.10870361,2.15016055,2.13550234,1.20443892,1.19459414,1.26087248,1.22361553,1.18016553,0.95988113,6.47559355e-03,2.32551969e-03,5.07988874e-03,7.58451084e-03,7.72294262e-03,8.39036144e-03,7.75033794e-03
6000,4.116742,1.258255,18.132631,19.371029,19.872210,19.829634,20.073353,20.116102,0.925222,0.988344,1.013834,1.011694,1.024103,1.026396,15.400368,19.267572,18.340015,18.748894,21.265020,21.394093,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.73504663,1.98135126,2.14152718,2.10353112,2.14326739,2.13728714,1.21847904,1.21502948,1.28538752,1.23662078,1.19298363,0.95561159,6.52660934e-03,2.24936474e-03,5.20155067e-03,7.70249311e-03,7.74836075e-03,8.43430776e-03,7.82357901e-03
6500,4.085498,1.248044,18.079565,19.362104,19.876715,19.815050,20.067678,20.123568,0.922501,0.987873,1.014043,1.010938,1.023798,1.026766,15.126089,19.221256,18.250175,18.694460,21.337677,21.499104,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.72666490,1.98443842,2.14537191,2.09913421,2.13721275,2.13803577,1.23163569,1.23373079,1.30795658,1.24812329,1.20180547,0.95182866,6.52701190e-03,2.20788922e-03,5.27279172e-03,7.74640124e-03,7.70026166e-03,8.40813853e-03,7.82658905e-03
7000,4.041575,1.239028,18.029894,19.364037,19.882383,19.805847,20.067068,20.132095,0.919956,0.987957,1.014314,1.010455,1.023748,1.027192,14.894764,19.182211,18.172314,18.649097,21.402472,21.598536,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.71864188,1.99206936,2.14900017,2.09679866,2.13143659,2.13999200,1.24440014,1.25007987,1.32824230,1.25745678,1.20946610,0.94766557,6.48763799e-03,2.15071533e-03,5.31020667e-03,7.72963278e-03,7.62297213e-03,8.33791401e-03,7.77438702e-03
7500,4.013409,1.230305,18.003479,19.362309,19.890085,19.799448,20.071707,20.143412,0.918600,0.987856,1.014686,1.010118,1.023969,1.027759,14.696569,19.140446,18.110949,18.609152,21.465181,21.687336,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.71524954,1.99714291,2.15295506,2.09552240,2.12868786,2.14193892,1.25480568,1.26605499,1.34640741,1.26523936,1.21458042,0.94299734,6.42297991e-03,2.11477466e-03,5.31520881e-03,7.66851055e-03,7.51135359e-03,8.24044831e-03,7.68758357e-03
8000,3.977807,1.223001,17.986801,19.365410,19.902401,19.792995,20.077213,20.155600,0.917739,0.987998,1.015298,1.009779,1.024243,1.028377,14.529691,19.105173,18.052586,18.584888,21.521797,21.771420,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.71475983,2.00274754,2.15846562,2.09401321,2.12676001,2.14431381,1.26264787,1.28064919,1.36248052,1.27310586,1.21956050,0.93914592,6.33692012e-03,2.09179753e-03,5.28711639e-03,7.57912360e-03,7.37816468e-03,8.11477471e-03,7.57054379e-03
8500,3.947683,1.215779,17.980703,19.379519,19.923223,19.796690,20.087397,20.171242,0.917423,0.988703,1.016348,1.009959,1.024747,1.029168,14.395948,19.071020,18.005714,18.561399,21.569872,21.846863,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.71588671,2.01435661,2.16675282,2.09476137,2.12669826,2.14772725,1.26934862,1.29264557,1.37702525,1.27887821,1.22261751,0.93500310,6.23319442e-03,2.06598709e-03,5.23514813e-03,7.46736769e-03,7.22722244e-03,7.96945486e-03,7.43398629e-03
9000,3.938396,1.209679,17.979298,19.390476,19.946619,19.806015,20.098001,20.188023,0.917345,0.989254,1.017532,1.010427,1.025277,1.030016,14.285820,19.041246,17.969322,18.545469,21.615931,21.915272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.71779525,2.02327991,2.17664385,2.09739208,2.12641168,2.15128970,1.27568626,1.30343068,1.38818026,1.28388774,1.22675538,0.93170381,6.11850103e-03,2.04187934e-03,5.16446307e-03,7.34274089e-03,7.06754252e-03,7.80856702e-03,7.28581334e-03
9500,3.898435,1.203610,17.985821,19.406713,19.964954,19.815086,20.112871,20.205795,0.917670,0.990074,1.018455,1.010881,1.026031,1.030918,14.200288,19.014185,17.937750,18.534491,21.661636,21.979967,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.72237933,2.03416538,2.18480873,2.10023618,2.12807703,2.15578318,1.27958715,1.31368554,1.40087712,1.28799105,1.23035181,0.92824078,5.99611698e-03,2.01311056e-03,5.08651044e-03,7.20383367e-03,6.90257922e-03,7.64200930e-03,7.12865870e-03
10000,3.881804,1.197875,18.007025,19.424585,19.989006,19.828209,20.129583,20.226559,0.918748,0.990977,1.019670,1.011546,1.026874,1.031973,14.132668,18.989626,17.915390,18.528395,21.701870,22.042070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.72997582,2.04596710,2.19588304,2.10478663,2.13187385,2.16073799,1.28176713,1.32282221,1.41086447,1.29137802,1.23243046,0.92517525,5.87080326e-03,1.98339764e-03,4.99701081e-03,7.06154201e-03,6.74100034e-03,7.47204991e-03,6.96981885e-03
10500,3.888154,1.192964,18.022415,19.443726,20.013311,19.843124,20.147465,20.247162,0.919531,0.991952,1.020906,1.012300,1.027781,1.033017,14.080988,18.968004,17.896236,18.524462,21.737335,22.096025,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.73604298,2.05770206,2.20706248,2.10996103,2.13593245,2.16628003,1.28373921,1.33095813,1.41929758,1.29449344,1.23464870,0.92235667,5.74448196e-03,1.95544143e-03,4.90417052e-03,6.91746874e-03,6.58068014e-03,7.30100600e-03,6.80812495e-03
11000,3.828461,1.188093,18.050316,19.462664,20.036829,19.860882,20.167387,20.266655,0.920953,0.992911,1.022099,1.013204,1.028795,1.034008,14.046142,18.948275,17.879187,18.525246,21.771791,22.144070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.74590826,2.06981969,2.21811604,2.11588740,2.14196062,2.17111969,1.28340864,1.33764946,1.42683804,1.29716671,1.23597896,0.92024249,5.61968819e-03,1.92077830e-03,4.80968505e-03,6.77509047e-03,6.42594276e-03,7.13645713e-03,6.65017543e-03
11500,3.814231,1.183982,18.076588,19.484598,20.063160,19.875792,20.185005,20.283512,0.922291,0.994024,1.023437,1.013961,1.029692,1.034865,14.020740,18.931486,17.869772,18.524277,21.802763,22.185736,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.75538492,2.08309293,2.23022962,2.12076616,2.14689350,2.17570257,1.28292286,1.34256399,1.43195021,1.29910553,1.23805344,0.91891068,5.50005765e-03,1.88928295e-03,4.71957494e-03,6.64145127e-03,6.27503637e-03,6.97739655e-03,6.49760384e-03
12000,3.804874,1.180082,18.103161,19.507519,20.080795,19.892519,20.200434,20.302296,0.923647,0.995192,1.024333,1.014813,1.030473,1.035822,14.004719,18.916985,17.861547,18.528315,21.832640,22.221136,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.76437247,2.09618711,2.23894763,2.12632275,2.15216565,2.18125916,1.28216147,1.34633636,1.43793893,1.30063057,1.24071920,0.91728199,5.38599175e-03,1.85451249e-03,4.63319104e-03,6.51090452e-03,6.13752520e-03,6.82613440e-03,6.35368284e-03
12500,3.779025,1.176793,18.131821,19.527578,20.101189,19.911356,20.220291,20.320984,0.925109,0.996213,1.025371,1.015773,1.031486,1.036774,13.991699,18.905016,17.857004,18.531921,21.856812,22.254141,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.77401268,2.10817480,2.24818397,2.13252211,2.15944290,2.18645358,1.27984929,1.34982681,1.44185209,1.30156183,1.24231458,0.91602927,5.28203735e-03,1.82025321e-03,4.55213338e-03,6.39246032e-03,6.01323741e-03,6.68986607e-03,6.22427370e-03
13000,3.760048,1.173868,18.160717,19.547640,20.122681,19.926380,20.238779,20.338587,0.926583,0.997233,1.026463,1.016541,1.032428,1.037671,13.987873,18.895271,17.852158,18.534628,21.880968,22.280005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.78455102,2.11975908,2.25893998,2.13833380,2.16663098,2.19150734,1.27700889,1.35210097,1.44510043,1.30297971,1.24324477,0.91494232,5.18831518e-03,1.79020874e-03,4.47894167e-03,6.28569210e-03,5.90040116e-03,6.56863395e-03,6.10601343e-03
13500,3.753529,1.170961,18.186415,19.566105,20.140558,19.940510,20.255091,20.355911,0.927892,0.998174,1.027374,1.017261,1.033259,1.038555,13.986459,18.885836,17.850161,18.540121,21.900049,22.303526,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.79367459,2.13085914,2.26802039,2.14374876,2.17354012,2.19683456,1.27469742,1.35404420,1.44789004,1.30417717,1.24437475,0.91397411,5.10598550e-03,1.76355627e-03,4.41449834e-03,6.19207881e-03,5.80224022e-03,6.46143174e-03,6.00210764e-03
14000,3.729105,1.168733,18.215321,19.583776,20.158476,19.957453,20.271212,20.371752,0.929367,0.999074,1.028285,1.018124,1.034081,1.039363,13.987797,18.877655,17.849401,18.544193,21.917923,22.323603,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.80353475,2.14201593,2.27684689,2.15007639,2.18040895,2.20224166,1.27132928,1.35513031,1.45021474,1.30470884,1.24543107,0.91317308,5.03471055e-03,1.74140069e-03,4.35797870e-03,6.11073524e-03,5.71747869e-03,6.36838377e-03,5.91228623e-03
14500,3.709802,1.166909,18.241369,19.599861,20.173912,19.971882,20.287033,20.386824,0.930696,0.999892,1.029072,1.018858,1.034888,1.040132,13.988901,18.871691,17.847914,18.547695,21.934301,22.343204,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81205201,2.15219164,2.28497362,2.15529680,2.18685031,2.20744348,1.26813042,1.35616076,1.45244598,1.30546272,1.24636912,0.91244423,4.97406209e-03,1.72451697e-03,4.31021303e-03,6.04006369e-03,5.64539805e-03,6.28950726e-03,5.83467353e-03
15000,3.711000,1.165635,18.266317,19.613945,20.188965,19.986767,20.302479,20.400375,0.931968,1.000610,1.029837,1.019617,1.035674,1.040822,13.991538,18.865234,17.847958,18.551325,21.948246,22.360092,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.82037997,2.16101742,2.29300451,2.16088867,2.19411254,2.21232653,1.26476407,1.35711801,1.45432639,1.30571890,1.24712825,0.91192663,4.92256564e-03,1.71166810e-03,4.26992355e-03,5.97942900e-03,5.58391958e-03,6.22152025e-03,5.76893333e-03
15500,3.697142,1.164321,18.293247,19.628391,20.202961,19.997643,20.314903,20.414171,0.933342,1.001346,1.030549,1.020173,1.036307,1.041526,13.995507,18.860405,17.847832,18.554972,21.963045,22.376732,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.82979512,2.16987801,2.30097151,2.16550779,2.20015812,2.21734619,1.26055801,1.35750437,1.45621741,1.30673122,1.24871683,0.91137838,4.87877050e-03,1.70486199e-03,4.23676241e-03,5.92680927e-03,5.53075643e-03,6.16148859e-03,5.71194431e-03
16000,3.688884,1.163849,18.317352,19.643486,20.214937,20.011393,20.327669,20.426823,0.934572,1.002116,1.031160,1.020873,1.036958,1.042170,13.997798,18.855701,17.847132,18.558941,21.975800,22.393133,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.83845353,2.17942047,2.30834436,2.17120600,2.20692635,2.22224402,1.25681436,1.35739565,1.45868707,1.30733216,1.24982977,0.91087013,4.84110504e-03,1.70238432e-03,4.20899224e-03,5.88022964e-03,5.48448274e-03,6.10881066e-03,5.66173065e-03
