step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.395463,0.394358,0.349335,0.351203,0.381829,0.322946,0.396514,0.366126,0.682162,0.472998,0.502535,0.392716,0.423950,0.344195,0.452361,0.386790,0.650811,0.482518,0.448280,0.402565,0.383935,0.351858,0.528968,0.455393,0.498067,0.471743,0.473138,0.469420,0.436460,0.410146,0.574054,0.543253,0.536965,0.469042,0.570767,0.481510,0.472684,0.432195,0.723248,0.696790,0.566045,0.483250,0.575985,0.477990,0.450180,0.399125,0.716277,0.620419
2200,0.381328,0.379999,0.332651,0.334438,0.400215,0.312253,0.395488,0.354491,0.702670,0.469091,0.521376,0.389973,0.442308,0.335945,0.461635,0.377597,0.670615,0.478578,0.456139,0.396912,0.388232,0.341204,0.532542,0.447949,0.502184,0.471002,0.470627,0.466714,0.437487,0.403269,0.574421,0.538906,0.544672,0.472225,0.582785,0.487480,0.476591,0.430982,0.756235,0.714620,0.576108,0.480129,0.588322,0.472631,0.456161,0.396959,0.735974,0.628994
2400,0.367549,0.365977,0.317013,0.318728,0.419439,0.305273,0.395297,0.344325,0.723871,0.464605,0.538936,0.387707,0.461057,0.330452,0.470979,0.369646,0.689014,0.474115,0.464515,0.392914,0.395833,0.332865,0.535337,0.440684,0.505246,0.469151,0.468882,0.464431,0.438678,0.397403,0.575036,0.534677,0.550524,0.474972,0.594627,0.492913,0.481073,0.430386,0.786280,0.725062,0.584113,0.476305,0.598752,0.467609,0.462863,0.394349,0.748821,0.634505
2600,0.354227,0.352413,0.302118,0.303738,0.439555,0.300537,0.397179,0.335761,0.740359,0.458609,0.556285,0.385101,0.480003,0.325819,0.480583,0.363286,0.709134,0.469914,0.474812,0.389600,0.406714,0.326243,0.538625,0.433849,0.510429,0.468678,0.467901,0.462893,0.440996,0.393040,0.575635,0.530884,0.555843,0.475934,0.602834,0.496542,0.484214,0.430139,0.808950,0.730924,0.592784,0.473104,0.606925,0.462571,0.467081,0.393353,0.756530,0.637887
2800,0.342355,0.340328,0.289173,0.290727,0.459746,0.297130,0.400600,0.327045,0.758046,0.453497,0.573320,0.381995,0.500121,0.321792,0.493523,0.358284,0.726424,0.465249,0.484757,0.386714,0.417498,0.320857,0.541631,0.427045,0.514015,0.466924,0.466267,0.460735,0.444898,0.389350,0.575207,0.526324,0.563134,0.480148,0.611140,0.501573,0.487695,0.428657,0.828717,0.735061,0.599384,0.469167,0.616020,0.458025,0.471313,0.390895,0.761655,0.639960
3000,0.330747,0.328556,0.276754,0.278228,0.479836,0.293621,0.404581,0.319551,0.772834,0.447986,0.589479,0.378666,0.519829,0.318457,0.505832,0.353826,0.745294,0.460463,0.495456,0.384448,0.429649,0.316224,0.545533,0.421619,0.518219,0.465898,0.464967,0.458886,0.449665,0.385523,0.574782,0.522003,0.566809,0.480910,0.618337,0.504490,0.491648,0.427773,0.846584,0.738865,0.608054,0.464507,0.626983,0.453573,0.476847,0.389160,0.765735,0.641642
3200,0.320765,0.318397,0.265193,0.266603,0.500727,0.291386,0.409725,0.312718,0.784113,0.441442,0.605471,0.375235,0.539690,0.314451,0.519488,0.349912,0.761128,0.455955,0.505412,0.382785,0.441675,0.312235,0.548776,0.415400,0.522374,0.464832,0.463631,0.456906,0.454180,0.383042,0.573522,0.516788,0.571541,0.482295,0.625162,0.507970,0.494164,0.426501,0.858358,0.741197,0.615228,0.461045,0.636142,0.448880,0.482392,0.388483,0.769243,0.643093
3400,0.311041,0.308501,0.254693,0.256022,0.520975,0.288160,0.415669,0.306686,0.796292,0.435031,0.619205,0.371891,0.558642,0.311425,0.532591,0.346429,0.776745,0.451902,0.515880,0.380767,0.453740,0.308187,0.551718,0.410007,0.526207,0.463569,0.461778,0.454497,0.459255,0.380793,0.572346,0.511884,0.573554,0.482559,0.630803,0.510952,0.496373,0.424908,0.868286,0.742997,0.621060,0.457735,0.643277,0.444098,0.488225,0.388691,0.772322,0.644317
3600,0.302659,0.299912,0.245040,0.246312,0.540494,0.284212,0.423176,0.301676,0.806978,0.429428,0.633201,0.368338,0.578548,0.308219,0.547251,0.343812,0.790989,0.447257,0.527101,0.379455,0.465433,0.305192,0.555255,0.404207,0.529558,0.462020,0.460164,0.452123,0.464255,0.378426,0.570633,0.506521,0.578948,0.484805,0.636142,0.513509,0.499645,0.424414,0.877828,0.744864,0.627939,0.454725,0.651074,0.440781,0.493215,0.387924,0.775130,0.645502
3800,0.294345,0.291469,0.236318,0.237516,0.560159,0.280169,0.431102,0.296516,0.818576,0.424268,0.646678,0.364832,0.598485,0.305057,0.561393,0.341659,0.804264,0.443550,0.536134,0.377545,0.476919,0.302321,0.559596,0.399075,0.533114,0.460830,0.458298,0.449664,0.469677,0.376334,0.570065,0.502388,0.580498,0.484302,0.640915,0.516333,0.501856,0.423310,0.886482,0.746503,0.633913,0.451322,0.658114,0.435785,0.498571,0.387592,0.777525,0.646479
