step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
10000,0.06250,3.868533,0.063814,0.063814,0.003276,0.004192,0.008928,0.010003,0.013684,0.023731,1.226453,1.358973
10200,0.06375,3.865587,0.063527,0.063527,0.003238,0.004154,0.008867,0.009955,0.013630,0.023684,1.224714,1.359746
10400,0.06500,3.878499,0.063256,0.063256,0.003209,0.004121,0.008796,0.009901,0.013557,0.023672,1.223374,1.360261
10600,0.06625,3.881266,0.062939,0.062939,0.003158,0.004088,0.008729,0.009856,0.013509,0.023600,1.220630,1.360257
10800,0.06750,3.849539,0.062486,0.062486,0.003114,0.004062,0.008671,0.009749,0.013429,0.023460,1.219771,1.359185
11000,0.06875,3.825954,0.062194,0.062194,0.003086,0.004045,0.008588,0.009703,0.013375,0.023396,1.218235,1.359578
11200,0.07000,3.831892,0.061867,0.061867,0.003050,0.003989,0.008519,0.009675,0.013292,0.023342,1.216687,1.358024
11400,0.07125,3.832264,0.061423,0.061423,0.003023,0.003978,0.008447,0.009565,0.013223,0.023188,1.214681,1.357850
11600,0.07250,3.818963,0.060917,0.060917,0.002971,0.003926,0.008361,0.009495,0.013127,0.023037,1.213542,1.358478
11800,0.07375,3.816758,0.060463,0.060463,0.002937,0.003890,0.008273,0.009415,0.013038,0.022910,1.212391,1.356786
12000,0.07500,3.812584,0.059971,0.059971,0.002899,0.003854,0.008197,0.009342,0.012928,0.022752,1.210633,1.356969
12200,0.07625,3.797013,0.059593,0.059593,0.002862,0.003818,0.008116,0.009292,0.012852,0.022652,1.209649,1.357300
12400,0.07750,3.790050,0.059027,0.059027,0.002818,0.003780,0.008014,0.009214,0.012737,0.022464,1.208598,1.356764
12600,0.07875,3.787543,0.058675,0.058675,0.002794,0.003754,0.007956,0.009126,0.012679,0.022367,1.207592,1.356701
12800,0.08000,3.780403,0.058227,0.058227,0.002756,0.003712,0.007869,0.009068,0.012599,0.022223,1.206558,1.357666
13000,0.08125,3.776961,0.057632,0.057632,0.002713,0.003674,0.007795,0.008969,0.012467,0.022015,1.205870,1.355660
13200,0.08250,3.768776,0.057269,0.057269,0.002690,0.003647,0.007749,0.008903,0.012370,0.021908,1.204561,1.356079
13400,0.08375,3.774102,0.056916,0.056916,0.002664,0.003601,0.007686,0.008825,0.012307,0.021834,1.203290,1.356689
13600,0.08500,3.765765,0.056409,0.056409,0.002620,0.003569,0.007593,0.008753,0.012204,0.021670,1.202914,1.356469
13800,0.08625,3.756318,0.056038,0.056038,0.002597,0.003537,0.007543,0.008677,0.012118,0.021566,1.201635,1.356195
14000,0.08750,3.756635,0.055656,0.055656,0.002570,0.003517,0.007474,0.008635,0.012050,0.021410,1.201225,1.357117
14200,0.08875,3.762083,0.055330,0.055330,0.002555,0.003488,0.007426,0.008593,0.011963,0.021306,1.200516,1.356959
14400,0.09000,3.751288,0.054812,0.054812,0.002507,0.003446,0.007357,0.008499,0.011869,0.021133,1.199735,1.356178
14600,0.09125,3.740127,0.054536,0.054536,0.002491,0.003427,0.007307,0.008446,0.011810,0.021056,1.199664,1.357314
14800,0.09250,3.743273,0.054136,0.054136,0.002469,0.003402,0.007239,0.008364,0.011725,0.020938,1.198641,1.356751
15000,0.09375,3.748262,0.053859,0.053859,0.002446,0.003361,0.007208,0.008331,0.011658,0.020854,1.198048,1.356950
15200,0.09500,3.735267,0.053555,0.053555,0.002427,0.003370,0.007169,0.008286,0.011587,0.020717,1.197590,1.356101
15400,0.09625,3.744939,0.053273,0.053273,0.002411,0.003341,0.007120,0.008247,0.011519,0.020635,1.197414,1.356552
15600,0.09750,3.769016,0.053000,0.053000,0.002396,0.003306,0.007067,0.008184,0.011453,0.020593,1.196800,1.356769
15800,0.09875,3.755918,0.052699,0.052699,0.002373,0.003282,0.007010,0.008152,0.011410,0.020472,1.196889,1.358007
16000,0.10000,3.735295,0.052389,0.052389,0.002356,0.003272,0.007004,0.008093,0.011337,0.020327,1.196348,1.357804
