seed,update,env_steps,ep_ret_mean,ep_ret_max,ep_len_mean,lr,logstd,kl,tau
0,1,262144,-1.7428694287435138,22.360008239746094,16.333487768717568,0.0002999988705149873,-0.007119489833712578,0.01789364404976368,0.05008075386285782
0,10,2621440,21.229966183724756,390.335693359375,49.94288462135079,0.0002998870670902326,-0.0596810057759285,0.0036623121704906225,0.04930444806814194
0,20,5242880,257.8097656509328,689.2667846679688,179.21058222133706,0.0002995484573067394,-0.0856398344039917,0.005852157715708017,0.052438173443078995
0,30,7864320,299.4170814693466,992.739501953125,164.36027975552895,0.0002989847371708259,-0.15056483447551727,0.006263649091124535,0.052679870277643204
0,40,10485760,444.5005711775044,1288.78857421875,203.81326889279438,0.0002981968498314587,-0.20960061252117157,0.004866944160312414,0.05236341431736946
0,50,13107200,771.6696571845368,1663.8543701171875,284.49686360320936,0.00029718611348730165,-0.2698478102684021,0.005115412175655365,0.05435533449053764
0,60,15728640,1171.6173696620383,2641.239990234375,392.95598637673567,0.0002959542191812635,-0.32270821928977966,0.004977221600711346,0.05599212273955345
0,70,18350080,1846.4668693982073,3605.443115234375,584.6229193341869,0.0002945032279712482,-0.3769562244415283,0.00509762205183506,0.05677294358611107
0,80,20971520,2895.0165450121654,3889.08935546875,879.2671532846715,0.0002928355674818394,-0.42944180965423584,0.005197890102863312,0.05789676681160927
0,90,23592960,3098.901129081477,4081.69580078125,890.2050656087886,0.0002909540278426898,-0.4816379249095917,0.005231255665421486,0.05923676863312721
0,100,26214400,2660.759033778476,4158.46923828125,706.6928515318147,0.00028886175702041143,-0.5306557416915894,0.005164256319403648,0.06115402281284332
0,110,28835840,3445.8695018933877,4383.01806640625,877.4628604718905,0.0002865622555517741,-0.5781654715538025,0.005171493627130985,0.06282791495323181
0,120,31457280,3636.884166125892,4491.1484375,883.3079169370538,0.00028405937068702803,-0.6257051229476929,0.005010358057916164,0.06421095877885818
0,130,34078720,3692.673517786561,4682.2109375,865.2727272727273,0.0002813572899531447,-0.6710628271102905,0.004881856497377157,0.06542014330625534
0,140,36700160,3970.7892732465884,4723.216796875,903.3348143446525,0.0002784605341477492,-0.7135928869247437,0.00540239829570055,0.06657002866268158
0,150,39321600,4047.0735721200385,4801.7265625,898.7612132946111,0.000275373949775464,-0.7537016868591309,0.00500169862061739,0.06743406504392624
0,160,41943040,4010.9347581552306,4879.10009765625,874.3884514435696,0.00027210270093931693,-0.7883743047714233,0.005368347279727459,0.06820274889469147
0,170,44564480,4185.093171880256,4964.86572265625,898.7547931382442,0.0002686522607007845,-0.8294774293899536,0.005345667712390423,0.06899895519018173
0,180,47185920,4278.396597731821,5049.67529296875,907.4986657771848,0.00026502840192292,-0.8641883730888367,0.0052192555740475655,0.06974246352910995
0,190,49807360,4239.534763057765,5063.5341796875,890.4216534071255,0.0002612371876118919,-0.8972964286804199,0.005330405198037624,0.07050581276416779
0,200,52428800,4300.705737416402,5193.43896484375,894.0457585357268,0.0002572849607730884,-0.93121737241745,0.005419302731752396,0.07127467542886734
