step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498522,0.498786,0.498563,0.498562,0.497644,0.497609,0.499576,0.499608,0.499558,0.499593,0.500281,0.500197,0.500000,0.500022,0.499649,0.499678,0.500563,0.500489,0.499777,0.499891,0.499747,0.499759,0.500618,0.500605,0.499966,0.499957,0.499708,0.499721,0.500313,0.500297,0.499864,0.499871,0.499679,0.499681,0.500181,0.500178,0.498951,0.498905
400,0.493427,0.495608,0.495217,0.495343,0.489956,0.490296,0.499996,0.499105,0.497807,0.498178,0.498710,0.498249,0.500137,0.498952,0.496787,0.497343,0.499102,0.498569,0.500730,0.499689,0.497697,0.497984,0.501221,0.500991,0.501327,0.499726,0.499013,0.499064,0.501524,0.501351,0.500071,0.499365,0.499522,0.499492,0.501018,0.500965,0.497538,0.497094
600,0.484255,0.490060,0.488603,0.489340,0.477025,0.478066,0.503760,0.499253,0.493473,0.494319,0.492201,0.490797,0.502755,0.496858,0.488916,0.490027,0.495858,0.494234,0.504350,0.497286,0.489777,0.489965,0.497964,0.496957,0.504600,0.497629,0.495534,0.495533,0.505259,0.504106,0.504234,0.497764,0.498175,0.497949,0.504057,0.503560,0.496755,0.494031
800,0.471964,0.481293,0.477757,0.478772,0.459264,0.461080,0.511443,0.500046,0.484670,0.485482,0.480958,0.477451,0.509703,0.494629,0.474616,0.475171,0.490487,0.486153,0.512299,0.493234,0.476807,0.475590,0.489562,0.486483,0.513415,0.495529,0.487299,0.486914,0.515661,0.511850,0.513301,0.495416,0.493148,0.492003,0.509758,0.507658,0.499445,0.489584
1000,0.458668,0.469990,0.465504,0.465772,0.441220,0.443170,0.519599,0.499853,0.474990,0.474710,0.472693,0.463437,0.519156,0.492344,0.461839,0.459449,0.489398,0.478403,0.524721,0.490495,0.462753,0.457244,0.478592,0.471870,0.524024,0.491945,0.476222,0.474402,0.530010,0.521295,0.526183,0.491980,0.483675,0.480086,0.516332,0.510011,0.507985,0.484971
1200,0.449162,0.461110,0.455781,0.454495,0.426243,0.426682,0.528018,0.499284,0.467092,0.464334,0.470925,0.451332,0.531044,0.491281,0.451127,0.443379,0.490885,0.470048,0.540050,0.487993,0.452895,0.439032,0.469750,0.457143,0.536638,0.489455,0.466776,0.462272,0.548317,0.533595,0.542848,0.490448,0.474892,0.465089,0.524030,0.511095,0.520192,0.480929
1400,0.441129,0.452298,0.446941,0.442778,0.416718,0.413773,0.535947,0.498376,0.460147,0.452994,0.476336,0.440493,0.543299,0.489059,0.444683,0.428020,0.496299,0.462322,0.557478,0.484885,0.450043,0.421998,0.461906,0.441419,0.551684,0.487147,0.458838,0.450314,0.567416,0.545194,0.562115,0.488789,0.468892,0.449369,0.529267,0.508353,0.535035,0.476767
1600,0.435679,0.445245,0.440485,0.432594,0.412932,0.402578,0.544985,0.497556,0.456680,0.442684,0.488939,0.434479,0.555094,0.487354,0.443813,0.414459,0.506212,0.457177,0.576298,0.483192,0.456613,0.407450,0.460053,0.427460,0.567278,0.485247,0.451648,0.438305,0.587594,0.556308,0.583129,0.488172,0.468810,0.434606,0.531062,0.501957,0.552810,0.472668
1800,0.429989,0.436816,0.435294,0.422997,0.413399,0.393350,0.554171,0.496196,0.455013,0.432843,0.506251,0.433555,0.566550,0.484934,0.447098,0.402176,0.518287,0.451645,0.595659,0.482821,0.468957,0.393974,0.462676,0.415069,0.586090,0.485179,0.446657,0.426300,0.606925,0.565534,0.603425,0.486908,0.474900,0.419178,0.534491,0.495173,0.570552,0.468865
2000,0.426483,0.430131,0.432113,0.414897,0.419545,0.385891,0.562803,0.494813,0.456232,0.424405,0.526852,0.433172,0.578818,0.482740,0.455661,0.391248,0.533168,0.447243,0.615185,0.480119,0.485879,0.383572,0.470759,0.405171,0.605621,0.484751,0.443291,0.414599,0.622267,0.569923,0.624758,0.486677,0.486292,0.406264,0.537353,0.487599,0.589516,0.464317
2200,0.424675,0.424641,0.430033,0.407530,0.429626,0.379100,0.572715,0.494134,0.459640,0.417529,0.548582,0.435323,0.591186,0.481288,0.468532,0.382048,0.551254,0.445779,0.633816,0.477688,0.502432,0.375296,0.483201,0.398215,0.628901,0.485249,0.442310,0.403781,0.637098,0.572203,0.646960,0.485373,0.501110,0.396277,0.539623,0.478872,0.611545,0.459789
2400,0.423779,0.419093,0.429012,0.400259,0.442300,0.374258,0.580279,0.492587,0.465674,0.411769,0.571157,0.438440,0.605543,0.479650,0.484080,0.375686,0.572168,0.445796,0.650629,0.475285,0.520851,0.369546,0.497832,0.391812,0.652550,0.485482,0.444800,0.394595,0.649928,0.573224,0.669794,0.483788,0.517956,0.387606,0.542424,0.469635,0.633354,0.454472
2600,0.422626,0.413778,0.429093,0.394284,0.455773,0.370045,0.589257,0.492174,0.473240,0.406919,0.593834,0.440782,0.617532,0.477705,0.500258,0.370940,0.592859,0.446208,0.668657,0.472968,0.539522,0.364954,0.515880,0.388807,0.677846,0.485149,0.450279,0.385853,0.661314,0.571061,0.693402,0.483023,0.536114,0.380205,0.547284,0.461396,0.653725,0.449788
2800,0.422002,0.408671,0.430032,0.389261,0.470836,0.368210,0.596580,0.490598,0.483287,0.402336,0.617842,0.444486,0.630532,0.475767,0.517025,0.367072,0.613260,0.445543,0.685388,0.471430,0.558650,0.361181,0.534245,0.387080,0.703217,0.485159,0.458751,0.380012,0.672825,0.569292,0.715802,0.481493,0.556429,0.373429,0.550517,0.452915,0.674525,0.444611
3000,0.422353,0.404711,0.431811,0.384588,0.487226,0.366566,0.602973,0.489087,0.494354,0.398280,0.642748,0.449767,0.642184,0.473330,0.533884,0.363930,0.636032,0.446725,0.700892,0.468414,0.577554,0.357521,0.554015,0.386364,0.728412,0.485009,0.467312,0.374149,0.682433,0.565164,0.738272,0.479503,0.577776,0.369375,0.556975,0.445570,0.695302,0.438888
3200,0.422915,0.401031,0.433540,0.380218,0.504448,0.367303,0.607402,0.486752,0.506167,0.395118,0.665700,0.451919,0.653764,0.472152,0.553427,0.362164,0.657749,0.447903,0.715714,0.466050,0.597838,0.353995,0.573872,0.386575,0.753895,0.484505,0.477669,0.368617,0.690344,0.560086,0.759368,0.476564,0.599880,0.365482,0.564167,0.438415,0.716371,0.432002
3400,0.423320,0.397507,0.435613,0.376640,0.522384,0.368116,0.614500,0.486193,0.518405,0.392823,0.689973,0.457288,0.663654,0.469904,0.571747,0.359470,0.680519,0.451158,0.728666,0.462352,0.617874,0.352026,0.594636,0.388135,0.778364,0.482551,0.488412,0.364085,0.695326,0.552427,0.778865,0.472530,0.619979,0.360759,0.570160,0.430911,0.734049,0.425050
3600,0.424501,0.394991,0.438030,0.373651,0.540651,0.370059,0.619881,0.485620,0.530660,0.390726,0.715709,0.464003,0.674113,0.467056,0.589586,0.357140,0.702926,0.453444,0.741150,0.459126,0.636999,0.348226,0.614561,0.388943,0.803134,0.479212,0.497683,0.359687,0.698525,0.544256,0.796488,0.468201,0.639579,0.356822,0.579309,0.425048,0.750600,0.417097
3800,0.424987,0.392205,0.439963,0.370599,0.557510,0.371586,0.624267,0.483921,0.542802,0.389700,0.739353,0.469040,0.682731,0.464097,0.606525,0.354545,0.724802,0.455487,0.752153,0.455236,0.655022,0.345757,0.635482,0.392230,0.827373,0.475792,0.508145,0.356824,0.701013,0.535767,0.809830,0.462798,0.656763,0.352980,0.588334,0.419594,0.764326,0.408926
4000,0.425201,0.389551,0.442163,0.368421,0.574042,0.373277,0.629442,0.483594,0.552959,0.387480,0.763260,0.473694,0.689485,0.461405,0.622272,0.352194,0.745757,0.457568,0.760767,0.450907,0.670810,0.341927,0.654375,0.394153,0.848280,0.470720,0.518151,0.354080,0.704753,0.527028,0.820690,0.457856,0.673033,0.348000,0.597024,0.415105,0.774740,0.400605
4200,0.426180,0.387896,0.443705,0.365652,0.590628,0.375843,0.631387,0.480999,0.563978,0.386741,0.786656,0.478896,0.695422,0.458517,0.636222,0.349982,0.764917,0.457618,0.767021,0.446374,0.683760,0.338159,0.673741,0.397292,0.868446,0.465907,0.527995,0.351293,0.705490,0.518288,0.828132,0.452380,0.687534,0.342590,0.605677,0.410525,0.783534,0.392659
