step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.431840,0.434734,0.368505,0.358356,0.607306,0.446896,0.522027,0.406469,0.665478,0.522075,0.525417,0.415473,0.662764,0.489345,0.576741,0.424657,0.680744,0.512289,0.504091,0.387429,0.580520,0.430778,0.597782,0.405979,0.635173,0.469963,0.438484,0.424604,0.618499,0.520451,0.647702,0.445767,0.606716,0.499202,0.426423,0.412058,0.599732,0.518690,0.651784,0.469655,0.588762,0.516667,0.446560,0.444694,0.592219,0.525041,0.646488,0.494814
2200,0.427533,0.426859,0.364693,0.347936,0.638385,0.450492,0.530640,0.396394,0.680543,0.516552,0.539317,0.413249,0.696020,0.495460,0.594503,0.418648,0.699088,0.503480,0.519251,0.381594,0.607197,0.431429,0.622491,0.401600,0.653211,0.464437,0.433807,0.415509,0.630082,0.513065,0.671116,0.439292,0.619336,0.495877,0.420342,0.401816,0.605856,0.510829,0.669561,0.459748,0.599429,0.515130,0.440751,0.438146,0.601753,0.522629,0.659298,0.485898
2400,0.423567,0.419046,0.363425,0.338009,0.670085,0.454786,0.541102,0.387772,0.695403,0.508662,0.554795,0.410654,0.729750,0.498855,0.610991,0.412291,0.711960,0.492815,0.537409,0.377230,0.633710,0.430992,0.644563,0.395635,0.670557,0.457775,0.431319,0.407414,0.643075,0.507035,0.694343,0.432876,0.632507,0.491627,0.415304,0.391590,0.611676,0.502845,0.687609,0.450510,0.609459,0.513219,0.436392,0.432793,0.608822,0.519196,0.669241,0.476002
2600,0.420463,0.411620,0.364111,0.329143,0.702364,0.456038,0.549770,0.380202,0.708924,0.501258,0.568153,0.406727,0.763617,0.502770,0.626615,0.407606,0.725571,0.485082,0.554772,0.372974,0.662215,0.432500,0.667833,0.390692,0.687421,0.451295,0.430170,0.400162,0.654857,0.499842,0.715507,0.425917,0.644985,0.487213,0.411958,0.382551,0.619639,0.495134,0.706119,0.442169,0.619663,0.511911,0.431777,0.427040,0.616446,0.516296,0.682924,0.466543
2800,0.417044,0.403503,0.366058,0.321785,0.734296,0.456435,0.559162,0.372120,0.720792,0.494053,0.582993,0.404097,0.799064,0.506279,0.643126,0.403492,0.739371,0.477064,0.573976,0.371322,0.690726,0.433811,0.692049,0.386950,0.704608,0.446454,0.431113,0.393858,0.667864,0.492358,0.737064,0.419271,0.656914,0.482844,0.412928,0.375420,0.624726,0.486050,0.724244,0.433065,0.630836,0.510812,0.427918,0.422033,0.623560,0.513004,0.694830,0.456806
3000,0.414549,0.396276,0.369136,0.315434,0.765910,0.455767,0.567101,0.363866,0.729713,0.486026,0.597718,0.402442,0.833816,0.509710,0.656902,0.398600,0.751610,0.469097,0.590932,0.368068,0.719570,0.434881,0.715218,0.382664,0.723507,0.440933,0.433719,0.388687,0.680633,0.485719,0.757326,0.413411,0.671850,0.480283,0.413451,0.368006,0.633718,0.479193,0.743979,0.426019,0.640453,0.508032,0.423768,0.416520,0.626205,0.507310,0.706651,0.447723
3200,0.413873,0.390820,0.372869,0.310021,0.797849,0.455544,0.576721,0.356303,0.739471,0.480472,0.611162,0.398725,0.867943,0.509772,0.672884,0.393441,0.765689,0.461138,0.608603,0.364813,0.747810,0.435859,0.737009,0.377529,0.740978,0.435416,0.437483,0.383995,0.694609,0.479402,0.779942,0.407949,0.684030,0.475691,0.416346,0.362755,0.642194,0.472541,0.762849,0.419416,0.651701,0.506978,0.421791,0.412275,0.630541,0.502332,0.718948,0.438894
3400,0.411680,0.384453,0.377488,0.304956,0.830131,0.454577,0.586347,0.349651,0.747482,0.473869,0.625578,0.395443,0.901633,0.510058,0.686242,0.388866,0.777539,0.452397,0.626700,0.361946,0.776955,0.436750,0.759675,0.374482,0.758368,0.430344,0.441896,0.380327,0.706983,0.473383,0.801842,0.401319,0.695255,0.471508,0.419751,0.357807,0.650611,0.464829,0.779352,0.411857,0.659777,0.504629,0.419336,0.408297,0.633464,0.497699,0.729961,0.430876
3600,0.411270,0.379628,0.381697,0.300763,0.860569,0.452971,0.595544,0.343435,0.755507,0.467250,0.638952,0.393349,0.934469,0.510356,0.701354,0.385393,0.788169,0.444638,0.641997,0.358915,0.804546,0.437092,0.781947,0.370993,0.774143,0.425416,0.446506,0.376996,0.719185,0.467380,0.821758,0.395244,0.704486,0.466659,0.423540,0.353908,0.659094,0.457957,0.796458,0.405009,0.669803,0.502249,0.416631,0.403886,0.636536,0.492505,0.741253,0.422785
3800,0.409950,0.374486,0.385131,0.296642,0.889731,0.450223,0.604627,0.337304,0.759817,0.459187,0.651469,0.391025,0.966302,0.509524,0.713113,0.379952,0.798771,0.437426,0.656722,0.356033,0.830027,0.436683,0.803295,0.367356,0.790710,0.421414,0.451870,0.374134,0.731752,0.462577,0.842455,0.390381,0.716350,0.463596,0.428291,0.349970,0.666397,0.451882,0.813176,0.398611,0.677677,0.499596,0.414256,0.400180,0.639850,0.487597,0.753498,0.415391
4000,0.409279,0.369906,0.389351,0.292985,0.917896,0.447136,0.612458,0.331546,0.766485,0.452997,0.662405,0.388331,0.997391,0.507409,0.725300,0.374896,0.810044,0.430604,0.671491,0.353386,0.854846,0.436551,0.823454,0.362859,0.806805,0.417417,0.458254,0.371708,0.745493,0.458506,0.862517,0.385629,0.725632,0.460241,0.433993,0.347565,0.675596,0.447037,0.831362,0.393711,0.686325,0.497451,0.413572,0.397519,0.643347,0.482627,0.766118,0.409152
4200,0.409013,0.366260,0.393067,0.289890,0.945381,0.445034,0.621154,0.326508,0.772836,0.447209,0.672735,0.385094,1.027293,0.505261,0.737660,0.370460,0.820178,0.425078,0.685807,0.350657,0.878788,0.435690,0.842078,0.359264,0.820136,0.412275,0.463723,0.369354,0.755714,0.453263,0.882059,0.380778,0.735321,0.455920,0.439319,0.345086,0.683877,0.441845,0.846246,0.387121,0.695336,0.495475,0.411987,0.394527,0.646849,0.478668,0.777363,0.402867
4400,0.408057,0.362063,0.396483,0.286941,0.971999,0.441959,0.627344,0.320986,0.778400,0.442519,0.682556,0.381875,1.056216,0.503388,0.748323,0.366509,0.829599,0.419764,0.699560,0.348370,0.901490,0.434979,0.859394,0.356261,0.834586,0.408663,0.470245,0.367694,0.767721,0.449442,0.899912,0.377078,0.745522,0.453164,0.445413,0.343881,0.692294,0.437593,0.860922,0.381811,0.702524,0.493268,0.410830,0.391680,0.649527,0.473509,0.787587,0.397303
4600,0.408333,0.359135,0.399013,0.283975,0.995599,0.438363,0.634057,0.316199,0.781649,0.437201,0.693038,0.380704,1.084033,0.502910,0.759334,0.363160,0.837167,0.414486,0.712807,0.346479,0.922323,0.433823,0.876712,0.353397,0.848304,0.405595,0.477505,0.366760,0.777804,0.444523,0.916758,0.373129,0.755028,0.450892,0.452260,0.343646,0.700235,0.433307,0.875007,0.377253,0.708077,0.490434,0.410937,0.390010,0.652701,0.469836,0.798316,0.392217
4800,0.408272,0.356675,0.400815,0.281245,1.018511,0.434676,0.641097,0.311846,0.786086,0.432918,0.701533,0.378082,1.110220,0.500645,0.769199,0.359911,0.844425,0.409552,0.724148,0.344603,0.942304,0.432926,0.891733,0.350466,0.860748,0.402302,0.484229,0.366025,0.788996,0.440801,0.933486,0.369704,0.762843,0.447822,0.458089,0.342737,0.708929,0.429783,0.888639,0.373311,0.715164,0.489077,0.409667,0.387534,0.654945,0.466435,0.807515,0.387602
5000,0.406964,0.353123,0.402042,0.278581,1.039864,0.431637,0.646593,0.307720,0.788252,0.428466,0.707953,0.375414,1.134203,0.498147,0.779575,0.356685,0.851840,0.404960,0.734951,0.342969,0.960729,0.431733,0.907212,0.347908,0.871941,0.399043,0.490953,0.365102,0.798625,0.437599,0.947657,0.365924,0.769106,0.444534,0.464213,0.342504,0.714860,0.425468,0.900373,0.369081,0.719520,0.486279,0.409376,0.385741,0.657543,0.462723,0.816591,0.382360
