step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.496822,0.496738,0.498500,0.498389,0.100513,0.499509,0.499104,0.498790,0.498760,0.100488,0.499385,0.499130,0.499104,0.499093,0.100009,0.498937,0.499098,0.498876,0.498856,0.099909,0.499594,0.499483,0.498411,0.498273,0.099846,0.499899,0.499775,0.498381,0.498256,0.099917
400,0.487137,0.487041,0.491231,0.490996,0.102702,0.501205,0.496197,0.496378,0.496330,0.102241,0.499408,0.497868,0.497216,0.497113,0.101451,0.499973,0.498954,0.498410,0.498319,0.100627,0.499542,0.499467,0.497881,0.497572,0.100042,0.502053,0.501282,0.495773,0.494743,0.100042
600,0.469076,0.468968,0.475472,0.475801,0.106323,0.509870,0.488219,0.489271,0.489280,0.105094,0.499991,0.493585,0.490133,0.489931,0.102477,0.502171,0.498177,0.496760,0.496296,0.101833,0.504437,0.502964,0.498462,0.497696,0.100851,0.503183,0.502387,0.495029,0.492898,0.100584
800,0.445312,0.445165,0.451251,0.451808,0.111307,0.527794,0.478404,0.479199,0.479258,0.108413,0.504367,0.489926,0.479078,0.478623,0.103604,0.504877,0.498284,0.496096,0.495125,0.104376,0.509777,0.507441,0.499614,0.498613,0.102346,0.506276,0.505659,0.497234,0.494259,0.100984
1000,0.420413,0.420140,0.425419,0.425846,0.117422,0.552263,0.473180,0.467238,0.467088,0.112687,0.511643,0.486799,0.466870,0.465383,0.104896,0.510186,0.498674,0.496389,0.495015,0.105820,0.515240,0.510676,0.500588,0.499253,0.103579,0.506935,0.505992,0.499145,0.495534,0.101324
1200,0.397802,0.397321,0.402064,0.402214,0.123552,0.577208,0.469393,0.457401,0.456990,0.116977,0.522022,0.484617,0.454493,0.451575,0.106236,0.515644,0.500496,0.495991,0.494259,0.106801,0.519985,0.513827,0.501494,0.499954,0.104275,0.508148,0.507237,0.500669,0.496646,0.101701
1400,0.377775,0.376890,0.380608,0.380238,0.130136,0.603815,0.467371,0.447863,0.446829,0.121397,0.532153,0.482282,0.443421,0.438104,0.107650,0.518045,0.500031,0.495567,0.493591,0.107447,0.522936,0.515722,0.502390,0.500627,0.104879,0.508165,0.507263,0.502071,0.497693,0.102458
1600,0.359768,0.358276,0.361532,0.360110,0.137084,0.632605,0.465906,0.439457,0.437384,0.125909,0.544259,0.479349,0.433148,0.425568,0.109478,0.520780,0.499761,0.495450,0.492996,0.108123,0.525198,0.516879,0.503330,0.501316,0.105286,0.508053,0.506528,0.503354,0.498514,0.102809
1800,0.344369,0.341984,0.345578,0.341654,0.144465,0.661497,0.463350,0.431480,0.428154,0.130768,0.558375,0.478252,0.425303,0.414903,0.111338,0.523299,0.498457,0.494890,0.492231,0.108792,0.529339,0.519831,0.504648,0.502247,0.105421,0.506275,0.504808,0.504705,0.499442,0.103354
