step,lambda,train_ce,imitation_mse,reg_mse,mse_b0,mse_b1,mse_b2,mse_b3,mse_b4,mse_b5,dense_bpb,swapin_bpb
200,4.00000,9.225281,0.001552,0.001552,0.000251,0.000232,0.000258,0.000278,0.000264,0.000270,2.582883,2.627487
400,4.00000,7.525323,0.000499,0.000499,0.000061,0.000064,0.000078,0.000095,0.000119,0.000082,2.136574,2.178544
600,4.00000,6.647408,0.000517,0.000517,0.000064,0.000062,0.000072,0.000086,0.000120,0.000113,1.973539,2.020920
800,4.00000,6.221348,0.000733,0.000733,0.000092,0.000081,0.000094,0.000110,0.000149,0.000208,1.875316,1.919436
1000,4.00000,5.916835,0.001036,0.001036,0.000124,0.000108,0.000126,0.000155,0.000203,0.000319,1.797552,1.835575
1200,4.00000,5.674614,0.001449,0.001449,0.000171,0.000153,0.000177,0.000224,0.000279,0.000445,1.734310,1.772781
1400,4.00000,5.477834,0.002014,0.002014,0.000236,0.000222,0.000247,0.000325,0.000387,0.000597,1.680265,1.719086
1600,4.00000,5.318140,0.002747,0.002747,0.000324,0.000320,0.000344,0.000454,0.000526,0.000779,1.632396,1.675052
1800,4.00000,5.151176,0.003548,0.003548,0.000428,0.000425,0.000448,0.000597,0.000682,0.000967,1.589124,1.634670
2000,4.00000,4.999773,0.004238,0.004238,0.000508,0.000515,0.000540,0.000722,0.000827,0.001125,1.543646,1.594484
2200,4.00000,4.852033,0.004868,0.004868,0.000570,0.000588,0.000623,0.000848,0.000974,0.001264,1.500975,1.553323
2400,4.00000,4.725633,0.005402,0.005402,0.000625,0.000648,0.000692,0.000956,0.001099,0.001383,1.467353,1.520364
2600,4.00000,4.614946,0.005890,0.005890,0.000688,0.000708,0.000758,0.001052,0.001208,0.001477,1.436220,1.495126
2800,4.00000,4.534384,0.006300,0.006300,0.000735,0.000757,0.000820,0.001131,0.001296,0.001562,1.416378,1.476548
3000,4.00000,4.474459,0.006674,0.006674,0.000778,0.000801,0.000880,0.001205,0.001380,0.001630,1.396158,1.460057
3200,4.00000,4.432468,0.006993,0.006993,0.000820,0.000843,0.000937,0.001267,0.001443,0.001683,1.380828,1.450229
3400,4.00000,4.377752,0.007271,0.007271,0.000852,0.000880,0.000983,0.001322,0.001499,0.001736,1.368560,1.436240
3600,4.00000,4.333312,0.007539,0.007539,0.000875,0.000916,0.001034,0.001369,0.001555,0.001789,1.358239,1.429415
3800,4.00000,4.316940,0.007761,0.007761,0.000901,0.000940,0.001077,0.001411,0.001600,0.001833,1.347993,1.418489
4000,4.00000,4.280741,0.007921,0.007921,0.000916,0.000963,0.001112,0.001436,0.001626,0.001867,1.339453,1.414382
