step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active,topk_k,topk_mask_churn,topk_mask_entered,topk_mask_vs_init
0,0.833333,0.083361,0.083306,64.0000,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,64.0000,0.498299,0.9966,16.0000,0.624648,0.000000,0.000000,+0.624648,0,64,0,0,0
200,0.833333,0.083338,0.083329,64.0000,1776804,0.18827693,8,888398,888398,1776804,0.390842,0.391582,0.392421,-0.002359,-0.000002,0.002911,0.000492,1.000000,64.0000,0.499454,1.0025,16.0000,0.685232,0.000000,0.000000,+0.685232,0,64,1776796,888398,1776796
400,0.833333,0.083187,0.083479,64.0000,2377794,0.25196013,12208,1182793,1182793,1870418,0.388875,0.391223,0.392577,-0.004465,0.000003,0.005422,0.000680,1.000000,64.0000,0.499293,1.0084,16.0000,0.680997,0.000000,0.000000,+0.680997,0,64,1869674,934837,2365586
600,0.833333,0.083182,0.083485,64.0000,2521358,0.26717272,27152,1247103,1247103,1521447,0.385513,0.390610,0.393554,-0.007489,0.000004,0.007912,0.001003,1.000000,64.0000,0.499404,1.0098,16.0000,0.687415,0.000000,0.000000,+0.687415,0,64,1521424,760712,2494206
800,0.833333,0.083394,0.083273,64.0000,2604385,0.27597058,43687,1280349,1280349,1492851,0.381157,0.389450,0.393607,-0.010774,0.000007,0.010936,0.001500,1.000000,64.0000,0.499405,1.0035,16.0000,0.694786,0.000000,0.000000,+0.694786,0,64,1492850,746425,2560698
1000,0.833333,0.083438,0.083229,64.0000,2650284,0.28083420,59244,1295520,1295520,1506269,0.376120,0.387548,0.393449,-0.013468,0.000026,0.013944,0.002159,1.000000,64.0000,0.498624,0.9909,16.0000,0.702545,0.000000,0.000000,+0.702545,0,64,1506268,753134,2591040
1200,0.833333,0.083525,0.083142,64.0000,2679960,0.28397879,71692,1304134,1304134,1545714,0.371601,0.384638,0.393863,-0.021379,0.000035,0.022641,0.002954,1.000000,64.0000,0.498774,0.9767,16.0000,0.709012,0.000000,0.000000,+0.709012,0,64,1545714,772857,2608268
1400,0.833333,0.083505,0.083162,64.0000,2698533,0.28594685,81035,1308749,1308749,1568026,0.366075,0.380554,0.393218,-0.030273,0.000050,0.030505,0.003835,1.000000,64.0000,0.498612,0.9541,16.0000,0.715019,0.000000,0.000000,+0.715019,0,64,1568026,784013,2617498
1600,0.833333,0.083555,0.083112,64.0000,2709593,0.28711882,88583,1310505,1310505,1579070,0.359425,0.375265,0.392996,-0.035804,0.000077,0.038185,0.004794,1.000000,64.0000,0.498852,0.9230,16.0000,0.721213,0.000000,0.000000,+0.721213,0,64,1579070,789535,2621010
1800,0.833333,0.083426,0.083241,64.0000,2717933,0.28800255,94391,1311771,1311771,1542012,0.350305,0.369228,0.392738,-0.044767,0.000087,0.048840,0.005747,1.000000,64.0000,0.499010,0.8854,16.0000,0.728229,0.000000,0.000000,+0.728229,0,64,1542012,771006,2623542
2000,0.833333,0.083433,0.083234,64.0000,2724283,0.28867543,98245,1313019,1313019,1480378,0.340436,0.362967,0.388875,-0.054310,0.000091,0.055385,0.006642,1.000000,64.0000,0.498493,0.8462,16.0000,0.735279,0.000000,0.000000,+0.735279,0,64,1480378,740189,2626038
2200,0.833333,0.083470,0.083196,64.0000,2725036,0.28875521,101982,1311527,1311527,1433110,0.329467,0.356668,0.384844,-0.061808,0.000087,0.063978,0.007535,1.000000,64.0000,0.498786,0.8113,16.0000,0.742727,0.000000,0.000000,+0.742727,0,64,1433110,716555,2623054
2400,0.833333,0.083332,0.083334,64.0000,2729452,0.28922313,104014,1312719,1312719,1404646,0.318566,0.350367,0.381012,-0.067605,0.000099,0.072588,0.008391,1.000000,64.0000,0.498406,0.7755,16.0000,0.750075,0.000000,0.000000,+0.750075,0,64,1404646,702323,2625438
2600,0.833333,0.083238,0.083428,64.0000,2730435,0.28932729,106185,1312125,1312125,1379880,0.307703,0.344042,0.378571,-0.075454,0.000119,0.081245,0.009249,1.000000,64.0000,0.498666,0.7442,16.0000,0.757460,0.000000,0.000000,+0.757460,0,64,1379880,689940,2624250
2800,0.833333,0.083405,0.083262,64.0000,2731699,0.28946126,108107,1311796,1311796,1361220,0.297518,0.337790,0.375707,-0.075051,0.000135,0.084661,0.010045,1.000000,64.0000,0.499424,0.7160,16.0000,0.764825,0.000000,0.000000,+0.764825,0,64,1361220,680610,2623592
3000,0.833333,0.083460,0.083206,64.0000,2733820,0.28968599,109748,1312036,1312036,1350132,0.287099,0.331579,0.372340,-0.081838,0.000142,0.090213,0.010787,1.000000,64.0000,0.498966,0.6877,16.0000,0.772356,0.000000,0.000000,+0.772356,0,64,1350132,675066,2624072
3200,0.833333,0.083342,0.083325,64.0000,2733937,0.28969839,110919,1311509,1311509,1345166,0.277843,0.325411,0.369952,-0.088033,0.000148,0.091933,0.011577,1.000000,64.0000,0.498973,0.6621,16.0000,0.780110,0.000000,0.000000,+0.780110,0,64,1345166,672583,2623018
3400,0.833333,0.083440,0.083226,64.0000,2735445,0.28985819,112147,1311649,1311649,1344418,0.268636,0.319280,0.365607,-0.091030,0.000135,0.098485,0.012321,1.000000,64.0000,0.498957,0.6373,16.0000,0.787826,0.000000,0.000000,+0.787826,0,64,1344418,672209,2623298
3600,0.833333,0.083440,0.083226,64.0000,2736598,0.28998035,112758,1311920,1311920,1343938,0.261708,0.313277,0.367402,-0.095701,0.000145,0.099754,0.013035,1.000000,64.0000,0.498781,0.6149,16.0000,0.795461,0.000000,0.000000,+0.795461,0,64,1343938,671969,2623840
3800,0.833333,0.083618,0.083049,64.0000,2737318,0.29005665,113770,1311774,1311774,1343860,0.254563,0.307411,0.368209,-0.098226,0.000168,0.102915,0.013752,1.000000,64.0000,0.498880,0.5939,16.0000,0.802738,0.000000,0.000000,+0.802738,0,64,1343860,671930,2623548
4000,0.833333,0.083532,0.083134,64.0000,2738599,0.29019240,114425,1312087,1312087,1347100,0.246227,0.301625,0.365520,-0.102141,0.000165,0.107141,0.014461,1.000000,64.0000,0.498300,0.5719,16.0000,0.809926,0.000000,0.000000,+0.809926,0,64,1347100,673550,2624174
