step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497508,0.497992,0.497573,0.497569,0.497678,0.497558,0.499487,0.499542,0.499533,0.499547,0.499565,0.499556,0.499835,0.499837,0.499788,0.499752,0.499933,0.499920,0.500029,0.499825,0.499755,0.499734,0.499911,0.499905,0.499878,0.499770,0.499865,0.499871,0.499945,0.499944,0.500051,0.500063,0.499742,0.499800,0.499879,0.499876
400,0.490445,0.492377,0.493266,0.493315,0.490957,0.491037,0.499531,0.498892,0.498168,0.498280,0.498616,0.498525,0.499160,0.499087,0.500312,0.500181,0.502877,0.502409,0.499648,0.499592,0.500172,0.500072,0.502519,0.502256,0.498975,0.498687,0.500102,0.500069,0.501495,0.501363,0.499863,0.500199,0.499897,0.499980,0.500477,0.500391
600,0.478830,0.482539,0.483700,0.484044,0.476747,0.477150,0.501708,0.497302,0.494361,0.494479,0.493793,0.493790,0.497042,0.496183,0.501312,0.501120,0.510696,0.508229,0.498877,0.498972,0.501117,0.500897,0.511439,0.509342,0.496681,0.495828,0.500896,0.500721,0.505117,0.504116,0.499048,0.500069,0.499862,0.500048,0.501789,0.501226
800,0.463959,0.468561,0.468227,0.468513,0.457129,0.457375,0.505607,0.494028,0.488332,0.487637,0.486877,0.485920,0.494910,0.492036,0.502889,0.502681,0.525870,0.518133,0.496702,0.496137,0.501100,0.500960,0.526998,0.520446,0.493109,0.491181,0.502306,0.501964,0.515020,0.509954,0.495665,0.496639,0.499637,0.500083,0.504929,0.502652
1000,0.450976,0.453944,0.451573,0.450484,0.436392,0.435778,0.512286,0.490292,0.484414,0.481658,0.481173,0.476464,0.494627,0.487556,0.504373,0.504195,0.546616,0.530745,0.495055,0.492448,0.500094,0.500108,0.545532,0.532308,0.488730,0.485672,0.504270,0.503862,0.529707,0.517666,0.492735,0.493039,0.499084,0.499732,0.510386,0.504746
1200,0.442809,0.442147,0.438379,0.434074,0.418439,0.415553,0.518172,0.486714,0.480779,0.475380,0.480026,0.467559,0.494872,0.482861,0.506095,0.505620,0.569775,0.543975,0.493953,0.488152,0.498223,0.497618,0.562246,0.540772,0.486263,0.482185,0.505897,0.505569,0.546581,0.525431,0.490976,0.490104,0.497824,0.498824,0.517291,0.506939
1400,0.437257,0.431864,0.427767,0.418670,0.404820,0.397312,0.525900,0.482815,0.478073,0.468978,0.483342,0.460639,0.496405,0.479067,0.508041,0.506969,0.593209,0.556268,0.492754,0.483442,0.495494,0.493996,0.578633,0.547364,0.482965,0.477785,0.507510,0.507007,0.564210,0.532628,0.489627,0.487153,0.497085,0.498041,0.524722,0.509086
1600,0.435983,0.424466,0.421736,0.405402,0.398627,0.381100,0.533057,0.478969,0.475878,0.462954,0.489182,0.454005,0.498149,0.474800,0.509386,0.507671,0.615629,0.567576,0.492776,0.479037,0.493309,0.490448,0.592165,0.551287,0.483062,0.475757,0.508409,0.507900,0.581398,0.539101,0.487710,0.483284,0.495645,0.496670,0.532386,0.511112
1800,0.434557,0.416770,0.418453,0.393957,0.401383,0.367164,0.539851,0.474571,0.473824,0.456494,0.498182,0.449705,0.498672,0.469761,0.510377,0.507704,0.639404,0.578520,0.494453,0.474921,0.490196,0.485815,0.604457,0.553105,0.481701,0.472091,0.509046,0.508185,0.599283,0.545138,0.486735,0.480617,0.494895,0.495626,0.540747,0.513151
2000,0.434883,0.410615,0.419202,0.383841,0.409804,0.354617,0.547341,0.470958,0.472908,0.450227,0.507495,0.444505,0.499193,0.464933,0.510782,0.506971,0.663887,0.588859,0.497618,0.471063,0.486375,0.479951,0.615982,0.553447,0.480398,0.468855,0.510037,0.509038,0.615897,0.550669,0.485246,0.476821,0.493976,0.494179,0.547829,0.514904
2200,0.436847,0.405800,0.420455,0.375301,0.422025,0.346143,0.554409,0.467865,0.473017,0.445238,0.520449,0.441228,0.503134,0.462130,0.511887,0.507289,0.686040,0.597917,0.500791,0.467246,0.485166,0.475717,0.626881,0.552295,0.479846,0.466060,0.510069,0.508743,0.631653,0.555405,0.485764,0.474680,0.492976,0.492730,0.555871,0.516643
