step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.out_v2d.T,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.out_v2d.T,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.out_v2d.T,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.out_v2d.T,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.out_v2d.T,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.out_v2d.T
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.100000
200,0.499412,0.499406,0.499388,0.499387,0.499399,0.499396,0.100070,0.499692,0.499571,0.499377,0.499378,0.499398,0.499393,0.100047,0.499602,0.499497,0.499371,0.499372,0.499385,0.499380,0.099876,0.499616,0.499497,0.499351,0.499351,0.499369,0.499365,0.099873,0.499680,0.499520,0.499367,0.499368,0.499387,0.499384,0.099875,0.499696,0.499549,0.499354,0.499354,0.499370,0.499367,0.099873
400,0.497801,0.497760,0.499039,0.499051,0.498882,0.498851,0.100317,0.499433,0.498971,0.498997,0.498990,0.498900,0.498883,0.100301,0.499093,0.498822,0.499109,0.499097,0.499116,0.499113,0.099936,0.499219,0.498999,0.499067,0.499080,0.499118,0.499107,0.099940,0.499483,0.499335,0.498901,0.498888,0.498906,0.498897,0.099955,0.499533,0.499359,0.498876,0.498839,0.498828,0.498807,0.099952
600,0.495120,0.495072,0.498090,0.498172,0.495988,0.495938,0.100877,0.499109,0.498138,0.498559,0.498541,0.498309,0.498257,0.100817,0.498825,0.498288,0.498661,0.498630,0.498575,0.498556,0.100439,0.499250,0.498711,0.498863,0.498832,0.498903,0.498876,0.100337,0.498948,0.498632,0.499206,0.499237,0.499194,0.499193,0.100072,0.499097,0.498882,0.499137,0.499002,0.498786,0.498774,0.099957
800,0.491501,0.491448,0.496535,0.496746,0.492271,0.492183,0.101695,0.499501,0.496797,0.498115,0.498078,0.497720,0.497659,0.101508,0.498749,0.497605,0.498119,0.498055,0.498001,0.497967,0.101064,0.499562,0.498460,0.498376,0.498309,0.498329,0.498279,0.100794,0.498883,0.498250,0.498973,0.498979,0.498865,0.498825,0.100414,0.499586,0.499112,0.499511,0.499408,0.498906,0.498904,0.100116
1000,0.486667,0.486612,0.494999,0.495369,0.488079,0.487936,0.102779,0.500898,0.495410,0.497263,0.497197,0.496808,0.496750,0.102470,0.498992,0.496500,0.497066,0.496968,0.496874,0.496803,0.101727,0.500325,0.498330,0.497820,0.497698,0.497673,0.497609,0.101385,0.499463,0.497927,0.498648,0.498614,0.498421,0.498355,0.100755,0.499907,0.499265,0.499212,0.499036,0.498375,0.498314,0.100305
1200,0.480551,0.480486,0.492823,0.493424,0.482880,0.482716,0.104063,0.503759,0.493997,0.496115,0.495994,0.495500,0.495458,0.103526,0.499346,0.494682,0.495511,0.495317,0.494546,0.494453,0.102530,0.502164,0.498761,0.496861,0.496655,0.495977,0.495970,0.101975,0.500046,0.497791,0.498392,0.498277,0.497877,0.497756,0.101253,0.500847,0.499716,0.498969,0.498749,0.497990,0.497898,0.100709
1400,0.473023,0.472945,0.490116,0.490952,0.476723,0.476545,0.105554,0.507350,0.492222,0.494554,0.494372,0.492810,0.492867,0.104698,0.500049,0.492745,0.493765,0.493486,0.491822,0.491580,0.103617,0.504790,0.499576,0.495331,0.495022,0.493530,0.493389,0.102638,0.500411,0.497568,0.498358,0.498044,0.497378,0.497129,0.101930,0.501925,0.500369,0.499157,0.498835,0.497988,0.497896,0.101015
1600,0.464451,0.464359,0.487061,0.488201,0.468776,0.468670,0.107353,0.512603,0.489484,0.492658,0.492331,0.489327,0.489511,0.106166,0.501506,0.490606,0.491172,0.490868,0.488088,0.487709,0.104712,0.506949,0.500430,0.493719,0.493268,0.491560,0.491091,0.103189,0.501400,0.497847,0.498449,0.497934,0.497340,0.496933,0.102803,0.503779,0.501751,0.499465,0.499020,0.498021,0.497720,0.101602
1800,0.455242,0.455121,0.483000,0.484412,0.459338,0.459297,0.109314,0.519474,0.487045,0.490369,0.489882,0.484482,0.484588,0.107716,0.503715,0.488244,0.488447,0.488065,0.484511,0.483926,0.105922,0.507779,0.499700,0.492085,0.491400,0.490022,0.489275,0.103831,0.501962,0.497855,0.498759,0.498084,0.497527,0.496981,0.103355,0.504286,0.501907,0.499708,0.499221,0.498214,0.497857,0.101919
2000,0.445445,0.445269,0.477714,0.479461,0.448910,0.448908,0.111509,0.527138,0.484699,0.488063,0.487384,0.479599,0.479511,0.109383,0.506035,0.485662,0.485710,0.485250,0.481127,0.480421,0.107321,0.510154,0.500448,0.489716,0.488729,0.488693,0.487763,0.104310,0.502526,0.497891,0.499148,0.498354,0.497759,0.497083,0.103865,0.504568,0.502115,0.499890,0.499395,0.498434,0.498024,0.102076
2200,0.434958,0.434715,0.471330,0.473416,0.437534,0.437528,0.114053,0.537190,0.482700,0.485001,0.484063,0.474049,0.473803,0.111385,0.509579,0.482752,0.482541,0.481993,0.476996,0.476183,0.108968,0.512557,0.500827,0.487785,0.486550,0.487431,0.486290,0.105103,0.502659,0.497500,0.499768,0.498741,0.498116,0.497244,0.104460,0.504675,0.502099,0.500075,0.499582,0.498675,0.498185,0.102426
2400,0.423917,0.423571,0.463776,0.466204,0.425355,0.425342,0.116798,0.548577,0.479812,0.481505,0.480293,0.467656,0.467175,0.113431,0.513929,0.479374,0.479288,0.478592,0.472894,0.471961,0.110829,0.514193,0.500473,0.485716,0.484181,0.485721,0.484454,0.105728,0.503330,0.497361,0.501004,0.499815,0.498887,0.497785,0.105094,0.504805,0.502128,0.500437,0.499918,0.498979,0.498361,0.102492
2600,0.412754,0.412248,0.455120,0.457797,0.412474,0.412399,0.119968,0.561900,0.477937,0.478116,0.476503,0.460584,0.459829,0.115816,0.520201,0.476396,0.475230,0.474364,0.467621,0.466355,0.112804,0.515712,0.499581,0.483608,0.481698,0.484072,0.482794,0.106477,0.504521,0.497461,0.502004,0.500579,0.499564,0.498186,0.105434,0.504678,0.501928,0.500719,0.500187,0.499399,0.498692,0.102601
2800,0.401243,0.400535,0.444687,0.447580,0.399079,0.398884,0.123642,0.577180,0.476117,0.473727,0.471628,0.452832,0.451784,0.118573,0.528075,0.473018,0.471031,0.469880,0.460947,0.459341,0.114937,0.518450,0.499526,0.480823,0.478498,0.481957,0.480375,0.107247,0.504520,0.496666,0.502738,0.500986,0.500193,0.498573,0.105915,0.504836,0.502007,0.500971,0.500401,0.499828,0.499080,0.102747
3000,0.390069,0.389063,0.433744,0.436805,0.385449,0.384980,0.127480,0.593429,0.473878,0.469244,0.466536,0.445275,0.443613,0.121220,0.536743,0.469519,0.466356,0.464833,0.454653,0.452667,0.117276,0.520922,0.499573,0.477614,0.474881,0.479624,0.477991,0.107950,0.505951,0.496734,0.503669,0.501679,0.501197,0.499201,0.106644,0.505071,0.502175,0.501312,0.500751,0.500417,0.499475,0.102771
3200,0.378687,0.377286,0.422016,0.425237,0.371633,0.370725,0.131794,0.611433,0.471628,0.464523,0.461110,0.437078,0.434748,0.124322,0.547346,0.466444,0.460573,0.458528,0.446857,0.444288,0.119744,0.523853,0.499398,0.474533,0.471429,0.477229,0.475443,0.108642,0.507312,0.496939,0.505147,0.502843,0.502558,0.500202,0.106879,0.504930,0.501983,0.501643,0.501109,0.501165,0.500022,0.102894
3400,0.367680,0.365733,0.409680,0.412982,0.358169,0.356475,0.136518,0.631644,0.469840,0.459978,0.455864,0.429041,0.425955,0.127558,0.559206,0.463310,0.455081,0.452501,0.439591,0.436148,0.122465,0.527460,0.499113,0.470519,0.467161,0.474483,0.472349,0.109220,0.508646,0.497001,0.506109,0.503630,0.503572,0.500862,0.107419,0.504969,0.501957,0.501822,0.501293,0.501898,0.500545,0.103002
3600,0.356840,0.354283,0.396861,0.400245,0.345279,0.342117,0.141760,0.653722,0.467760,0.455401,0.450279,0.420893,0.416769,0.131427,0.572680,0.461192,0.449934,0.446740,0.432596,0.427952,0.125545,0.533078,0.501438,0.466922,0.463370,0.471403,0.468985,0.109876,0.509328,0.495934,0.507583,0.504817,0.505181,0.502006,0.108069,0.505026,0.501950,0.502028,0.501567,0.502921,0.501364,0.103123
3800,0.346669,0.343319,0.383075,0.386496,0.334128,0.327967,0.147701,0.678736,0.465013,0.450723,0.444262,0.411938,0.406467,0.135762,0.588179,0.458175,0.444138,0.440087,0.424860,0.418789,0.128759,0.535756,0.499914,0.462849,0.458706,0.468528,0.465504,0.110652,0.511202,0.495684,0.509004,0.505832,0.506760,0.503023,0.109007,0.505099,0.501825,0.502403,0.502002,0.504113,0.502308,0.103183
4000,0.337622,0.333204,0.369319,0.372779,0.327606,0.314998,0.153961,0.705467,0.462981,0.446181,0.438274,0.404104,0.397037,0.139794,0.603212,0.454345,0.437780,0.432840,0.416361,0.408834,0.132778,0.540253,0.501064,0.458670,0.453898,0.465381,0.461779,0.111122,0.512519,0.495298,0.510908,0.507229,0.508542,0.504217,0.109452,0.505051,0.501686,0.502649,0.502324,0.505108,0.503090,0.103303
4200,0.329183,0.323498,0.354630,0.358061,0.327371,0.303807,0.160712,0.733745,0.461019,0.441484,0.431930,0.396759,0.387796,0.144261,0.621464,0.452313,0.432313,0.426352,0.409982,0.400787,0.136774,0.544633,0.501047,0.454756,0.449521,0.461670,0.457473,0.111651,0.514015,0.495265,0.513152,0.509048,0.510660,0.505703,0.109959,0.505188,0.501700,0.502901,0.502683,0.506499,0.504241,0.103407
4400,0.321279,0.314112,0.338668,0.342037,0.334013,0.294403,0.168278,0.764934,0.457691,0.437172,0.425400,0.389587,0.378259,0.149414,0.640799,0.450022,0.426734,0.419557,0.403073,0.391876,0.140696,0.549649,0.501494,0.449054,0.443222,0.456585,0.451887,0.112262,0.514731,0.493923,0.514931,0.510546,0.513359,0.507597,0.110410,0.505228,0.501685,0.503286,0.503135,0.507938,0.505339,0.103549
4600,0.314326,0.305311,0.322861,0.326133,0.343989,0.288427,0.176467,0.796621,0.453720,0.433912,0.419758,0.384135,0.370172,0.154666,0.661024,0.448242,0.421920,0.413414,0.396925,0.383120,0.145040,0.555205,0.502095,0.444116,0.437664,0.452841,0.447148,0.112854,0.515565,0.492025,0.517210,0.512245,0.515630,0.509091,0.110988,0.505052,0.501439,0.503443,0.503406,0.509504,0.506647,0.103617
4800,0.309042,0.297950,0.306765,0.309939,0.356279,0.284823,0.185559,0.830709,0.448729,0.431258,0.414197,0.379179,0.361502,0.160446,0.681378,0.444351,0.416762,0.406844,0.392094,0.374943,0.149500,0.559591,0.502114,0.439291,0.432467,0.448593,0.441877,0.113383,0.517333,0.491157,0.520076,0.514460,0.518397,0.510914,0.111412,0.505001,0.501331,0.503978,0.503976,0.511246,0.507924,0.103667
