step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.674721,0.362916,0.000000,6.656465,6.736722
1000,2.477770,0.448988,0.000000,2.425024,2.451511
2000,2.258982,0.480274,0.000000,2.248776,2.252805
3000,2.190054,0.490282,0.000000,2.172643,2.174619
4000,2.137573,0.495147,0.000000,2.131568,2.131275
5000,2.100601,0.497971,0.000000,2.101924,2.103045
6000,2.053815,0.499106,0.000000,2.062407,2.062017
7000,2.040332,0.499689,0.000000,2.027766,2.029721
8000,2.011004,0.499887,0.000000,1.996643,1.997981
9000,1.981289,0.499897,0.000000,1.980463,1.980634
10000,1.983193,0.499955,0.000000,1.970259,1.970641
11000,1.959605,0.477526,0.000250,1.953374,1.953117
12000,1.941425,0.463730,0.000500,1.942983,1.942602
13000,1.934773,0.449275,0.000750,1.932426,1.932448
14000,1.936821,0.442826,0.001000,1.911811,1.912317
15000,1.900234,0.434988,0.001250,1.913272,1.911263
16000,1.902787,0.427821,0.001500,1.900132,1.900116
17000,1.890634,0.419674,0.001750,1.880480,1.881656
18000,1.885659,0.413691,0.002000,1.879159,1.879607
19000,1.882893,0.408067,0.002250,1.874443,1.875656
20000,1.875317,0.404342,0.002500,1.861962,1.861351
21000,1.863259,0.393194,0.002750,1.862216,1.861095
22000,1.851702,0.387224,0.003000,1.849706,1.850852
23000,1.858322,0.382893,0.003250,1.844360,1.845048
24000,1.851700,0.375934,0.003500,1.841763,1.840635
25000,1.841000,0.367611,0.003750,1.832989,1.832668
26000,1.846006,0.362131,0.004000,1.835558,1.836054
27000,1.831284,0.352886,0.004250,1.823919,1.822835
28000,1.814686,0.344596,0.004500,1.813606,1.813850
29000,1.820639,0.340482,0.004750,1.810990,1.811410
30000,1.805042,0.333906,0.005000,1.815386,1.815956
31000,1.799745,0.326284,0.005250,1.803371,1.803007
32000,1.803290,0.317008,0.005500,1.796964,1.798192
33000,1.808745,0.311759,0.005750,1.796933,1.797468
34000,1.802236,0.303222,0.006000,1.798453,1.796486
35000,1.808946,0.296852,0.006250,1.791945,1.793047
36000,1.792032,0.287968,0.006500,1.785207,1.787403
37000,1.776246,0.279437,0.006750,1.784883,1.783969
38000,1.769795,0.269867,0.007000,1.778757,1.776495
39000,1.785468,0.259898,0.007250,1.774218,1.774799
40000,1.775084,0.250070,0.007500,1.771412,1.769947
41000,1.771594,0.241730,0.007750,1.768922,1.769714
42000,1.765979,0.232172,0.008000,1.770309,1.769934
43000,1.765256,0.222154,0.008250,1.767728,1.767659
44000,1.771414,0.213028,0.008500,1.766332,1.765943
45000,1.778888,0.204285,0.008750,1.764220,1.763036
46000,1.760971,0.195381,0.009000,1.764158,1.761711
47000,1.772638,0.189906,0.009250,1.761422,1.760009
48000,1.764171,0.182068,0.009500,1.758561,1.759907
49000,1.765465,0.177711,0.009750,1.760255,1.761190
