step,train_loss,val_bpb,T_sel_mean,T_sel_min,T_sel_max
100,4.595008,1.423100,0.245305,0.186309,0.400937
200,4.615989,1.430922,0.132870,0.104228,0.205990
300,4.649634,1.437770,0.072002,0.058309,0.105831
400,4.649679,1.442427,0.039035,0.032620,0.054373
500,4.665804,1.444465,0.021172,0.018249,0.027935
600,4.672656,1.446021,0.011488,0.010209,0.014352
700,4.669282,1.447013,0.006236,0.005711,0.007374
800,4.662666,1.447170,0.003387,0.003195,0.003788
900,4.670094,1.447540,0.001840,0.001788,0.001946
1000,4.663551,1.447440,0.001000,0.001000,0.001000
