step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5
500,7.113376,2.029398,19.775791,19.655830,19.664793,19.674904,19.681843,19.678717,1.009178,1.003056,1.003513,1.004028,1.004382,1.004222,19.722248,19.670389,19.658875,19.661797,19.662106,19.654308
1000,5.910549,1.764272,19.833054,19.685513,19.766829,19.827579,19.878046,19.823795,1.012098,1.004568,1.008712,1.011809,1.014381,1.011618,19.629896,19.710991,19.683372,19.710646,19.744020,19.723093
1500,5.368171,1.614276,19.654417,19.683737,19.891367,20.001802,20.084850,19.959064,1.002979,1.004471,1.015043,1.020675,1.024904,1.018502,19.372807,19.708832,19.622337,19.668348,19.776669,19.778864
2000,5.005927,1.514024,19.272850,19.613459,19.899204,20.035252,20.129898,19.977659,0.983502,1.000871,1.015414,1.022356,1.027171,1.019436,18.937689,19.689213,19.476870,19.563770,19.812943,19.919933
2500,4.774141,1.449519,18.875134,19.517626,19.830956,19.961525,20.058834,19.967039,0.963196,0.995965,1.011904,1.018574,1.023519,1.018883,18.442282,19.661615,19.331377,19.457485,19.917959,20.206604
3000,4.584758,1.393166,18.506693,19.415346,19.727448,19.830564,19.932989,19.948727,0.944380,0.990729,1.006597,1.011876,1.017077,1.017935,17.915640,19.615274,19.180157,19.343605,20.106916,20.658875
3500,4.438060,1.353607,18.176291,19.304804,19.625893,19.710907,19.813351,19.934801,0.927503,0.985067,1.001393,1.005750,1.010951,1.017212,17.409647,19.569851,19.034506,19.240292,20.258596,21.032452
4000,4.351398,1.325009,17.867725,19.198515,19.527712,19.597603,19.686026,19.908865,0.911738,0.979627,0.996352,0.999947,1.004436,1.015873,16.934334,19.528585,18.904043,19.151398,20.361032,21.324564
4500,4.272034,1.303491,17.598886,19.090796,19.429289,19.490736,19.583115,19.883814,0.898000,0.974113,0.991311,0.994474,0.999167,1.014575,16.498650,19.492674,18.780811,19.068516,20.432623,21.556036
5000,4.221536,1.287349,17.348219,18.993196,19.339624,19.380850,19.478062,19.857382,0.885190,0.969113,0.986713,0.988849,0.993795,1.013211,16.101454,19.457199,18.672119,19.000259,20.498360,21.757809
