step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active
0,0.336028,0.332064,0.331908,254.9654,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.9654,0.994844,1.9897,16.0000,0.624648,74.788923,0.500000,+0.124648,1
200,0.590505,0.204670,0.204825,157.2460,2568690,0.27218819,13099,77019,2478572,2568690,0.390746,0.391586,0.392316,-0.002029,0.000005,0.002183,0.000642,1.000000,157.2460,0.798399,1.6023,16.0000,0.467776,0.000000,0.500000,-0.032224,0
400,0.607578,0.196131,0.196291,150.6902,3448708,0.36543825,162162,361939,2924607,1476761,0.388183,0.391237,0.392667,-0.004460,0.000007,0.004153,0.001175,1.000000,150.6902,0.795986,1.6107,16.0000,0.461785,0.000000,0.500000,-0.038215,0
600,0.609717,0.195119,0.195164,149.8687,3917381,0.41510063,280118,527203,3110060,1526965,0.385833,0.391702,0.393874,-0.008562,0.000008,0.009361,0.001620,1.000000,149.8687,0.800665,1.6301,16.0000,0.471291,0.000000,0.500000,-0.028709,0
800,0.608344,0.195867,0.195788,150.3957,4101165,0.43457508,341192,595034,3164939,1502092,0.385224,0.393139,0.396159,-0.011763,0.000016,0.013341,0.002072,1.000000,150.3957,0.783203,1.5869,16.0000,0.471514,0.000000,0.500000,-0.028486,0
1000,0.622005,0.189060,0.188935,145.1502,4185660,0.44352850,340032,573405,3272223,1355406,0.386344,0.395385,0.400525,-0.014891,0.000012,0.019060,0.002525,1.000000,145.1502,0.791457,1.5838,16.0000,0.455729,0.000000,0.500000,-0.044271,0
1200,0.624143,0.187992,0.187866,144.3292,4257330,0.45112291,359435,589450,3308445,1216050,0.388052,0.398281,0.404630,-0.019386,0.000009,0.020878,0.003040,1.000000,144.3292,0.738038,1.4506,16.0000,0.453214,0.000000,0.500000,-0.046786,0
1400,0.606098,0.197027,0.196875,151.2584,4339192,0.45979732,424790,682849,3231553,1257924,0.391003,0.401498,0.408830,-0.024959,-0.000007,0.022163,0.003575,1.000000,151.2584,0.793740,1.5187,16.0000,0.467592,0.000000,0.500000,-0.032408,0
1600,0.598351,0.200945,0.200705,154.2334,4400515,0.46629536,463774,730575,3206166,1299640,0.394273,0.405332,0.413696,-0.027503,0.000004,0.026300,0.004206,1.000000,154.2334,0.772982,1.4210,16.0000,0.469030,0.000000,0.500000,-0.030970,0
1800,0.579274,0.210382,0.210343,161.5587,4467423,0.47338519,528669,821595,3117159,1325685,0.398228,0.408939,0.419033,-0.031212,0.000018,0.034639,0.004831,1.000000,161.5587,0.799542,1.4094,16.0000,0.485442,0.000000,0.500000,-0.014558,0
2000,0.586566,0.206751,0.206683,158.7587,4494173,0.47621971,521117,804340,3168716,1219635,0.400209,0.411670,0.422497,-0.035246,0.000027,0.036081,0.005436,1.000000,158.7587,0.764012,1.2892,16.0000,0.481552,0.000000,0.500000,-0.018448,0
2200,0.606189,0.196863,0.196948,151.2236,4504639,0.47732872,479578,737751,3287310,1049801,0.399534,0.413953,0.428212,-0.037104,0.000016,0.039052,0.005973,1.000000,151.2236,0.751386,1.2094,16.0000,0.461912,0.000000,0.500000,-0.038088,0
2400,0.604650,0.197728,0.197622,151.8143,4540164,0.48109308,493011,756056,3291097,954995,0.397742,0.415846,0.432858,-0.042215,0.000051,0.045320,0.006495,1.000000,151.8143,0.770770,1.1859,16.0000,0.462846,0.000000,0.500000,-0.037154,0
2600,0.591877,0.204052,0.204071,156.7192,4584128,0.48575169,536835,816397,3230896,982055,0.395957,0.417579,0.438686,-0.043002,0.000033,0.043696,0.006955,1.000000,156.7192,0.805046,1.1823,16.0000,0.470707,0.000000,0.500000,-0.029293,0
2800,0.588684,0.205709,0.205607,157.9452,4616447,0.48917633,554492,838793,3223162,975883,0.395881,0.418499,0.444229,-0.051876,0.000057,0.048096,0.007376,1.000000,157.9452,0.750253,1.0523,16.0000,0.473682,0.000000,0.500000,-0.026318,0
3000,0.596295,0.201814,0.201891,155.0226,4633534,0.49098694,542528,817406,3273600,897122,0.394375,0.419410,0.448823,-0.052754,0.000032,0.053689,0.007807,1.000000,155.0226,0.772075,1.0366,16.0000,0.466600,0.000000,0.500000,-0.033400,0
3200,0.583312,0.208369,0.208319,160.0083,4671551,0.49501535,584828,876529,3210194,908357,0.392133,0.420035,0.454825,-0.057257,0.000028,0.057109,0.008180,1.000000,160.0083,0.789871,1.0115,16.0000,0.477609,0.000000,0.500000,-0.022391,0
3400,0.572888,0.213528,0.213584,164.0110,4703443,0.49839476,619741,924203,3159499,928305,0.391277,0.420809,0.459786,-0.061092,0.000009,0.053904,0.008527,1.000000,164.0110,0.802266,0.9827,16.0000,0.484383,0.000000,0.500000,-0.015617,0
3600,0.573871,0.213020,0.213108,163.6333,4722519,0.50041610,623670,927136,3171713,899731,0.390394,0.420998,0.464191,-0.063472,0.000027,0.057187,0.008859,1.000000,163.6333,0.809325,0.9478,16.0000,0.483227,0.000000,0.500000,-0.016773,0
