step,module,touch_frac,c_r_mean,c_r_median,c_r_max,frac_eq1,frac_ge8,frac_ge32,frac_ge64
200,L0.qkv_lut,1.0000,128.00,101,692,0.0000,0.9993,0.9665,0.7866
200,L0.v_lut,0.9900,32.32,21,590,0.0108,0.8480,0.3015,0.0920
200,L0.out_proj,0.3403,94.04,15,3906,0.0451,0.2106,0.1261,0.0897
200,L0.residual_lut,0.3911,327.27,37,5945,0.0400,0.2778,0.2019,0.1685
200,L1.qkv_lut,0.4113,311.21,39,6286,0.0426,0.2858,0.2150,0.1792
200,L1.v_lut,0.1965,162.86,14,6020,0.0319,0.1167,0.0767,0.0595
200,L1.out_proj,0.2307,138.72,6,5751,0.0508,0.1101,0.0655,0.0484
200,L1.residual_lut,0.5081,251.94,18,5524,0.0791,0.3159,0.2173,0.1731
200,L2.qkv_lut,0.5153,248.40,18,6315,0.0724,0.3228,0.2218,0.1735
200,L2.v_lut,0.2714,117.91,7,5912,0.0582,0.1354,0.0800,0.0590
200,L2.out_proj,0.0407,786.04,37,8192,0.0051,0.0276,0.0212,0.0181
200,L2.residual_lut,0.2009,637.04,33,8181,0.0234,0.1289,0.1008,0.0859
200,L3.qkv_lut,0.1834,697.81,37,8113,0.0216,0.1278,0.0947,0.0791
200,L3.v_lut,0.0916,349.21,15,8144,0.0153,0.0544,0.0374,0.0299
200,L3.out_proj,0.0167,1916.96,137,8192,0.0014,0.0131,0.0109,0.0095
200,L3.residual_lut,0.0852,1502.26,165,8192,0.0081,0.0640,0.0547,0.0488
200,L4.qkv_lut,0.0778,1645.26,176,8192,0.0085,0.0594,0.0492,0.0459
200,L4.v_lut,0.0360,889.13,38,8192,0.0042,0.0248,0.0187,0.0162
200,L4.out_proj,0.0161,1982.19,329,8192,0.0010,0.0132,0.0116,0.0106
200,L4.residual_lut,0.1289,992.97,112,8173,0.0112,0.0967,0.0798,0.0725
200,L5.qkv_lut,0.1136,1126.69,99,8176,0.0109,0.0876,0.0723,0.0635
200,L5.v_lut,0.0500,640.16,38,8192,0.0059,0.0342,0.0262,0.0226
200,L5.out_proj,0.0200,1600.88,284,8192,0.0013,0.0164,0.0144,0.0130
200,L5.residual_lut,0.1448,884.13,87,8158,0.0142,0.1094,0.0886,0.0769
400,L0.qkv_lut,1.0000,128.00,101,681,0.0000,0.9993,0.9660,0.7793
400,L0.v_lut,0.9898,32.33,21,592,0.0110,0.8494,0.2979,0.0922
400,L0.out_proj,0.3893,82.19,14,3198,0.0576,0.2333,0.1423,0.1003
400,L0.residual_lut,0.5605,228.35,43,4412,0.0542,0.4102,0.3059,0.2451
400,L1.qkv_lut,0.5838,219.25,44,4937,0.0535,0.4238,0.3187,0.2598
400,L1.v_lut,0.3121,102.54,14,4329,0.0481,0.1858,0.1182,0.0857
400,L1.out_proj,0.5455,58.66,10,3650,0.0844,0.3055,0.1666,0.1084
400,L1.residual_lut,0.8547,149.75,43,2802,0.0581,0.6577,0.4709,0.3633
400,L2.qkv_lut,0.8626,148.38,44,3223,0.0509,0.6838,0.4847,0.3726
400,L2.v_lut,0.5786,55.31,11,2224,0.0896,0.3260,0.1774,0.1165
400,L2.out_proj,0.3111,102.87,9,6136,0.0558,0.1636,0.0932,0.0652
400,L2.residual_lut,0.8687,147.35,50,2316,0.0359,0.7083,0.5161,0.3899
400,L3.qkv_lut,0.8688,147.33,48,2801,0.0330,0.7181,0.5181,0.3818
400,L3.v_lut,0.6382,50.14,11,2821,0.0848,0.3633,0.1845,0.1156
400,L3.out_proj,0.0370,865.16,96,8190,0.0034,0.0276,0.0226,0.0202
400,L3.residual_lut,0.4348,294.38,52,6915,0.0378,0.3225,0.2488,0.2046
400,L4.qkv_lut,0.4510,283.81,41,6771,0.0448,0.3289,0.2428,0.1937
400,L4.v_lut,0.2421,132.16,14,5778,0.0377,0.1446,0.0921,0.0685
400,L4.out_proj,0.0214,1497.97,361,8192,0.0010,0.0182,0.0157,0.0142
400,L4.residual_lut,0.3770,339.56,30,6179,0.0374,0.2637,0.1870,0.1528
400,L5.qkv_lut,0.3901,328.09,37,7746,0.0365,0.2819,0.2026,0.1670
400,L5.v_lut,0.2039,156.93,14,7311,0.0310,0.1223,0.0771,0.0582
400,L5.out_proj,0.0517,619.36,66,8166,0.0053,0.0380,0.0297,0.0260
400,L5.residual_lut,0.2778,460.71,41,8125,0.0256,0.1938,0.1475,0.1240
600,L0.qkv_lut,1.0000,128.00,100,785,0.0000,0.9993,0.9647,0.7708
600,L0.v_lut,0.9901,32.32,20,626,0.0119,0.8469,0.2953,0.0923
600,L0.out_proj,0.3743,85.50,15,2843,0.0543,0.2303,0.1409,0.0986
600,L0.residual_lut,0.6277,203.92,46,4018,0.0513,0.4768,0.3533,0.2810
600,L1.qkv_lut,0.6540,195.73,44,4457,0.0544,0.4943,0.3612,0.2866
600,L1.v_lut,0.3592,89.10,15,3703,0.0532,0.2210,0.1367,0.0971
600,L1.out_proj,0.6258,51.13,11,3417,0.0899,0.3607,0.1932,0.1227
600,L1.residual_lut,0.8999,142.24,47,2658,0.0420,0.7246,0.5242,0.4006
600,L2.qkv_lut,0.9118,140.38,50,2688,0.0343,0.7464,0.5433,0.4110
600,L2.v_lut,0.6549,48.86,11,2177,0.0896,0.3801,0.2013,0.1254
600,L2.out_proj,0.3848,83.16,9,5570,0.0683,0.2019,0.1072,0.0742
600,L2.residual_lut,0.9055,141.36,60,2341,0.0222,0.7891,0.5840,0.4385
