step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500432,0.500495,0.499323,0.499338,0.496898,0.496830,0.499792,0.498530,0.499101,0.499130,0.499516,0.498963,0.499566,0.499418,0.499587,0.499592,0.502925,0.502759,0.498976,0.498928,0.499277,0.499288,0.503111,0.502961,0.500143,0.499900,0.500191,0.499950,0.503222,0.503092,0.500137,0.499948,0.500555,0.500312,0.503219,0.503130
400,0.506567,0.506780,0.499374,0.499664,0.488011,0.487519,0.505303,0.495564,0.495153,0.494448,0.493711,0.491564,0.500175,0.497797,0.497837,0.497754,0.509631,0.508180,0.498225,0.497274,0.498547,0.498016,0.512888,0.510886,0.497666,0.494326,0.497513,0.494088,0.512483,0.510873,0.495515,0.493515,0.496587,0.494155,0.512752,0.512266
600,0.518830,0.519168,0.501930,0.502993,0.476221,0.474704,0.518338,0.493420,0.486556,0.483390,0.484965,0.480161,0.504679,0.496210,0.493400,0.493134,0.515103,0.510098,0.501051,0.497012,0.503254,0.499774,0.528320,0.517260,0.496902,0.484061,0.498153,0.484033,0.528459,0.523274,0.498100,0.484737,0.498092,0.484513,0.529018,0.527286
800,0.530159,0.530670,0.498211,0.500308,0.462779,0.459608,0.537089,0.491286,0.474714,0.466242,0.474577,0.466315,0.511929,0.494804,0.487242,0.486584,0.518489,0.508590,0.502361,0.496359,0.507660,0.502931,0.544152,0.523735,0.496930,0.474789,0.498386,0.474792,0.546448,0.537793,0.503092,0.477432,0.503360,0.476048,0.545583,0.544349
1000,0.534010,0.534474,0.485062,0.487828,0.447967,0.442460,0.560101,0.488691,0.463023,0.446133,0.463699,0.450611,0.522539,0.493506,0.480208,0.478550,0.520285,0.504149,0.505026,0.496115,0.512204,0.506483,0.563652,0.538630,0.492741,0.466596,0.495877,0.466521,0.564496,0.550041,0.505468,0.469687,0.507113,0.469239,0.559386,0.551956
1200,0.530703,0.530778,0.466589,0.469563,0.435387,0.426911,0.584077,0.482642,0.456698,0.426808,0.454935,0.436148,0.537668,0.492773,0.473852,0.470210,0.520788,0.497255,0.508423,0.495325,0.514837,0.507966,0.581126,0.553137,0.484789,0.459504,0.488194,0.460049,0.580539,0.559000,0.508161,0.463309,0.510330,0.462742,0.572510,0.556523
1400,0.519390,0.519042,0.446996,0.449976,0.423241,0.410747,0.607309,0.477020,0.458345,0.409454,0.449109,0.422155,0.553415,0.491491,0.467711,0.461550,0.521266,0.490497,0.509408,0.493202,0.515393,0.507843,0.602359,0.572436,0.488759,0.453880,0.491936,0.454168,0.600582,0.566195,0.513413,0.457566,0.514455,0.454709,0.583674,0.558922
1600,0.505009,0.504186,0.427270,0.430153,0.414026,0.396237,0.630712,0.471163,0.466132,0.394943,0.447321,0.409590,0.570809,0.489184,0.460966,0.451162,0.522082,0.483292,0.509485,0.489989,0.514342,0.506154,0.620651,0.588692,0.494228,0.450986,0.500055,0.451358,0.620091,0.573486,0.515940,0.450499,0.517225,0.447492,0.592885,0.560911
1800,0.491452,0.490156,0.408147,0.410951,0.407113,0.382979,0.652094,0.465037,0.479672,0.381827,0.447595,0.398112,0.588815,0.487654,0.456099,0.441723,0.522325,0.476541,0.509364,0.487889,0.512310,0.503751,0.630409,0.599354,0.500621,0.446239,0.509184,0.446567,0.636250,0.578030,0.522321,0.443394,0.524051,0.440494,0.601311,0.562501
