step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.500052,0.500117,0.497587,0.497591,0.496848,0.496774,0.498442,0.497827,0.498592,0.498626,0.499501,0.499459,0.499349,0.499404,0.499721,0.499777,0.503159,0.503058,0.500926,0.500992,0.500934,0.501006,0.503279,0.503125,0.501022,0.501082,0.501113,0.501106,0.503310,0.503233,0.501179,0.501187,0.500990,0.501012,0.503217,0.503140
400,0.503371,0.503637,0.494575,0.494769,0.487967,0.487610,0.497934,0.491998,0.494001,0.494037,0.493879,0.492538,0.498401,0.495936,0.496973,0.497263,0.509351,0.508325,0.503070,0.502684,0.503271,0.503133,0.512177,0.510206,0.504068,0.503138,0.504016,0.503028,0.512344,0.511630,0.503704,0.503242,0.504081,0.503470,0.511940,0.510967
600,0.508742,0.509279,0.492301,0.493128,0.477060,0.476019,0.501585,0.485149,0.486976,0.486909,0.485806,0.482276,0.499357,0.488738,0.487388,0.487677,0.513132,0.510322,0.505387,0.504001,0.506493,0.505447,0.526897,0.518514,0.508141,0.502080,0.508432,0.502647,0.527711,0.525163,0.508924,0.506482,0.509716,0.507157,0.526976,0.524822
800,0.512127,0.512855,0.486198,0.487657,0.462765,0.460660,0.513092,0.476577,0.476245,0.475707,0.475539,0.468870,0.506998,0.482650,0.474179,0.474211,0.515091,0.508503,0.506684,0.504253,0.507188,0.506197,0.543624,0.533289,0.511809,0.500773,0.513406,0.503074,0.545386,0.540407,0.514490,0.508462,0.514627,0.508856,0.543055,0.540649
1000,0.509343,0.509965,0.473371,0.475174,0.447415,0.443613,0.529628,0.467813,0.464309,0.461767,0.464856,0.453983,0.518487,0.478534,0.462667,0.461102,0.515980,0.503641,0.505425,0.502253,0.506588,0.505748,0.555375,0.543709,0.514795,0.500827,0.517545,0.503743,0.555689,0.548506,0.517136,0.508144,0.517223,0.509182,0.554761,0.548237
1200,0.501219,0.501585,0.457425,0.459329,0.433893,0.427690,0.545805,0.458561,0.451608,0.446456,0.456514,0.440082,0.532305,0.474041,0.451348,0.447228,0.516587,0.498240,0.503106,0.497635,0.504019,0.502705,0.566377,0.551670,0.516436,0.499840,0.520456,0.504046,0.565893,0.552174,0.518869,0.506592,0.518642,0.507495,0.564788,0.553708
1400,0.489096,0.489163,0.442117,0.444026,0.420843,0.411645,0.564267,0.449378,0.441644,0.431242,0.449480,0.426714,0.545603,0.468954,0.443574,0.436523,0.516546,0.492889,0.500268,0.493072,0.500975,0.499593,0.575054,0.556602,0.518428,0.498392,0.522937,0.504154,0.575702,0.554725,0.522458,0.507268,0.522585,0.508294,0.570783,0.556454
1600,0.473988,0.473584,0.423639,0.425457,0.411935,0.397729,0.585004,0.440647,0.436003,0.416218,0.447456,0.414957,0.561629,0.463670,0.436976,0.424573,0.517586,0.488334,0.496411,0.487861,0.498809,0.497567,0.581853,0.560866,0.517346,0.495915,0.524342,0.505012,0.578638,0.556702,0.525562,0.509146,0.525119,0.510243,0.573966,0.558521
1800,0.459393,0.458623,0.406867,0.408611,0.402790,0.384198,0.604319,0.430912,0.433093,0.402379,0.443287,0.402397,0.578119,0.459369,0.431991,0.414036,0.517102,0.482465,0.493171,0.482461,0.495912,0.494656,0.589770,0.565090,0.518178,0.493865,0.525792,0.504337,0.587421,0.559548,0.526628,0.507866,0.527906,0.509758,0.579880,0.560847
