step,module,frac_anchors_changed_vs_init
200,L0.qk_lut,0.000814
200,L0.v_lut,0.000694
200,L0.out_proj,0.000163
200,L0.residual_lut,0.000977
200,L1.qk_lut,0.000326
200,L1.v_lut,0.000304
200,L1.out_proj,0.000407
200,L1.residual_lut,0.000000
200,L2.qk_lut,0.000814
200,L2.v_lut,0.000217
200,L2.out_proj,0.000488
200,L2.residual_lut,0.000651
200,L3.qk_lut,0.000651
200,L3.v_lut,0.000391
200,L3.out_proj,0.000326
200,L3.residual_lut,0.000977
200,L4.qk_lut,0.000488
200,L4.v_lut,0.000260
200,L4.out_proj,0.000488
200,L4.residual_lut,0.000326
200,L5.qk_lut,0.000326
200,L5.v_lut,0.000260
200,L5.out_proj,0.000488
200,L5.residual_lut,0.000651
400,L0.qk_lut,0.002035
400,L0.v_lut,0.001780
400,L0.out_proj,0.000651
400,L0.residual_lut,0.000651
400,L1.qk_lut,0.001953
400,L1.v_lut,0.001432
400,L1.out_proj,0.001872
400,L1.residual_lut,0.001302
400,L2.qk_lut,0.002279
400,L2.v_lut,0.001215
400,L2.out_proj,0.001302
400,L2.residual_lut,0.000977
400,L3.qk_lut,0.001546
400,L3.v_lut,0.001476
400,L3.out_proj,0.001790
400,L3.residual_lut,0.001302
400,L4.qk_lut,0.002279
400,L4.v_lut,0.001128
400,L4.out_proj,0.001221
400,L4.residual_lut,0.002279
400,L5.qk_lut,0.001302
400,L5.v_lut,0.001302
400,L5.out_proj,0.000651
400,L5.residual_lut,0.002279
600,L0.qk_lut,0.002930
600,L0.v_lut,0.002865
600,L0.out_proj,0.001058
600,L0.residual_lut,0.001628
600,L1.qk_lut,0.003743
600,L1.v_lut,0.002778
600,L1.out_proj,0.004557
600,L1.residual_lut,0.001628
600,L2.qk_lut,0.003174
600,L2.v_lut,0.002474
600,L2.out_proj,0.001872
600,L2.residual_lut,0.001628
600,L3.qk_lut,0.003092
600,L3.v_lut,0.003082
600,L3.out_proj,0.002523
600,L3.residual_lut,0.002279
600,L4.qk_lut,0.003499
600,L4.v_lut,0.002821
600,L4.out_proj,0.002197
600,L4.residual_lut,0.002279
600,L5.qk_lut,0.002360
600,L5.v_lut,0.002431
600,L5.out_proj,0.003662
600,L5.residual_lut,0.002930
800,L0.qk_lut,0.004069
800,L0.v_lut,0.004036
800,L0.out_proj,0.001709
800,L0.residual_lut,0.002930
800,L1.qk_lut,0.005534
800,L1.v_lut,0.004080
800,L1.out_proj,0.005290
800,L1.residual_lut,0.004557
800,L2.qk_lut,0.005046
800,L2.v_lut,0.004253
800,L2.out_proj,0.003988
800,L2.residual_lut,0.002604
800,L3.qk_lut,0.004964
800,L3.v_lut,0.004470
800,L3.out_proj,0.004639
800,L3.residual_lut,0.004883
800,L4.qk_lut,0.006022
800,L4.v_lut,0.004297
800,L4.out_proj,0.004639
800,L4.residual_lut,0.006185
800,L5.qk_lut,0.003988
800,L5.v_lut,0.004340
800,L5.out_proj,0.004964
800,L5.residual_lut,0.003906
1000,L0.qk_lut,0.005941
1000,L0.v_lut,0.005512
1000,L0.out_proj,0.002686
1000,L0.residual_lut,0.002604
1000,L1.qk_lut,0.006429
1000,L1.v_lut,0.006163
1000,L1.out_proj,0.006510
1000,L1.residual_lut,0.003255
1000,L2.qk_lut,0.006917
1000,L2.v_lut,0.006033
1000,L2.out_proj,0.005127
1000,L2.residual_lut,0.004232
1000,L3.qk_lut,0.006673
1000,L3.v_lut,0.006033
1000,L3.out_proj,0.006510
1000,L3.residual_lut,0.002930
1000,L4.qk_lut,0.006917
1000,L4.v_lut,0.005990
1000,L4.out_proj,0.006022
1000,L4.residual_lut,0.002604
1000,L5.qk_lut,0.006673
1000,L5.v_lut,0.005339
1000,L5.out_proj,0.007812
1000,L5.residual_lut,0.006836
1200,L0.qk_lut,0.006917
1200,L0.v_lut,0.006163
1200,L0.out_proj,0.003988
1200,L0.residual_lut,0.003906
1200,L1.qk_lut,0.008626
1200,L1.v_lut,0.007552
1200,L1.out_proj,0.008545
1200,L1.residual_lut,0.005534
1200,L2.qk_lut,0.007975
1200,L2.v_lut,0.007639
1200,L2.out_proj,0.006917
1200,L2.residual_lut,0.005208
1200,L3.qk_lut,0.007975
1200,L3.v_lut,0.007335
1200,L3.out_proj,0.007812
1200,L3.residual_lut,0.004557
1200,L4.qk_lut,0.008382
1200,L4.v_lut,0.007812
1200,L4.out_proj,0.008057
1200,L4.residual_lut,0.005208
1200,L5.qk_lut,0.008952
1200,L5.v_lut,0.007205
1200,L5.out_proj,0.008952
1200,L5.residual_lut,0.004883
1400,L0.qk_lut,0.007731
1400,L0.v_lut,0.006684
1400,L0.out_proj,0.004150
1400,L0.residual_lut,0.003906
1400,L1.qk_lut,0.009196
1400,L1.v_lut,0.008377
1400,L1.out_proj,0.010498
1400,L1.residual_lut,0.006510
1400,L2.qk_lut,0.009196
1400,L2.v_lut,0.008767
1400,L2.out_proj,0.008626
1400,L2.residual_lut,0.004557
1400,L3.qk_lut,0.008545
1400,L3.v_lut,0.008290
1400,L3.out_proj,0.009277
1400,L3.residual_lut,0.006185
1400,L4.qk_lut,0.008870
1400,L4.v_lut,0.007856
1400,L4.out_proj,0.009196
1400,L4.residual_lut,0.004883
1400,L5.qk_lut,0.009196
1400,L5.v_lut,0.009201
1400,L5.out_proj,0.010417
1400,L5.residual_lut,0.005859
