step,L0.qk_lut.T_anchor,L0.qk_lut.T_sign,L0.qk_lut.T_sel,L0.v_lut.T_anchor,L0.v_lut.T_sign,L0.v_lut.T_sel,L0.out_proj.T_anchor,L0.out_proj.T_sign,L0.out_proj.T_sel,L0.residual_lut.T_anchor,L0.residual_lut.T_sign,L0.residual_lut.T_sel,L1.qk_lut.T_anchor,L1.qk_lut.T_sign,L1.qk_lut.T_sel,L1.v_lut.T_anchor,L1.v_lut.T_sign,L1.v_lut.T_sel,L1.out_proj.T_anchor,L1.out_proj.T_sign,L1.out_proj.T_sel,L1.residual_lut.T_anchor,L1.residual_lut.T_sign,L1.residual_lut.T_sel,L2.qk_lut.T_anchor,L2.qk_lut.T_sign,L2.qk_lut.T_sel,L2.v_lut.T_anchor,L2.v_lut.T_sign,L2.v_lut.T_sel,L2.out_proj.T_anchor,L2.out_proj.T_sign,L2.out_proj.T_sel,L2.residual_lut.T_anchor,L2.residual_lut.T_sign,L2.residual_lut.T_sel,L3.qk_lut.T_anchor,L3.qk_lut.T_sign,L3.qk_lut.T_sel,L3.v_lut.T_anchor,L3.v_lut.T_sign,L3.v_lut.T_sel,L3.out_proj.T_anchor,L3.out_proj.T_sign,L3.out_proj.T_sel,L3.residual_lut.T_anchor,L3.residual_lut.T_sign,L3.residual_lut.T_sel,L4.qk_lut.T_anchor,L4.qk_lut.T_sign,L4.qk_lut.T_sel,L4.v_lut.T_anchor,L4.v_lut.T_sign,L4.v_lut.T_sel,L4.out_proj.T_anchor,L4.out_proj.T_sign,L4.out_proj.T_sel,L4.residual_lut.T_anchor,L4.residual_lut.T_sign,L4.residual_lut.T_sel,L5.qk_lut.T_anchor,L5.qk_lut.T_sign,L5.qk_lut.T_sel,L5.v_lut.T_anchor,L5.v_lut.T_sign,L5.v_lut.T_sel,L5.out_proj.T_anchor,L5.out_proj.T_sign,L5.out_proj.T_sel,L5.residual_lut.T_anchor,L5.residual_lut.T_sign,L5.residual_lut.T_sel
0,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000
200,0.998298,0.498101,0.498460,0.996656,0.497975,0.498029,0.997045,0.498556,0.498444,0.997295,0.498169,0.497948,0.999253,0.499945,0.499396,0.999043,0.499454,0.499463,1.000946,0.500474,0.500443,0.997899,0.499092,0.498670,1.001389,0.501173,0.500360,0.998667,0.498652,0.498600,0.999536,0.499789,0.499699,0.998842,0.499451,0.499014,1.000633,0.499434,0.499176,0.999853,0.499695,0.499689,1.001060,0.500546,0.500525,1.001117,0.500291,0.499851,1.000201,0.499832,0.499568,0.998771,0.499404,0.499416,1.000358,0.500167,0.500163,1.000657,0.500722,0.500322,0.999255,0.499749,0.499636,0.999033,0.499226,0.499277,1.000083,0.500056,0.500073,1.000798,0.500557,0.500264
400,0.993338,0.492317,0.494453,0.980614,0.488876,0.489418,0.978660,0.489261,0.488960,0.987452,0.492024,0.491327,1.001187,0.501703,0.499007,0.994706,0.496038,0.495808,1.005132,0.502449,0.501592,0.995516,0.496245,0.494420,1.005304,0.506798,0.503228,0.993735,0.493829,0.492806,0.994903,0.497186,0.496454,0.993848,0.496797,0.494778,0.999818,0.499733,0.498294,0.995651,0.498320,0.498350,1.007691,0.504002,0.503534,1.002962,0.501563,0.498780,1.000129,0.500958,0.498722,0.995800,0.498299,0.498164,1.002212,0.501014,0.500661,1.005593,0.504324,0.501836,0.998186,0.500827,0.499925,0.998696,0.498861,0.498873,1.003001,0.501429,0.501237,1.006764,0.503702,0.502169
600,0.988404,0.482512,0.487693,0.956799,0.473562,0.475032,0.949438,0.474237,0.473530,0.973953,0.484343,0.481955,1.004597,0.504567,0.496353,0.983326,0.486365,0.485078,1.013294,0.507173,0.502614,0.991109,0.494038,0.487986,1.014853,0.516232,0.506022,0.985379,0.485356,0.481593,0.985744,0.491359,0.489009,0.992510,0.493866,0.486900,0.996577,0.500592,0.495347,0.988568,0.491533,0.490940,1.019232,0.509620,0.506972,1.003972,0.503841,0.494852,1.007186,0.506345,0.496742,0.986671,0.493710,0.492299,1.001619,0.500599,0.499019,1.013393,0.510358,0.501880,1.002458,0.505130,0.500752,0.995791,0.496352,0.496177,1.003885,0.502129,0.500756,1.014785,0.509082,0.504377
800,0.977390,0.472049,0.480208,0.928027,0.453119,0.455577,0.917695,0.456471,0.454032,0.962570,0.478729,0.471445,1.008119,0.509292,0.492308,0.967074,0.472336,0.468962,1.028633,0.515395,0.502181,0.989696,0.495042,0.479848,1.023113,0.529549,0.508454,0.980960,0.475536,0.465845,0.975399,0.485638,0.478551,0.992238,0.495602,0.476839,0.996974,0.504605,0.492024,0.979125,0.478598,0.475819,1.037825,0.520079,0.512294,1.006764,0.511847,0.489076,1.012909,0.517006,0.494358,0.974537,0.485370,0.480790,0.997383,0.499116,0.494895,1.024331,0.520711,0.500573,1.004798,0.510953,0.501098,0.989535,0.489309,0.488721,0.994592,0.501532,0.497990,1.023311,0.517344,0.506330
1000,0.966375,0.463080,0.472779,0.902186,0.432764,0.435922,0.902211,0.448325,0.437129,0.957472,0.477235,0.460431,1.004985,0.513410,0.487080,0.961331,0.462167,0.454281,1.047601,0.528407,0.502919,0.997702,0.502947,0.473026,1.035315,0.543944,0.509417,0.980706,0.468671,0.448817,0.977242,0.484654,0.467460,0.997493,0.506253,0.467752,0.998036,0.510270,0.486603,0.977155,0.465304,0.458385,1.052364,0.529519,0.514110,1.014068,0.523994,0.482309,1.024825,0.529740,0.492165,0.966711,0.474671,0.464610,0.999725,0.498089,0.488782,1.035211,0.535721,0.497574,1.003949,0.517908,0.501812,0.984626,0.481603,0.479365,0.981377,0.498884,0.491496,1.033002,0.529001,0.507168
1200,0.957824,0.455966,0.466632,0.881888,0.415093,0.417996,0.901856,0.453728,0.424068,0.950564,0.477799,0.450134,1.003687,0.519743,0.483411,0.959461,0.455741,0.441254,1.066942,0.544987,0.504005,1.005404,0.514310,0.466591,1.042263,0.559738,0.509494,0.981646,0.470512,0.436383,0.976284,0.493290,0.460364,1.008411,0.522755,0.461523,0.991892,0.518200,0.482168,0.970027,0.454401,0.442008,1.065634,0.541504,0.514240,1.020461,0.540438,0.475983,1.024067,0.545122,0.489150,0.961992,0.468956,0.450160,0.995854,0.497043,0.481563,1.045149,0.551198,0.492926,1.002513,0.525316,0.501524,0.975765,0.474436,0.470574,0.974835,0.497927,0.486085,1.045916,0.540923,0.506383
1400,0.949253,0.449763,0.460768,0.861893,0.400002,0.401561,0.906627,0.470608,0.417570,0.948848,0.480969,0.440242,1.005357,0.526408,0.479474,0.952290,0.454910,0.430206,1.088273,0.566062,0.506305,1.016746,0.526893,0.460396,1.043814,0.574274,0.508105,0.984816,0.475853,0.424667,0.979592,0.506582,0.453235,1.016805,0.541544,0.456309,0.992894,0.528057,0.476764,0.961903,0.447532,0.426853,1.069191,0.549080,0.509889,1.024346,0.558022,0.469120,1.031372,0.562987,0.487500,0.967334,0.467041,0.436736,0.999380,0.498949,0.474866,1.056855,0.568428,0.487640,1.008629,0.534661,0.501323,0.964245,0.465399,0.458995,0.962894,0.495187,0.478213,1.058700,0.553966,0.504542
