layer,step,mse
0,1,0.99938095
0,50,0.78646708
0,100,0.65349698
0,150,0.56541598
0,200,0.50557852
0,250,0.45974606
0,300,0.42838049
0,350,0.40440339
0,400,0.38608095
0,450,0.37173659
0,500,0.35882229
1,1,1.00047743
1,50,0.78764951
1,100,0.65155095
1,150,0.56113589
1,200,0.50208318
1,250,0.45614809
1,300,0.42712837
1,350,0.40267596
1,400,0.38596654
1,450,0.37010479
1,500,0.35941824
2,1,0.99922603
2,50,0.78566998
2,100,0.65114045
2,150,0.56435174
2,200,0.50484252
2,250,0.46375760
2,300,0.43082699
2,350,0.40575513
2,400,0.38758263
2,450,0.37357962
2,500,0.36160201
3,1,0.99949282
3,50,0.78602123
3,100,0.65159142
3,150,0.56221449
3,200,0.50253618
3,250,0.45899266
3,300,0.42914531
3,350,0.40473610
3,400,0.38748059
3,450,0.37192243
3,500,0.36146319
4,1,1.00023007
4,50,0.78750038
4,100,0.65142250
4,150,0.56258965
4,200,0.50206387
4,250,0.45850620
4,300,0.42825148
4,350,0.40290904
4,400,0.38564882
4,450,0.37174410
4,500,0.36082396
5,1,1.00189781
5,50,0.78740060
5,100,0.65254736
5,150,0.56702608
5,200,0.50755680
5,250,0.46354720
5,300,0.43106562
5,350,0.40633619
5,400,0.38902777
5,450,0.37356979
5,500,0.36276600
