#{"t_start": 1785187542.2314014, "env_id": "Walker2d-v5"}
r,l,t
3.352582,14,0.51146
-0.406396,25,0.515041
-2.857039,11,0.516538
8.489385,19,0.519215
-2.518229,31,0.523709
4.801576,20,0.526528
8.229485,31,0.530316
4.847965,30,0.534462
9.159385,30,0.539078
22.25252,38,0.543972
-3.445269,12,0.545546
-0.776627,14,0.54733
-5.218413,11,0.549283
6.823859,29,0.553062
-2.725447,16,0.555067
10.633253,26,0.558377
-1.807475,10,0.559993
1.198435,32,0.564051
4.540582,19,0.566428
1.856973,16,0.568491
8.428492,36,0.573323
-1.126977,9,0.574471
1.869377,16,0.576537
-0.082835,18,0.578905
-3.644038,10,0.580463
-1.589131,14,0.582331
-1.761583,13,0.584073
9.946865,33,0.588395
-5.601093,13,0.590435
-0.69936,11,0.591899
10.153195,26,0.595339
-3.947459,12,0.596903
6.080961,23,0.600137
1.745445,23,0.603137
4.061473,20,0.605694
49.204044,64,0.613829
5.275407,32,0.618284
-1.965629,24,0.621439
-3.875079,16,0.623559
-5.172735,21,0.626241
6.430805,23,0.629449
-4.309873,25,0.632496
-1.172824,14,0.634214
3.752536,26,0.63745
7.355377,38,0.642602
2.333578,30,0.646312
-2.559632,13,0.64811
2.5202,24,0.651156
20.815278,31,0.655389
0.430132,14,0.657406
3.551405,25,0.660699
-6.444161,22,0.663619
31.802708,46,0.670069
2.04823,24,0.673268
-5.460731,14,0.675249
1.955475,15,0.677266
-3.33345,9,0.678804
-1.549912,15,0.680813
6.381968,25,0.684126
4.744334,16,0.686354
-0.144968,21,0.689553
-0.992593,24,0.692772
6.264029,25,0.696202
4.903493,18,0.69859
0.04606,27,0.702446
-10.420225,25,0.705736
-0.36516,16,0.707809
-5.109581,16,0.709816
12.772908,34,0.714413
-0.748597,24,0.717525
2.387754,17,0.719737
0.893632,20,0.722231
-3.776874,9,0.723976
3.130865,23,0.72702
-3.174312,14,0.728829
12.536698,37,0.73365
-1.138312,12,0.735772
1.094472,13,0.737512
2.63353,21,0.740352
2.908315,19,0.742739
-1.773809,11,0.744514
2.286397,22,0.747367
0.923847,17,0.749538
-2.172982,34,0.75387
3.614867,18,0.756507
1.800357,22,0.759373
3.919979,15,0.761315
-2.474535,15,0.763348
4.939106,20,0.766238
13.837088,23,0.769378
0.635472,17,0.771608
-4.45626,17,0.773918
7.048646,30,0.778255
-1.632203,19,0.780894
3.47271,17,0.783478
5.843927,17,0.785933
12.153632,25,0.789651
-1.055761,18,0.792063
2.518096,39,0.797246
6.865572,23,0.800363
3.698294,22,0.80365
-3.74475,10,0.804965
-4.621941,9,0.806203
-4.181113,12,0.807742
-1.911586,35,0.812553
3.391064,31,0.816555
2.466005,13,0.818228
6.587747,19,0.820676
9.248761,29,0.824771
-1.703854,10,0.826164
1.637914,24,0.829412
-0.128832,12,0.831076
11.32701,44,0.837177
11.932547,29,0.84096
3.024569,20,0.843543
6.717754,31,0.84763
-3.015849,19,0.850422
-1.563656,12,0.851928
-1.768172,19,0.854429
12.253942,32,0.858727
-2.134176,12,0.860619
2.409735,16,0.862752
1.535749,15,0.864663
-7.625065,36,0.86915
-3.887981,13,0.871422
3.236178,22,0.874401
-2.699672,17,0.876666
8.356825,48,0.883105
-0.26343,28,0.887249
2.566285,19,0.889793
-0.122239,12,0.891402
-2.980507,26,0.894703
2.736834,27,0.8987
-1.904228,17,0.90093
-7.226992,13,0.902624
6.788092,21,0.905329
-0.919553,22,0.909017
2.496465,19,0.911548
6.842331,30,0.915466
8.862894,23,0.918415
2.1951,14,0.920789
0.012925,12,0.922432
-2.904186,24,0.925556
-0.808797,14,0.927547
5.277782,19,0.93037
-4.089949,22,0.933328
-1.733099,17,0.935542
1.916387,34,0.939889
6.397523,22,0.943142
-2.05502,18,0.945653
11.179549,41,0.951074
-3.843422,16,0.953302
17.174488,47,0.959949
6.220381,26,0.963453
-1.033096,27,0.967112
-2.49926,10,0.968465
1.27358,19,0.971245
8.768459,22,0.974092
-10.627235,27,0.977678
6.272965,24,0.980854
4.555524,44,0.986868
21.381962,59,0.994217
-3.39941,23,0.997127
2.300069,17,0.999332
-0.322741,30,1.003479
-2.930968,18,1.005893
-0.044598,19,1.008384
2.802159,26,1.011847
11.504263,34,1.016486
-3.891942,22,1.019238
7.20286,24,1.022336
-3.532014,11,1.023788
7.543324,24,1.027231
1.941037,22,1.03006
-1.232772,12,1.031648
4.557172,37,1.036671
-0.800024,13,1.038692
-5.09746,18,1.041058
-7.521369,16,1.043173
-4.660386,26,1.046627
-0.455292,18,1.049272
-6.259236,24,1.052484
-1.576611,17,1.054813
0.702135,13,1.056559
-1.118832,12,1.058292
5.370518,16,1.06033
4.750583,15,1.062214
-0.078061,13,1.063834
0.040935,27,1.067405
2.365413,25,1.070616
-2.193267,8,1.071672
-5.093046,21,1.074378
-1.431166,23,1.077494
-2.652942,13,1.079107
-1.417105,17,1.081258
-0.990952,15,1.083174
3.504609,32,1.087529
-0.748952,16,1.089575
-0.964123,27,1.092961
-5.820556,19,1.095275
-0.374639,15,1.097439
1.286814,20,1.100034
5.17182,17,1.102269
4.841902,22,1.105104
7.7808,27,1.108933
9.062691,23,1.112004
6.455082,27,1.115385
7.381185,23,1.118405
0.69031,12,1.120479
-4.601554,17,1.12272
19.373282,37,1.127943
-3.165911,10,1.129138
9.506011,25,1.133107
-1.277799,30,1.137062
19.489353,50,1.143327
8.916457,23,1.146265
-1.93988,10,1.14818
-0.252607,24,1.151275
-3.433155,36,1.155957
-1.112476,20,1.158566
-4.015495,18,1.161482
10.402882,33,1.165783
0.247448,15,1.167799
-3.255624,16,1.169834
2.265165,18,1.17241
3.881145,24,1.175541
1.218515,15,1.177515
-3.194958,12,1.179133
0.861402,29,1.183511
0.666565,12,1.185041
8.753627,28,1.188614
-6.330734,25,1.191814
-1.510667,30,1.196014
8.781488,30,1.199841
1.28186,24,1.202904
24.789408,57,1.210217
6.804386,27,1.214068
6.183341,25,1.217274
-8.771747,23,1.220294
1.004338,24,1.223438
0.739199,21,1.226494
-0.530657,14,1.228222
-5.597756,11,1.229607
-1.075763,20,1.232164
-3.040174,19,1.235218
20.186152,40,1.240453
-0.036388,20,1.242923
7.407074,27,1.246464
1.563738,16,1.249213
-0.771613,19,1.251647
10.715674,30,1.255631
6.647196,20,1.258197
-0.917089,15,1.260696
6.161133,21,1.26347
-4.535337,25,1.266625
10.716254,43,1.272093
3.53117,22,1.275199
34.883744,61,1.283202
-4.949693,25,1.286374
11.266142,49,1.292704
3.228659,24,1.296472
12.668033,28,1.300063
-0.693417,17,1.302269
-3.124011,20,1.304954
5.584541,20,1.308209
-6.831851,23,1.311395
-2.882788,25,1.314716
5.040423,23,1.317804
1.727947,23,1.321476
-1.215996,10,1.322756
3.140332,13,1.324403
5.588329,15,1.326355
-1.995611,10,1.328208
3.367516,12,1.329814
-3.749156,15,1.331814
-4.838028,23,1.334703
-0.294846,17,1.33757
6.710215,32,1.341762
-4.039453,17,1.3439
-1.304503,20,1.346514
1.753223,13,1.34881
-13.168803,24,1.351977
-2.401993,18,1.354382
3.245523,17,1.356626
-1.83082,12,1.358856
-1.244627,11,1.360311
9.206456,29,1.364016
-3.304725,23,1.366968
-5.81224,17,1.369321
12.702027,26,1.372707
6.413606,24,1.375922
-2.414671,10,1.377241
-4.265859,15,1.379424
-3.624998,18,1.381799
15.3023,31,1.385803
-5.392759,9,1.387028
0.324417,30,1.391329
3.094053,28,1.395056
-3.096036,12,1.396652
7.156188,20,1.399153
4.360518,25,1.402996
9.333612,27,1.406649
-4.183015,11,1.408291
-4.39656,12,1.409896
13.046899,31,1.414515
17.503707,38,1.419443
-0.558607,28,1.423043
3.25516,16,1.425151
9.634878,21,1.428503
12.176599,35,1.433011
4.816148,35,1.437426
21.338725,40,1.4427
-3.224862,16,1.445309
-6.45179,12,1.446864
5.813537,21,1.449604
1.307744,12,1.4512
-2.725291,15,1.453809
2.169168,13,1.455495
-1.010869,10,1.456817
-7.862,14,1.458644
-0.676491,17,1.461293
5.069969,16,1.463451
-2.150552,20,1.46603
2.409994,24,1.469182
2.557756,23,1.472443
0.149161,13,1.474106
3.908011,19,1.476585
-0.512591,16,1.478629
-3.005596,13,1.480563
5.514229,17,1.482801
1.968539,25,1.48612
-1.556479,22,1.489029
-3.570827,11,1.490803
5.789267,19,1.493324
-6.628882,23,1.496202
53.33757,64,1.504259
-0.0835,18,1.507237
11.824549,31,1.511402
4.816639,18,1.513723
8.422197,21,1.516454
0.501089,13,1.518643
1.945909,17,1.520945
-1.473687,18,1.523281
-4.898855,15,1.525243
-2.243466,19,1.528214
11.446482,23,1.531354
1.733877,26,1.534669
-5.307192,16,1.536748
-2.831811,15,1.539315
-0.688573,17,1.541592
-2.848429,10,1.5429
1.004771,40,1.548141
-0.276742,28,1.552476
9.512527,23,1.555533
18.784572,46,1.561495
-1.307549,26,1.564903
8.503713,21,1.568336
-3.146236,27,1.571868
-1.131687,12,1.573497
3.274798,33,1.577679
16.060492,35,1.582495
-1.776401,19,1.584979
-3.683431,23,1.587984
1.771115,20,1.590598
0.216269,12,1.592398
-3.417299,19,1.594881
4.083348,20,1.597523
-2.009202,27,1.600951
-2.427384,25,1.604448
10.521269,51,1.611338
6.54917,21,1.613987
-5.031313,11,1.615502
-4.476692,32,1.61994
-2.483993,15,1.622071
7.698412,21,1.625048
1.064779,32,1.629343
-0.676746,29,1.633328
13.031341,31,1.637386
11.920009,35,1.642036
4.958442,24,1.645013
-1.735243,16,1.64747
15.136749,26,1.650793
-4.521892,29,1.654637
9.095654,24,1.658026
-2.25063,13,1.66007
0.214221,12,1.661701
-1.297813,13,1.663361
-2.583449,19,1.665794
1.073054,25,1.669649
-5.64958,22,1.672603
0.714176,16,1.674721
14.899998,33,1.679196
-2.343071,24,1.682907
2.603512,23,1.685922
8.291541,21,1.688772
-3.393108,20,1.691355
-3.445524,12,1.693555
7.67662,36,1.698422
-0.565262,13,1.700152
-1.068707,11,1.701681
0.258633,18,1.70478
5.52653,19,1.707271
10.53251,28,1.710896
-1.00152,20,1.71351
3.341156,23,1.717208
-1.325866,17,1.719507
-6.675442,18,1.721948
-1.377318,33,1.726161
4.422111,15,1.72881
-2.492665,15,1.730823
-6.069011,17,1.732978
18.389151,30,1.736966
-3.516968,15,1.739227
-0.349275,18,1.741594
-1.032077,14,1.743356
-3.199287,14,1.745042
0.640519,22,1.748127
19.007717,65,1.756814
-11.489472,20,1.759614
4.939768,31,1.76373
-0.7316,12,1.765982
-1.385253,25,1.769396
2.347773,15,1.771437
-0.150559,10,1.772771
0.460174,24,1.776474
-2.596551,16,1.778645
-6.57843,18,1.780939
5.271819,20,1.783571
7.917378,29,1.788151
-2.365825,16,1.790265
-3.975043,23,1.793273
-0.631893,17,1.795523
-4.18908,9,1.797164
2.07361,19,1.799596
-3.840842,25,1.802809
2.05834,19,1.805251
-1.293902,26,1.808956
2.767459,32,1.813063
-4.18924,25,1.816327
-1.280858,19,1.818763
-0.111604,17,1.821165
11.498475,26,1.824535
6.13493,16,1.826626
-9.61007,13,1.828437
6.895766,28,1.832348
0.66149,36,1.836995
2.842867,14,1.838773
1.922615,16,1.840746
-5.59076,10,1.842178
4.733854,34,1.846725
-6.424356,19,1.849203
1.590361,25,1.852398
-6.102485,25,1.855795
1.328942,14,1.857589
0.924863,12,1.859181
6.607253,36,1.863811
1.897575,20,2.257149
1.344654,16,2.382117
-0.727789,11,2.468836
3.24783,28,2.688299
-0.216301,19,2.837781
-3.410811,25,3.025292
-1.562185,14,3.132808
2.821596,18,3.27324
-0.747688,12,3.367327
-0.504523,15,3.482244
14.590562,37,3.766567
-2.69767,20,3.920144
1.175359,66,4.427924
5.191619,54,4.819644
8.243411,43,5.139084
18.298993,39,5.42158
4.383287,27,5.617496
7.802716,34,5.866832
9.174205,90,6.520554
-8.20725,96,7.242293
-4.075181,47,7.606371
35.311323,60,8.073128
-7.064168,103,8.869447
4.930382,65,9.37362
-7.589326,44,9.711484
16.63496,64,10.200922
-15.016824,136,11.262459
18.324534,171,12.602908
-17.842023,137,13.682836
-31.448879,148,14.837912
102.713511,235,16.776629
227.345039,131,17.895366
59.803728,263,20.180626
319.495331,195,21.921748
312.806888,205,23.645361
424.527472,290,25.835512
241.244352,144,26.965979
409.265175,295,29.263875
467.305923,318,31.744519
367.083642,240,33.624236
337.891371,219,35.331734
505.49535,377,38.279175
277.701886,151,39.4675
