step,train_loss,aux_loss,val_bpb,off_dist_frac,cov_real_frac,cov_union_frac,aux_new_cell_frac,aux_mse
300,7.145006,0.000809,1.964552,,,,0.0104,0.000809
600,5.872308,0.001708,1.765105,,,,0.0042,0.001708
900,5.441849,0.002523,1.666390,,,,0.0023,0.002523
1200,5.199383,0.003150,1.605978,,,,0.0017,0.00315
1500,5.022587,0.003600,1.556578,,,,0.0013,0.0036
1800,4.872409,0.003848,1.513471,,,,0.0012,0.003848
2100,4.745042,0.003946,1.479097,,,,0.001,0.003946
2400,4.666420,0.003973,1.457388,,,,0.001,0.003973
2700,4.610997,0.004011,1.444056,,,,0.0008,0.004011
3000,4.579203,0.003996,1.435304,,,,0.001,0.003996
