step,train_loss,aux_loss,val_bpb,off_dist_frac,cov_real_frac,cov_union_frac,aux_new_cell_frac,aux_mse
300,7.144222,0.000985,1.964731,,,,0.0117,0.000985
600,5.872056,0.002088,1.765012,,,,0.0044,0.002088
900,5.441795,0.003072,1.665672,,,,0.0028,0.003072
1200,5.199565,0.003813,1.605329,,,,0.0019,0.003813
1500,5.021766,0.004350,1.555676,,,,0.0015,0.00435
1800,4.870955,0.004634,1.512398,,,,0.0015,0.004634
2100,4.744318,0.004736,1.478228,,,,0.0012,0.004736
2400,4.665429,0.004768,1.456998,,,,0.0011,0.004768
2700,4.610352,0.004812,1.443492,,,,0.001,0.004812
3000,4.578452,0.004799,1.434695,,,,0.0012,0.004799
