step,train_loss,shadow_loss,val_bpb,off_dist_frac,cov_real_frac,cov_union_frac
300,7.648335,6.943351,2.101735,0.0127,0.6252,0.633
600,6.189994,6.065380,1.844550,0.0085,0.9232,0.9309
900,5.634515,5.791126,1.714291,0.004,0.9775,0.9814
1200,5.330350,5.505580,1.640358,0.0024,0.9896,0.992
1500,5.122347,5.398993,1.584476,0.0014,0.994,0.9954
1800,4.948148,5.186832,1.533447,0.0008,0.9966,0.9975
2100,4.776559,5.100548,1.484344,0.0006,0.9977,0.9984
2400,4.650136,4.898633,1.448575,0.0005,0.9979,0.9984
2700,4.551277,5.048183,1.422039,0.0004,0.9984,0.9987
3000,4.478042,4.955694,1.400122,0.0003,0.9985,0.9989
3300,4.420316,4.876454,1.384843,0.0003,0.9987,0.999
3600,4.369246,4.776544,1.370420,0.0003,0.9987,0.999
3900,4.345738,4.673530,1.359512,0.0002,0.999,0.9992
4200,4.300506,4.794209,1.349777,0.0002,0.999,0.9992
4500,4.276565,4.675961,1.341474,0.0002,0.9989,0.999
4800,4.253865,4.777194,1.333955,0.0003,0.9988,0.9991
5100,4.237496,4.703064,1.329389,0.0002,0.999,0.9992
5400,4.252654,4.488243,1.324581,0.0002,0.999,0.9992
5700,4.208606,4.651258,1.321818,0.0002,0.999,0.9992
6000,4.197183,4.630310,1.319879,0.0002,0.9991,0.9993
