step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.052730,2.009577,19.653381,19.609310,19.608820,19.607157,19.605984,19.604364,1.002929,1.000682,1.000657,1.000572,1.000512,1.000430,19.709284,19.693243,19.665958,19.655640,19.654716,19.645502,2.39489020e-04,5.50824567e-04,2.07821708e-04,1.82087359e-04,1.50352309e-04,1.71009757e-04,1.74838424e-04
1000,5.889077,1.762683,19.722446,19.644115,19.643908,19.638111,19.642836,19.641720,1.006450,1.002453,1.002440,1.002146,1.002387,1.002329,19.624195,19.724909,19.683462,19.687908,19.710768,19.699238,9.33139585e-04,1.22574263e-03,8.54207668e-04,8.61565233e-04,8.02537776e-04,9.18776728e-04,9.36007476e-04
1500,5.375027,1.617846,19.789780,19.701784,19.708025,19.706137,19.722704,19.713318,1.009880,1.005381,1.005692,1.005599,1.006442,1.005969,19.384157,19.723106,19.618637,19.633459,19.699396,19.762491,2.25781420e-03,2.52367929e-03,2.05841078e-03,2.14253692e-03,2.11747712e-03,2.37386837e-03,2.33091274e-03
2000,5.043152,1.528623,19.839876,19.775944,19.793474,19.801405,19.837122,19.802444,1.012423,1.009137,1.010016,1.010428,1.012243,1.010497,19.019272,19.717369,19.477289,19.522484,19.638451,19.878712,3.77170924e-03,3.99595127e-03,3.40451230e-03,3.57340765e-03,3.64761264e-03,4.08330886e-03,3.92546272e-03
2500,4.835622,1.469905,19.871040,19.852575,19.884771,19.907446,19.955070,19.889389,1.014002,1.013011,1.014631,1.015803,1.018226,1.014915,18.618719,19.696819,19.316492,19.403715,19.571842,20.085329,4.81307964e-03,4.89893742e-03,4.33167582e-03,4.56555281e-03,4.73804353e-03,5.29830111e-03,5.04596718e-03
3000,4.675797,1.420730,19.893997,19.927475,19.976744,20.011864,20.071266,19.970360,1.015158,1.016798,1.019279,1.021091,1.024124,1.019027,18.175409,19.649029,19.146143,19.280355,19.499325,20.475208,5.57757813e-03,5.45999128e-03,5.04031917e-03,5.32078883e-03,5.55615826e-03,6.19334448e-03,5.89486677e-03
3500,4.519122,1.377049,19.911497,20.001795,20.070581,20.114656,20.182388,20.046650,1.016029,1.020551,1.024020,1.026299,1.029757,1.022887,17.691790,19.579546,18.946892,19.160389,19.437893,20.926083,6.13746249e-03,5.74035337e-03,5.58994338e-03,5.92027744e-03,6.15960173e-03,6.83954824e-03,6.57505076e-03
4000,4.424529,1.347451,19.923031,20.075466,20.164145,20.216776,20.293463,20.118803,1.016598,1.024280,1.028748,1.031467,1.035397,1.026544,17.242064,19.511257,18.768160,19.040785,19.389545,21.245697,6.51842131e-03,5.78773022e-03,5.96468244e-03,6.37455937e-03,6.59071933e-03,7.29590654e-03,7.09692994e-03
4500,4.340845,1.325556,19.930037,20.146204,20.254593,20.313631,20.398724,20.188545,1.016938,1.027857,1.033316,1.036380,1.040735,1.030079,16.830259,19.439758,18.604349,18.930538,19.349762,21.478209,6.76864067e-03,5.69556653e-03,6.21208921e-03,6.70130318e-03,6.90693595e-03,7.62176327e-03,7.47418590e-03
5000,4.287344,1.306356,19.938715,20.216213,20.342510,20.405642,20.501600,20.253508,1.017361,1.031399,1.037754,1.041042,1.045954,1.033372,16.458561,19.372620,18.458920,18.824945,19.318926,21.665516,6.91514563e-03,5.53841051e-03,6.35713432e-03,6.93751406e-03,7.11313868e-03,7.81887118e-03,7.72580504e-03
