stage,step,train_loss
0,1,10.481373
0,100,9.944793
0,200,9.310589
0,300,8.521656
0,400,7.971853
0,500,7.667895
0,600,7.534655
0,700,7.390120
0,800,7.294239
0,900,7.262016
0,1000,7.184930
0,1100,7.141090
0,1200,7.096067
0,1300,7.085810
0,1400,7.039064
0,1500,7.017121
0,1600,6.992112
0,1700,6.983979
0,1800,6.929437
0,1900,6.870556
0,2000,6.849475
0,2100,6.868209
0,2200,6.875354
0,2300,6.828950
0,2400,6.833802
0,2500,6.795926
0,2600,6.772590
0,2700,6.751003
0,2800,6.791021
0,2900,6.798333
0,3000,6.744768
0,3100,6.713523
0,3200,6.697853
0,3300,6.696622
0,3400,6.700041
0,3500,6.656475
0,3600,6.697610
0,3700,6.695259
0,3800,6.666406
0,3900,6.625135
0,4000,6.667668
0,4100,6.645462
0,4200,6.635682
0,4300,6.648942
0,4400,6.622932
0,4500,6.584520
0,4600,6.611444
0,4700,6.582791
0,4800,6.611947
0,4900,6.578985
0,5000,6.545867
0,5100,6.516804
0,5200,6.574131
0,5300,6.608103
0,5400,6.542330
0,5500,6.545227
0,5600,6.580033
0,5700,6.565517
0,5800,6.566381
0,5900,6.533766
0,6000,6.539697
0,6100,6.488519
0,6200,6.492563
0,6300,6.493262
0,6400,6.475516
0,6500,6.506447
0,6600,6.462472
0,6700,6.463610
0,6800,6.496405
0,6900,6.481979
0,7000,6.491493
0,7100,6.467760
0,7200,6.463097
0,7300,6.491296
0,7400,6.478087
0,7500,6.442169
0,7600,6.459614
0,7700,6.479704
0,7800,6.438713
0,7900,6.430811
0,8000,6.441841
1,1,6.674983
1,100,6.477445
1,200,6.343899
1,300,6.286278
1,400,6.241756
1,500,6.195295
1,600,6.190026
1,700,6.177022
1,800,6.148548
1,900,6.129672
1,1000,6.121436
1,1100,6.108987
1,1200,6.096892
1,1300,6.069730
1,1400,6.073012
1,1500,6.067332
1,1600,6.035652
1,1700,6.035261
1,1800,6.033200
1,1900,6.025696
1,2000,6.020737
1,2100,6.022894
1,2200,6.029963
1,2300,6.030306
1,2400,6.037094
1,2500,6.034359
1,2600,6.036431
1,2700,6.017792
1,2800,6.020260
1,2900,6.004358
1,3000,6.006322
1,3100,6.002265
1,3200,6.000865
1,3300,5.998059
1,3400,5.971777
1,3500,5.972676
1,3600,5.988178
1,3700,5.978622
