step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497984,0.497901,0.498397,0.498409,0.498603,0.498551,0.498118,0.498019,0.499701,0.499314,0.501112,0.501166,0.501118,0.501100,0.502342,0.502317,0.499251,0.499236,0.501354,0.501379,0.501404,0.501402,0.502797,0.502818,0.499986,0.500004,0.500115,0.500126,0.499382,0.499361,0.502676,0.502561,0.500285,0.500004,0.501967,0.502096,0.502114,0.502119,0.502724,0.502789,0.500421,0.500387,0.501108,0.501115,0.500216,0.500207,0.502797,0.502749
400,0.487836,0.487737,0.502017,0.502243,0.493296,0.492829,0.488752,0.488764,0.494229,0.493021,0.497597,0.497752,0.497995,0.497809,0.505955,0.505282,0.499664,0.499602,0.503114,0.502717,0.498320,0.497351,0.513277,0.512964,0.501107,0.501040,0.500059,0.499592,0.496665,0.496626,0.511928,0.510649,0.500972,0.500448,0.503379,0.499951,0.499313,0.499189,0.513093,0.512835,0.500452,0.500588,0.503732,0.501944,0.497470,0.497490,0.512605,0.512231
600,0.472524,0.472415,0.508890,0.509441,0.487050,0.486085,0.475972,0.476232,0.486788,0.483631,0.492707,0.493219,0.495154,0.494465,0.509407,0.507805,0.503162,0.502620,0.506508,0.505362,0.495168,0.490064,0.528447,0.528259,0.500606,0.500071,0.504929,0.501100,0.487349,0.487189,0.527967,0.519781,0.501843,0.500705,0.497316,0.487127,0.487545,0.487051,0.529677,0.529245,0.497209,0.497016,0.509944,0.499159,0.491461,0.491571,0.529409,0.529244
800,0.450844,0.450691,0.514125,0.515113,0.481512,0.480110,0.460158,0.460651,0.479188,0.471525,0.486971,0.488134,0.491880,0.490076,0.509831,0.507109,0.509096,0.507667,0.511225,0.509646,0.496703,0.486576,0.545178,0.546395,0.501333,0.501034,0.514958,0.508566,0.479886,0.479132,0.542551,0.527592,0.501252,0.498840,0.488328,0.478153,0.480596,0.479145,0.543715,0.544733,0.496323,0.496226,0.516874,0.493738,0.485472,0.485581,0.542354,0.542648
1000,0.426240,0.425996,0.515024,0.516572,0.472274,0.469972,0.441888,0.442551,0.473825,0.457135,0.480957,0.482457,0.487863,0.484135,0.506573,0.502947,0.514040,0.511689,0.512470,0.510686,0.497863,0.485591,0.562696,0.562887,0.498098,0.497736,0.523309,0.514156,0.474081,0.467398,0.559192,0.539099,0.499621,0.498363,0.484184,0.469637,0.474637,0.470756,0.561936,0.560610,0.493351,0.493033,0.523737,0.494774,0.478891,0.477374,0.557479,0.554874
1200,0.403303,0.402953,0.512468,0.514344,0.460298,0.457068,0.423029,0.423759,0.475156,0.442906,0.473350,0.475585,0.482701,0.477663,0.500827,0.496438,0.517660,0.514497,0.512426,0.510637,0.498576,0.484825,0.576269,0.576575,0.498120,0.497941,0.533172,0.522532,0.476061,0.461113,0.579647,0.550703,0.497301,0.496175,0.488232,0.458807,0.470460,0.459186,0.580165,0.569393,0.492411,0.492119,0.530525,0.492515,0.475937,0.469058,0.573314,0.564834
1400,0.382781,0.382189,0.505674,0.507835,0.445535,0.441135,0.403720,0.404429,0.481510,0.428771,0.466308,0.469043,0.477225,0.470770,0.494142,0.488975,0.518459,0.514875,0.512569,0.510888,0.499158,0.484114,0.589738,0.588545,0.495533,0.495193,0.543908,0.531876,0.478877,0.457678,0.600437,0.562614,0.498295,0.497094,0.491969,0.449597,0.474414,0.453096,0.596342,0.575163,0.488954,0.488354,0.538201,0.487297,0.478617,0.463292,0.588757,0.571455
1600,0.363976,0.362986,0.493854,0.496181,0.429253,0.423606,0.385658,0.386143,0.492370,0.416411,0.458367,0.461578,0.470972,0.463693,0.487440,0.481494,0.518577,0.514861,0.511780,0.510174,0.499317,0.483222,0.600804,0.596477,0.494061,0.493837,0.554119,0.540064,0.482435,0.453194,0.626578,0.582687,0.497862,0.496526,0.496796,0.436269,0.479099,0.443961,0.612194,0.578753,0.491117,0.490454,0.546439,0.478967,0.482646,0.455773,0.609489,0.576527
1800,0.348594,0.346905,0.482056,0.484500,0.414543,0.407287,0.369170,0.369240,0.508910,0.407286,0.451012,0.454573,0.464002,0.455154,0.480007,0.473443,0.518175,0.514114,0.509934,0.508438,0.499128,0.482244,0.607890,0.601672,0.492859,0.492707,0.563606,0.547355,0.485965,0.451127,0.648617,0.596573,0.496334,0.495777,0.496288,0.425763,0.485074,0.440675,0.625334,0.581543,0.489717,0.489013,0.553969,0.468714,0.488479,0.453322,0.624281,0.580273
2000,0.335676,0.333012,0.471086,0.473643,0.399589,0.390321,0.353063,0.352521,0.528659,0.399650,0.442746,0.446463,0.458085,0.447051,0.472338,0.465132,0.517944,0.513602,0.509051,0.507593,0.499087,0.480880,0.616340,0.609524,0.491068,0.490996,0.571925,0.552868,0.485794,0.445650,0.667928,0.610414,0.496340,0.495955,0.488791,0.418345,0.489156,0.437676,0.636197,0.583752,0.490320,0.489481,0.562241,0.461426,0.493354,0.451791,0.640014,0.582938
2200,0.325301,0.321286,0.458605,0.461214,0.386930,0.374660,0.338964,0.337432,0.549680,0.392326,0.435112,0.438729,0.451344,0.438234,0.465743,0.457816,0.517307,0.512703,0.507727,0.506256,0.499206,0.479661,0.624161,0.616798,0.492324,0.492403,0.581089,0.556903,0.485204,0.443527,0.690513,0.621943,0.496454,0.495972,0.492249,0.415605,0.492675,0.434062,0.645972,0.585445,0.490484,0.489562,0.571300,0.455041,0.499534,0.450088,0.655973,0.585092
2400,0.316420,0.310853,0.448132,0.450805,0.375590,0.359393,0.326689,0.323651,0.571318,0.387370,0.428266,0.431454,0.446498,0.431159,0.459575,0.450771,0.516333,0.511270,0.506113,0.504709,0.498334,0.477582,0.629410,0.620787,0.491921,0.492129,0.591765,0.562748,0.486537,0.443703,0.713417,0.632369,0.496569,0.496049,0.495444,0.410301,0.498465,0.430731,0.655792,0.587120,0.489239,0.488105,0.582524,0.448499,0.506776,0.447479,0.670360,0.586730
2600,0.309811,0.302284,0.434407,0.437095,0.367679,0.345618,0.316049,0.311040,0.594288,0.383996,0.421634,0.424317,0.442237,0.424158,0.452553,0.443063,0.516048,0.510567,0.504961,0.503637,0.498190,0.476073,0.635204,0.626298,0.491644,0.491894,0.601565,0.566582,0.487705,0.443797,0.739974,0.643734,0.498403,0.497455,0.499923,0.405607,0.503248,0.428202,0.663540,0.588545,0.490457,0.489153,0.593607,0.441554,0.513784,0.446580,0.683889,0.588136
2800,0.304936,0.295380,0.422457,0.425205,0.364161,0.333929,0.307436,0.299780,0.616781,0.379044,0.415968,0.417989,0.438604,0.417583,0.446434,0.436222,0.515584,0.509722,0.503264,0.502076,0.496894,0.473790,0.638970,0.629260,0.492303,0.492427,0.611761,0.571355,0.490032,0.444487,0.762139,0.651043,0.498736,0.497362,0.504496,0.401178,0.507513,0.425822,0.670248,0.589704,0.490930,0.489222,0.604801,0.433661,0.519770,0.446059,0.696061,0.589320
3000,0.301042,0.289543,0.411438,0.414247,0.365806,0.323789,0.300473,0.289245,0.640002,0.374875,0.409665,0.411144,0.436115,0.411651,0.440753,0.429595,0.514592,0.508326,0.501719,0.500579,0.495846,0.471223,0.642985,0.632620,0.492173,0.492621,0.620896,0.575771,0.491971,0.444791,0.779001,0.655457,0.501517,0.499933,0.513829,0.396885,0.511159,0.423324,0.675673,0.590834,0.490563,0.488807,0.615873,0.426034,0.527713,0.445028,0.706274,0.590486
3200,0.298755,0.285137,0.399981,0.402787,0.369837,0.315459,0.295443,0.279881,0.662569,0.371823,0.405017,0.405495,0.433228,0.405285,0.435287,0.423188,0.514623,0.507863,0.499874,0.498790,0.493225,0.468105,0.645424,0.634540,0.491695,0.492179,0.628211,0.579535,0.493915,0.445226,0.792726,0.659171,0.503628,0.501966,0.520171,0.394433,0.514483,0.421995,0.680461,0.591743,0.491692,0.489373,0.625056,0.418195,0.533839,0.443002,0.715275,0.591412
3400,0.296638,0.280956,0.389213,0.392017,0.376790,0.309350,0.293031,0.271838,0.684566,0.368003,0.400585,0.400097,0.432034,0.399990,0.429605,0.416746,0.514125,0.506833,0.498192,0.497230,0.492031,0.465810,0.648204,0.636640,0.489972,0.490375,0.635537,0.582932,0.496425,0.445713,0.804435,0.662460,0.504021,0.501775,0.527577,0.391323,0.519562,0.422049,0.684351,0.592567,0.493605,0.491106,0.636605,0.412111,0.538994,0.441595,0.722834,0.592256
3600,0.294320,0.276752,0.379100,0.381919,0.384503,0.303351,0.292799,0.264812,0.706790,0.366024,0.396858,0.394907,0.431236,0.395127,0.424584,0.410736,0.513652,0.505977,0.495912,0.495081,0.489770,0.462836,0.649912,0.637432,0.488825,0.489357,0.644329,0.588187,0.499438,0.446543,0.817900,0.666429,0.506824,0.504196,0.534899,0.388341,0.524483,0.420442,0.687675,0.593188,0.493570,0.491017,0.647094,0.407998,0.543676,0.440119,0.729663,0.592879
3800,0.293434,0.273965,0.369134,0.371971,0.393850,0.298650,0.294023,0.258438,0.728368,0.363080,0.393530,0.390258,0.430228,0.390183,0.419993,0.405201,0.513196,0.505107,0.493949,0.493276,0.487098,0.459607,0.651143,0.637543,0.489340,0.489685,0.653894,0.592405,0.501412,0.446804,0.831608,0.670517,0.506431,0.503623,0.541914,0.384398,0.529012,0.417802,0.690705,0.593842,0.494977,0.492082,0.659707,0.403212,0.549514,0.439531,0.735688,0.593514
4000,0.292776,0.271648,0.360375,0.363230,0.402702,0.294562,0.297380,0.253508,0.749305,0.359905,0.390931,0.386133,0.429344,0.385225,0.415724,0.399850,0.512050,0.503666,0.491438,0.490914,0.483832,0.455707,0.650903,0.635928,0.490006,0.490575,0.663699,0.598467,0.503316,0.446906,0.845281,0.674971,0.507786,0.504853,0.548661,0.381524,0.533265,0.416850,0.693271,0.594395,0.497019,0.493944,0.665978,0.398442,0.554349,0.437763,0.740878,0.594038
