step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active
0,0.336028,0.332064,0.331908,254.9654,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.9654,0.994844,1.9897,16.0000,0.624648,274.788918,0.166667,+0.457982,1
200,0.831463,0.084241,0.084297,64.7184,4675511,0.49543497,0,0,4675511,4675511,0.391493,0.391906,0.392183,-0.001810,0.000002,0.001996,0.000382,1.000000,64.7184,0.501276,1.0063,16.0000,0.171009,2.605689,0.166667,+0.004343,1
400,0.865060,0.067461,0.067479,51.8169,4992577,0.52903253,0,0,4992577,317066,0.390040,0.392823,0.393790,-0.005332,0.000000,0.004871,0.000916,1.000000,51.8169,0.447390,0.9048,16.0000,0.161706,0.041229,0.166667,-0.004961,0
600,0.871971,0.064008,0.064021,49.1631,5057798,0.53594357,1,0,5057797,65222,0.392835,0.396049,0.397869,-0.007696,0.000018,0.008828,0.001263,1.000000,49.1631,0.436094,0.8917,16.0000,0.161514,0.025244,0.166667,-0.005153,0
800,0.873649,0.063167,0.063184,48.5188,5073632,0.53762138,0,0,5073632,15837,0.395382,0.401244,0.404928,-0.010121,0.000025,0.012846,0.001680,1.000000,48.5188,0.433481,0.8968,16.0000,0.159273,0.086661,0.166667,-0.007394,0
1000,0.874372,0.062813,0.062815,48.2411,5080456,0.53834450,0,0,5080456,6824,0.397265,0.407906,0.415253,-0.012672,0.000023,0.013345,0.002244,1.000000,48.2411,0.432397,0.9071,16.0000,0.158799,0.000000,0.166667,-0.007868,0
1200,0.874749,0.062623,0.062627,48.0962,5084019,0.53872204,1,0,5084018,3566,0.400565,0.415462,0.428701,-0.016872,0.000013,0.016188,0.002986,1.000000,48.0962,0.431800,0.9168,16.0000,0.156041,0.000000,0.166667,-0.010626,0
1400,0.874962,0.062522,0.062517,48.0148,5086019,0.53893399,0,0,5086019,2001,0.403425,0.423717,0.444999,-0.020651,-0.000026,0.019860,0.003845,1.000000,48.0148,0.431444,0.9284,16.0000,0.157253,0.000000,0.166667,-0.009413,0
1600,0.875102,0.062453,0.062445,47.9609,5087342,0.53907418,0,0,5087342,1323,0.403653,0.432502,0.462754,-0.024867,-0.000035,0.025286,0.004843,1.000000,47.9609,0.431215,0.9365,16.0000,0.154977,0.000000,0.166667,-0.011689,0
1800,0.875178,0.062418,0.062405,47.9318,5088059,0.53915012,0,1,5088058,725,0.402348,0.440825,0.482282,-0.032599,-0.000032,0.030920,0.005848,1.000000,47.9318,0.431092,0.9387,16.0000,0.157360,0.000000,0.166667,-0.009306,0
2000,0.875232,0.062388,0.062380,47.9110,5088573,0.53920460,1,1,5088571,527,0.401837,0.447383,0.500960,-0.040643,-0.000029,0.037638,0.006728,1.000000,47.9110,0.431023,0.9369,16.0000,0.156405,0.000000,0.166667,-0.010261,0
2200,0.875266,0.062372,0.062362,47.8979,5088899,0.53923917,1,4,5088894,356,0.401062,0.452849,0.519216,-0.043949,0.000028,0.039033,0.007537,1.000000,47.8979,0.430985,0.9310,16.0000,0.159872,0.000000,0.166667,-0.006794,0
2400,0.875296,0.062355,0.062349,47.8864,5089190,0.53926998,1,7,5089182,351,0.401013,0.457308,0.538860,-0.051549,0.000013,0.041734,0.008263,1.000000,47.8864,0.430915,0.9201,16.0000,0.160579,0.000000,0.166667,-0.006088,0
2600,0.875320,0.062343,0.062337,47.8772,5089446,0.53929710,15,16,5089415,322,0.400355,0.460735,0.557883,-0.055040,0.000028,0.047611,0.008955,1.000000,47.8772,0.430894,0.9075,16.0000,0.156931,0.000000,0.166667,-0.009735,0
2800,0.875340,0.062333,0.062327,47.8693,5089674,0.53932124,25,28,5089621,352,0.397353,0.463271,0.573575,-0.054427,0.000026,0.051826,0.009577,1.000000,47.8693,0.430881,0.8929,16.0000,0.158411,0.000000,0.166667,-0.008255,0
