step,train_loss,val_loss
0,7.314784,6.933147
1000,1.867202,1.846353
2000,1.716642,1.719233
3000,1.652403,1.646526
4000,1.605172,1.599516
5000,1.574861,1.579121
6000,1.556483,1.562396
