step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active
0,0.336028,0.332064,0.331908,254.9654,0,0.00000000,0,0,0,0,0.392065,0.392065,0.392065,0.000000,0.000000,0.000000,0.000000,0.000000,254.9654,0.994844,1.9897,16.0000,0.624648,74.788929,0.500000,+0.124648,1
200,0.589769,0.205040,0.205192,157.5289,2569779,0.27230358,13751,80714,2475314,2569779,0.390740,0.391567,0.392332,-0.002087,0.000005,0.002117,0.000648,1.000000,157.5289,0.798803,1.6031,16.0000,0.468359,0.000000,0.500000,-0.031641,0
400,0.607677,0.196144,0.196179,150.6522,3427464,0.36318716,159592,352135,2915737,1462365,0.388016,0.391157,0.392583,-0.004706,0.000002,0.004271,0.001211,1.000000,150.6522,0.774585,1.5677,16.0000,0.464283,0.000000,0.500000,-0.035717,0
600,0.617843,0.190989,0.191168,146.7483,3903037,0.41358069,260266,491614,3151157,1495705,0.386272,0.391612,0.394072,-0.008608,-0.000005,0.007610,0.001672,1.000000,146.7483,0.758375,1.5450,16.0000,0.464814,0.000000,0.500000,-0.035186,0
800,0.629166,0.185544,0.185290,142.4003,4073962,0.43169254,289965,508798,3275199,1345680,0.386189,0.393083,0.396122,-0.015878,-0.000010,0.012045,0.002128,1.000000,142.4003,0.734217,1.4901,16.0000,0.457133,0.000000,0.500000,-0.042867,0
1000,0.632840,0.183643,0.183517,140.9893,4171404,0.44201788,313509,528409,3329486,1224300,0.386067,0.395371,0.399905,-0.021047,-0.000018,0.017397,0.002607,1.000000,140.9893,0.729041,1.4621,16.0000,0.448834,0.000000,0.500000,-0.051166,0
1200,0.622938,0.188634,0.188428,144.7917,4254583,0.45083183,361501,592726,3300356,1197810,0.388107,0.398264,0.403828,-0.028115,-0.000024,0.023821,0.003100,1.000000,144.7917,0.754569,1.4852,16.0000,0.453935,0.000000,0.500000,-0.046065,0
1400,0.620273,0.189916,0.189811,145.8151,4314734,0.45720568,386506,622875,3305353,1181723,0.390921,0.401355,0.408973,-0.035721,0.000004,0.027261,0.003630,1.000000,145.8151,0.717641,1.3790,16.0000,0.460284,0.000000,0.500000,-0.039716,0
1600,0.613984,0.192967,0.193049,148.2301,4373171,0.46339789,419886,665079,3288206,1180174,0.394326,0.405094,0.414080,-0.040391,0.000001,0.030562,0.004254,1.000000,148.2301,0.737560,1.3656,16.0000,0.463183,0.000000,0.500000,-0.036817,0
1800,0.613896,0.192994,0.193110,148.2638,4416364,0.46797478,434507,679779,3302078,1098479,0.397812,0.408565,0.421824,-0.042927,-0.000013,0.033313,0.004875,1.000000,148.2638,0.730006,1.2927,16.0000,0.461143,0.000000,0.500000,-0.038857,0
2000,0.612561,0.193771,0.193669,148.7767,4458047,0.47239166,450979,698687,3308381,1036067,0.397880,0.411834,0.425774,-0.050459,-0.000025,0.038120,0.005453,1.000000,148.7767,0.747011,1.2603,16.0000,0.456490,0.000000,0.500000,-0.043510,0
2200,0.594727,0.202773,0.202500,155.6248,4512713,0.47818428,508089,781615,3223009,1036488,0.398133,0.414134,0.429304,-0.052877,0.000001,0.044070,0.005998,1.000000,155.6248,0.773122,1.2468,16.0000,0.472449,0.000000,0.500000,-0.027551,0
2400,0.596079,0.202028,0.201893,155.1058,4543328,0.48142835,514146,787516,3241666,1024707,0.397344,0.416062,0.435306,-0.055391,-0.000021,0.043365,0.006504,1.000000,155.1058,0.815087,1.2489,16.0000,0.468378,0.000000,0.500000,-0.031622,0
2600,0.600615,0.199759,0.199626,153.3638,4567855,0.48402733,511944,779475,3276436,946987,0.395990,0.417279,0.438135,-0.058226,-0.000017,0.045882,0.006972,1.000000,153.3638,0.761539,1.1142,16.0000,0.464910,0.000000,0.500000,-0.035090,0
2800,0.579535,0.210246,0.210219,161.4585,4618105,0.48935202,577292,871393,3169420,1009422,0.394329,0.418783,0.443260,-0.060026,-0.000011,0.046902,0.007348,1.000000,161.4585,0.791437,1.1048,16.0000,0.480735,0.000000,0.500000,-0.019265,0
3000,0.587968,0.206017,0.206015,158.2203,4635173,0.49116060,562084,847741,3225348,929201,0.389541,0.419479,0.451272,-0.064197,-0.000007,0.051367,0.007741,1.000000,158.2203,0.808977,1.0751,16.0000,0.473826,0.000000,0.500000,-0.026174,0
