step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.040279,2.006166,19.678190,19.609642,19.608276,19.607664,19.608561,19.606857,1.004195,1.000699,1.000629,1.000598,1.000644,1.000557,19.711281,19.693604,19.667713,19.659874,19.660166,19.650183,1.75446460e-04,5.39168424e-04,1.22711092e-04,9.90317494e-05,9.62287377e-05,9.72265625e-05,9.83121936e-05
1000,5.890450,1.761333,19.698668,19.621878,19.621946,19.617453,19.615847,19.611889,1.005236,1.001319,1.001322,1.001092,1.001010,1.000809,19.627731,19.730503,19.689581,19.696804,19.725527,19.711357,8.16685157e-04,1.31381489e-03,7.07693049e-04,6.43498730e-04,6.96670730e-04,7.57638132e-04,7.80795410e-04
1500,5.384943,1.620270,19.673275,19.618702,19.624182,19.611845,19.601465,19.580877,1.003934,1.001145,1.001420,1.000792,1.000262,0.999216,19.401846,19.743858,19.635265,19.649214,19.711498,19.798731,2.18077336e-03,2.86715315e-03,1.89190940e-03,1.87608309e-03,2.02347804e-03,2.21592980e-03,2.21008668e-03
2000,5.056185,1.533836,19.588797,19.588507,19.602758,19.579268,19.554451,19.511246,0.999613,0.999586,1.000298,0.999107,0.997839,0.995645,19.055361,19.764011,19.510408,19.551023,19.647327,19.953703,3.76496771e-03,4.61766683e-03,3.25758313e-03,3.33359931e-03,3.58222821e-03,3.93451191e-03,3.86421685e-03
2500,4.850291,1.473730,19.483841,19.547039,19.567513,19.530449,19.490715,19.424488,0.994249,0.997446,0.998464,0.996591,0.994560,0.991191,18.667635,19.768274,19.373373,19.444321,19.586563,20.220745,4.85103135e-03,5.61724603e-03,4.23573796e-03,4.37704101e-03,4.69854521e-03,5.15316334e-03,5.02445456e-03
3000,4.681423,1.423909,19.367445,19.498190,19.522009,19.470858,19.414753,19.329742,0.988291,0.994928,0.996113,0.993530,0.990656,0.986318,18.227608,19.740414,19.237450,19.333792,19.510155,20.711325,5.63828042e-03,6.14213198e-03,4.98752529e-03,5.17937681e-03,5.55655221e-03,6.04389515e-03,5.92020107e-03
3500,4.532716,1.382209,19.246166,19.439331,19.472406,19.406927,19.335590,19.227331,0.982095,0.991905,0.993548,0.990250,0.986589,0.981043,17.766737,19.705227,19.082697,19.234432,19.448845,21.147242,6.19130364e-03,6.32544141e-03,5.54709462e-03,5.79475565e-03,6.18562475e-03,6.68825209e-03,6.60665333e-03
4000,4.444694,1.352909,19.122005,19.383360,19.424044,19.344393,19.258366,19.128311,0.975747,0.989028,0.991040,0.987035,0.982623,0.975938,17.339705,19.666952,18.938494,19.150099,19.396088,21.468664,6.55483307e-03,6.26119645e-03,5.92573686e-03,6.27072295e-03,6.63473178e-03,7.13131111e-03,7.10529927e-03
4500,4.363902,1.331914,19.001513,19.327175,19.374334,19.280733,19.181444,19.027676,0.969585,0.986140,0.988467,0.983764,0.978671,0.970737,16.949959,19.623875,18.809355,19.074306,19.354435,21.713463,6.77845829e-03,6.08181814e-03,6.16452890e-03,6.60906499e-03,6.93136081e-03,7.42558902e-03,7.45838787e-03
5000,4.313324,1.315228,18.884396,19.275087,19.327377,19.218706,19.107563,18.935411,0.963587,0.983466,0.986045,0.980580,0.974878,0.965965,16.597624,19.582497,18.694044,19.013651,19.320580,21.917673,6.89814861e-03,5.83155593e-03,6.31171092e-03,6.83945790e-03,7.11307582e-03,7.60979299e-03,7.68329808e-03
