step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
9000,3.937142,1.209213,16.727785,19.496572,19.436594,19.332743,19.185925,19.170731,0.853329,0.994709,0.991620,0.986384,0.978848,0.977888,14.504267,18.753981,17.857491,18.494324,21.107843,21.623463,6.36570466e-03,3.33236950e-03,6.19702647e-03,6.49764203e-03,6.94312062e-03,7.64604099e-03,7.57802837e-03
9500,3.897143,1.202668,16.639355,19.490715,19.424553,19.318388,19.166962,19.144350,0.848784,0.994404,0.991000,0.985647,0.977875,0.976516,14.429181,18.711967,17.833328,18.475637,21.139601,21.674217,6.22339900e-03,3.13083990e-03,6.09342568e-03,6.37627859e-03,6.79613836e-03,7.49461772e-03,7.44909374e-03
10000,3.880556,1.197157,16.568846,19.484865,19.416063,19.308798,19.150951,19.122833,0.845160,0.994099,0.990565,0.985156,0.977058,0.975396,14.374590,18.674286,17.815443,18.461226,21.167627,21.721394,6.07808602e-03,2.93894438e-03,5.98078407e-03,6.24804618e-03,6.65045623e-03,7.33517949e-03,7.31510576e-03
10500,3.887139,1.192321,16.514170,19.480556,19.407715,19.298594,19.137995,19.104616,0.842345,0.993874,0.990130,0.984632,0.976392,0.974448,14.336310,18.639938,17.803223,18.448982,21.190639,21.760929,5.93588055e-03,2.77468865e-03,5.86684700e-03,6.12016115e-03,6.49762666e-03,7.17461482e-03,7.18134502e-03
11000,3.828222,1.187226,16.471855,19.478148,19.401630,19.291727,19.126846,19.088886,0.840166,0.993748,0.989817,0.984279,0.975821,0.973630,14.307182,18.611023,17.796329,18.439846,21.215221,21.795828,5.79542453e-03,2.62416131e-03,5.75125916e-03,5.99113572e-03,6.35237293e-03,7.01346854e-03,7.04014953e-03
11500,3.815144,1.183557,16.441902,19.478039,19.397142,19.286362,19.118576,19.075016,0.838623,0.993737,0.989586,0.984004,0.975396,0.972910,14.285203,18.586199,17.791300,18.434410,21.236631,21.825783,5.66365089e-03,2.49626394e-03,5.64230327e-03,5.86525723e-03,6.21289993e-03,6.86162617e-03,6.90355478e-03
12000,3.805163,1.179736,16.417183,19.478085,19.393990,19.281298,19.111078,19.064251,0.837349,0.993737,0.989424,0.983744,0.975012,0.972352,14.274199,18.565683,17.791014,18.430590,21.254305,21.852859,5.53967249e-03,2.38351920e-03,5.53850736e-03,5.74926240e-03,6.07862603e-03,6.71688141e-03,6.77123852e-03
12500,3.778689,1.176062,16.400921,19.478035,19.391981,19.278652,19.106569,19.056328,0.836511,0.993731,0.989321,0.983608,0.974781,0.971942,14.267783,18.545382,17.789890,18.428061,21.270094,21.876387,5.42875721e-03,2.28691287e-03,5.44294715e-03,5.64150093e-03,5.95950615e-03,6.58749929e-03,6.65417686e-03
13000,3.760927,1.172909,16.390160,19.479765,19.391081,19.276482,19.102888,19.049358,0.835955,0.993819,0.989273,0.983496,0.974592,0.971581,14.265378,18.528765,17.790077,18.425508,21.284880,21.894714,5.32996107e-03,2.20515276e-03,5.35797840e-03,5.54563757e-03,5.85202081e-03,6.46988768e-03,6.54908922e-03
13500,3.753502,1.170253,16.381594,19.481487,19.390444,19.275734,19.100002,19.044010,0.835514,0.993906,0.989240,0.983458,0.974442,0.971303,14.265015,18.515457,17.789042,18.424061,21.297789,21.910566,5.24327116e-03,2.13654363e-03,5.28326258e-03,5.46059385e-03,5.75844897e-03,6.36549015e-03,6.45528780e-03
14000,3.730009,1.167809,16.376961,19.483715,19.390514,19.275345,19.098455,19.039639,0.835277,0.994020,0.989242,0.983437,0.974362,0.971076,14.267303,18.503059,17.790682,18.423218,21.308290,21.924309,5.16844401e-03,2.08122516e-03,5.21692913e-03,5.38763963e-03,5.67653729e-03,6.27528690e-03,6.37304597e-03
14500,3.711125,1.166214,16.374121,19.486059,19.391233,19.275469,19.097422,19.036131,0.835129,0.994140,0.989278,0.983443,0.974309,0.970893,14.270800,18.492487,17.790308,18.422810,21.318556,21.937422,5.10502459e-03,2.03725696e-03,5.16071962e-03,5.32522099e-03,5.60684921e-03,6.19750051e-03,6.30260026e-03
15000,3.711846,1.164398,16.371414,19.488583,19.392082,19.275829,19.096411,19.033459,0.834990,0.994268,0.989321,0.983460,0.974258,0.970753,14.274401,18.484257,17.791681,18.421072,21.328211,21.947981,5.05081320e-03,2.00147531e-03,5.11317793e-03,5.27161546e-03,5.54705271e-03,6.12974772e-03,6.24181004e-03
15500,3.698588,1.163060,16.369902,19.490993,19.393490,19.276306,19.096066,19.031450,0.834912,0.994391,0.989392,0.983485,0.974240,0.970647,14.279621,18.475607,17.792896,18.421293,21.337053,21.958908,5.00479364e-03,1.97373331e-03,5.07308776e-03,5.22571988e-03,5.49496664e-03,6.07034797e-03,6.19090628e-03
16000,3.689384,1.162635,16.368378,19.493212,19.394728,19.276731,19.095835,19.029301,0.834835,0.994504,0.989455,0.983507,0.974228,0.970535,14.283267,18.468107,17.793531,18.420046,21.346024,21.970356,4.96456597e-03,1.95227773e-03,5.03802346e-03,5.18581551e-03,5.44890296e-03,6.01689378e-03,6.14548242e-03
