step,train_loss,val_bpb,vq_loss,code_usage
200,8.909504,2.464013,0.000312,1.0000
400,7.352181,2.077830,0.000300,1.0000
600,6.563763,1.935575,0.000334,1.0000
800,6.194750,1.870300,0.000373,1.0000
1000,6.005715,1.824168,0.000404,1.0000
1200,5.858063,1.789117,0.000429,1.0000
1400,5.756018,1.760328,0.000449,1.0000
