step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
4600,0.355215,0.296261,0.495982,0.316328,0.600712,0.369155,0.623525,0.371089,0.699057,0.341738,0.600368,0.367313,0.723330,0.339827,0.559156,0.365474,0.748977,0.346081,0.554866,0.390269,0.698662,0.356101,0.586329,0.453610
4800,0.355627,0.293206,0.504933,0.314764,0.607644,0.366474,0.636149,0.370432,0.708809,0.338308,0.611550,0.366420,0.736294,0.337174,0.566472,0.363040,0.763669,0.343871,0.560217,0.387838,0.711997,0.354274,0.587548,0.449941
5000,0.355787,0.290683,0.513066,0.313490,0.615414,0.364386,0.646200,0.369002,0.718238,0.335884,0.621542,0.365823,0.749157,0.334768,0.574082,0.361396,0.776843,0.341330,0.564532,0.385102,0.723862,0.352861,0.588296,0.446302
5200,0.355696,0.288154,0.519066,0.311866,0.620149,0.361498,0.655478,0.367710,0.727516,0.334068,0.631501,0.365897,0.761593,0.332918,0.580887,0.360334,0.788658,0.339471,0.569490,0.383664,0.735682,0.351282,0.589402,0.443383
5400,0.355254,0.285854,0.525254,0.310352,0.625579,0.359337,0.665767,0.367210,0.735055,0.331612,0.640288,0.365388,0.773442,0.331067,0.587313,0.358862,0.800863,0.337570,0.572912,0.381329,0.746064,0.350114,0.589839,0.440392
5600,0.354881,0.283918,0.530914,0.308793,0.630640,0.357072,0.674365,0.366424,0.741876,0.329430,0.648168,0.364927,0.782199,0.329054,0.592583,0.356834,0.810643,0.335739,0.576107,0.379418,0.755121,0.348865,0.590835,0.437962
5800,0.354041,0.281716,0.535616,0.307581,0.635201,0.355115,0.682130,0.365926,0.748271,0.327687,0.655367,0.364252,0.791361,0.327328,0.598440,0.355419,0.820655,0.334270,0.579699,0.377892,0.764353,0.347663,0.590846,0.435288
6000,0.353537,0.279952,0.539848,0.306302,0.638517,0.353296,0.688815,0.364812,0.754352,0.326214,0.661975,0.364151,0.799605,0.325772,0.603145,0.354184,0.829599,0.332651,0.582203,0.376082,0.772858,0.347018,0.591349,0.433066
6200,0.352524,0.278194,0.542894,0.305086,0.641392,0.351618,0.694922,0.363835,0.759715,0.324634,0.667758,0.363594,0.806973,0.324549,0.607576,0.353506,0.838179,0.331755,0.585500,0.375173,0.779914,0.346220,0.591904,0.431227
6400,0.351412,0.276534,0.545940,0.304187,0.644623,0.350224,0.700474,0.363472,0.764643,0.323135,0.672536,0.363045,0.813678,0.323383,0.611346,0.352543,0.845163,0.330719,0.586916,0.373526,0.786207,0.345705,0.592167,0.429625
6600,0.350353,0.275036,0.548475,0.303120,0.647254,0.349188,0.705504,0.363208,0.768448,0.321950,0.676727,0.362497,0.819484,0.322327,0.614946,0.351947,0.851181,0.329689,0.588876,0.372402,0.792246,0.345129,0.592130,0.427944
6800,0.349422,0.273756,0.550487,0.302150,0.649298,0.347917,0.709510,0.362472,0.771526,0.320733,0.680811,0.362286,0.824679,0.321550,0.617964,0.351344,0.856756,0.328892,0.590529,0.371360,0.797519,0.344766,0.592233,0.426509
7000,0.348359,0.272554,0.552181,0.301217,0.651196,0.347058,0.713291,0.362081,0.774647,0.319887,0.684314,0.361991,0.829135,0.320825,0.620514,0.350650,0.861779,0.328158,0.592132,0.370433,0.801835,0.344150,0.592406,0.425272
7200,0.347366,0.271393,0.553813,0.300435,0.652773,0.346209,0.716716,0.361729,0.777351,0.319000,0.687556,0.361758,0.832940,0.320037,0.622988,0.350244,0.865924,0.327440,0.593562,0.369681,0.805899,0.343755,0.592425,0.424088
7400,0.346516,0.270471,0.555019,0.299732,0.654185,0.345289,0.719606,0.361264,0.779896,0.318247,0.690258,0.361318,0.836709,0.319414,0.624898,0.349682,0.869795,0.326762,0.594725,0.369013,0.809657,0.343382,0.592623,0.423174
7600,0.345614,0.269544,0.556323,0.299118,0.655540,0.344426,0.722425,0.360980,0.781955,0.317432,0.693082,0.361147,0.840320,0.318748,0.626704,0.349074,0.873708,0.326171,0.595569,0.368295,0.813223,0.343027,0.592494,0.422038
7800,0.344775,0.268709,0.557432,0.298504,0.656931,0.343737,0.724944,0.360651,0.783834,0.316783,0.695695,0.360973,0.843614,0.318158,0.628592,0.348728,0.877041,0.325500,0.596514,0.367537,0.816352,0.342654,0.592392,0.421077
8000,0.343910,0.267868,0.558418,0.297927,0.657799,0.342952,0.727179,0.360258,0.785888,0.316159,0.698136,0.360759,0.846973,0.317701,0.630462,0.348393,0.880494,0.325084,0.597487,0.366964,0.819441,0.342356,0.592184,0.420068
