step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497905,0.497808,0.498421,0.498388,0.498506,0.498328,0.499795,0.499591,0.500313,0.500291,0.502753,0.502778,0.499877,0.499705,0.501773,0.501776,0.502776,0.502841,0.499401,0.499359,0.500497,0.500494,0.502940,0.502954,0.500000,0.499864,0.501273,0.501271,0.502791,0.502841,0.500163,0.499842,0.501833,0.501834,0.502770,0.502839
400,0.488063,0.487930,0.492139,0.492031,0.488999,0.488916,0.495785,0.495288,0.496403,0.496298,0.508383,0.507693,0.500928,0.500688,0.507497,0.507516,0.513826,0.513862,0.501513,0.501625,0.495167,0.495011,0.513303,0.513028,0.500193,0.500379,0.507595,0.507581,0.513353,0.513326,0.498217,0.498330,0.508689,0.508702,0.513632,0.513719
600,0.472300,0.472144,0.479917,0.479821,0.475751,0.475997,0.488481,0.487356,0.487601,0.486704,0.514346,0.512198,0.503022,0.502877,0.516800,0.516549,0.532359,0.532291,0.501329,0.500596,0.485421,0.484675,0.530098,0.529872,0.500111,0.500407,0.517362,0.517345,0.531613,0.531413,0.497108,0.497071,0.520242,0.520283,0.532372,0.532339
800,0.452063,0.451804,0.467871,0.467638,0.459097,0.459763,0.480375,0.475036,0.480824,0.476996,0.516625,0.512697,0.502980,0.502919,0.528858,0.528301,0.558958,0.558561,0.501119,0.500697,0.474457,0.472197,0.549076,0.550104,0.498546,0.498899,0.531206,0.531165,0.557868,0.557369,0.494145,0.493283,0.534224,0.534266,0.558327,0.557835
1000,0.426848,0.426493,0.451615,0.451159,0.439751,0.440673,0.475867,0.461609,0.474939,0.465185,0.517033,0.510861,0.507080,0.507002,0.542562,0.541383,0.591694,0.590933,0.500934,0.499624,0.469232,0.458919,0.571504,0.572381,0.497673,0.498207,0.542768,0.542668,0.589478,0.588000,0.495225,0.493295,0.536604,0.536413,0.586981,0.585236
1200,0.403244,0.402801,0.433300,0.432211,0.420095,0.421000,0.472911,0.447322,0.470740,0.453710,0.514725,0.506638,0.510251,0.510154,0.554383,0.551532,0.624809,0.623295,0.501042,0.501251,0.470407,0.449564,0.592404,0.586913,0.495008,0.495504,0.523772,0.522583,0.616347,0.614043,0.494440,0.491951,0.519683,0.518286,0.608818,0.604433
1400,0.381866,0.381228,0.414277,0.412287,0.401657,0.402264,0.476506,0.432959,0.467740,0.443680,0.508951,0.499322,0.518729,0.518402,0.560490,0.553732,0.656183,0.652923,0.502616,0.502928,0.475151,0.443262,0.614373,0.601777,0.494586,0.495155,0.506260,0.503719,0.642674,0.637752,0.491559,0.489133,0.509279,0.504022,0.632576,0.618958
1600,0.362694,0.361695,0.397255,0.393368,0.384241,0.384396,0.488969,0.422365,0.465730,0.434271,0.502514,0.491542,0.524664,0.523598,0.562657,0.549014,0.680144,0.675913,0.501347,0.501527,0.480544,0.437231,0.637576,0.612274,0.495007,0.495562,0.496474,0.489177,0.665708,0.654235,0.489973,0.487601,0.504536,0.491316,0.655603,0.627047
1800,0.346664,0.345039,0.381931,0.374916,0.367400,0.366836,0.502738,0.412922,0.466042,0.426324,0.494911,0.482789,0.527280,0.525834,0.564132,0.542679,0.696682,0.691130,0.500592,0.501173,0.485316,0.433717,0.662475,0.621012,0.494132,0.494481,0.491467,0.474154,0.690653,0.666403,0.487940,0.485523,0.503931,0.481025,0.678100,0.633438
2000,0.333341,0.330634,0.370664,0.357708,0.352215,0.350666,0.518561,0.404513,0.467307,0.419103,0.486998,0.473856,0.529481,0.526900,0.565075,0.536354,0.709955,0.702893,0.499377,0.499974,0.489529,0.429827,0.686453,0.629709,0.496050,0.496361,0.490965,0.464364,0.713893,0.673880,0.486039,0.483479,0.504392,0.470645,0.698162,0.637486
