step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.328700,0.362850,0.000000,7.466563,
1000,1.936961,0.514787,0.000000,1.921892,
2000,1.822992,0.508725,0.000000,1.812181,
3000,1.762682,0.505775,0.000000,1.770128,
4000,1.734306,0.503640,0.000000,1.742939,
5000,1.713777,0.502290,0.000000,1.710735,
6000,1.685322,0.501361,0.000000,1.694127,
7000,1.678201,0.500802,0.000000,1.677611,
8000,1.668333,0.500444,0.000000,1.669328,
9000,1.653166,0.500367,0.000000,1.652597,
10000,1.642536,0.500272,0.000000,1.642021,
11000,1.630858,0.500214,0.000000,1.633521,
12000,1.619622,0.500138,0.000000,1.623418,
13000,1.610311,0.499991,0.000000,1.613834,
14000,1.593184,0.499997,0.000000,1.604184,
15000,1.594216,0.500108,0.000000,1.593111,
16000,1.584555,0.500032,0.000000,1.587544,
17000,1.583292,0.500074,0.000000,1.580493,
18000,1.567931,0.500035,0.000000,1.572982,
19000,1.566213,0.500109,0.000000,1.568795,
20000,1.561704,0.500121,0.000000,1.563350,
21000,1.567319,0.500171,0.000000,1.558191,
22000,1.546304,0.499672,0.000000,1.554669,
23000,1.544250,0.500161,0.000000,1.551127,
24000,1.554742,0.500205,0.000000,1.547987,
