step,train_loss,val_bpb,ln2_norm_L0,ln2_norm_L1,ln2_norm_L2,ln2_norm_L3,ln2_norm_L4,ln2_norm_L5,ln2_mean_L0,ln2_mean_L1,ln2_mean_L2,ln2_mean_L3,ln2_mean_L4,ln2_mean_L5,ln1_norm_L0,ln1_norm_L1,ln1_norm_L2,ln1_norm_L3,ln1_norm_L4,ln1_norm_L5,lm_g_L0,lm_g_L1,lm_g_L2,lm_g_L3,lm_g_L4,lm_g_L5,lm_beta_L0,lm_beta_L1,lm_beta_L2,lm_beta_L3,lm_beta_L4,lm_beta_L5,lm_gamma_L0,lm_gamma_L1,lm_gamma_L2,lm_gamma_L3,lm_gamma_L4,lm_gamma_L5,lut_tv,lut_tv_L0,lut_tv_L1,lut_tv_L2,lut_tv_L3,lut_tv_L4,lut_tv_L5
500,7.243448,2.081053,19.847601,19.668966,19.653341,19.656013,19.678883,19.696283,1.012843,1.003726,1.002929,1.003065,1.004231,1.005118,19.686605,19.622175,19.641354,19.641294,19.656313,19.662079,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.03097177,2.01657581,2.00961065,2.01648903,2.02064443,2.02491832,0.98701316,0.99244702,0.99507982,0.99154299,0.98907232,0.98726344,1.16308263e-04,3.28477647e-04,7.62194031e-05,7.16013456e-05,7.41296099e-05,7.52372944e-05,7.21842807e-05
1000,7.119536,2.433006,20.003880,19.700924,19.678530,19.733919,19.862280,20.056253,1.020812,1.005351,1.004211,1.007034,1.013581,1.023459,19.614525,19.613718,19.622574,19.622982,19.670317,19.728619,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.06262684,2.02058625,2.01233459,2.03942180,2.06409836,2.08872914,0.97564572,0.99315679,0.99454188,0.98370540,0.97043747,0.96199977,6.42081189e-04,1.19301945e-03,5.05061238e-04,5.13636682e-04,5.02721989e-04,5.31747006e-04,6.06300775e-04
1500,7.506790,2.322668,19.980469,19.701290,19.798512,19.853807,19.993677,20.214689,1.019601,1.005351,1.010307,1.013133,1.020270,1.031522,19.644794,19.542513,19.598566,19.569166,19.655754,19.714045,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.06272984,2.02110767,2.03890157,2.06048322,2.09165597,2.11436772,0.97584301,0.99246526,0.98122346,0.97356051,0.95802897,0.95111239,1.28867277e-03,2.07446329e-03,1.23266096e-03,1.17520767e-03,1.22420327e-03,9.96262301e-04,1.02923915e-03
2000,12.542130,4.986509,20.039433,19.769161,19.954109,20.229403,20.335995,20.664255,1.022597,1.008786,1.018200,1.032190,1.037680,1.054360,19.602072,19.447487,19.629696,19.689859,19.818144,19.786150,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.06694293,2.03150225,2.07237005,2.12767339,2.15101385,2.18355799,0.97402483,0.98859507,0.96710956,0.94361514,0.93264133,0.92316252,1.78128793e-03,2.93721468e-03,2.06214655e-03,1.74614368e-03,1.59673940e-03,1.18687272e-03,1.15861057e-03
2500,14.730260,4.183937,20.000168,19.753422,19.958925,20.810141,21.205830,21.656923,1.020590,1.007980,1.018458,1.061605,1.081874,1.104850,19.633537,19.442579,19.603371,19.653677,20.165302,20.065294,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.06144381,2.02872086,2.06406736,2.22020817,2.28672361,2.32632565,0.97649419,0.98897779,0.97210628,0.90919703,0.87770599,0.86758119,2.02539377e-03,3.33303586e-03,2.50702584e-03,1.92372664e-03,1.73144042e-03,1.33063912e-03,1.32649473e-03
3000,13.237771,4.194844,20.052549,19.843052,20.085413,21.522968,21.672070,22.287731,1.023243,1.012532,1.024852,1.097629,1.105505,1.136876,19.627584,19.434727,19.726906,19.706419,20.406889,20.089567,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.07246637,2.04624701,2.09332871,2.33521843,2.38684964,2.43804741,0.97118711,0.98008168,0.95873857,0.86796838,0.84177065,0.83236951,2.29222227e-03,3.83976731e-03,3.04696406e-03,2.22847471e-03,1.95518509e-03,1.34126935e-03,1.34167308e-03
3500,12.778713,3.664451,20.014389,19.802544,20.392397,22.546593,22.507563,22.977451,1.021282,1.010453,1.040407,1.149114,1.147757,1.171811,19.605244,19.499598,19.687737,19.883245,20.590996,20.139380,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.07297802,2.04164577,2.14172125,2.49250102,2.54369569,2.56228518,0.97133845,0.98305517,0.93869078,0.81551856,0.79857981,0.80757838,2.49225644e-03,4.28530248e-03,3.42183327e-03,2.49576988e-03,2.04895274e-03,1.35394791e-03,1.34773238e-03
4000,8.791228,2.508470,20.069050,19.871784,20.455233,22.413841,22.536858,22.906645,1.024038,1.013963,1.043549,1.142381,1.149196,1.168235,19.576550,19.532709,19.699846,19.887207,20.604229,20.115255,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.08363891,2.05774045,2.16910505,2.49773908,2.54706240,2.53728247,0.96624762,0.97633898,0.92725283,0.81533301,0.80750710,0.81468302,2.63242684e-03,4.72110184e-03,3.72309703e-03,2.61862879e-03,2.03038915e-03,1.35425816e-03,1.34708604e-03
4500,9.010418,2.648039,20.209330,20.004944,20.459724,22.636629,22.552748,22.910652,1.031175,1.020736,1.043781,1.153501,1.149992,1.168436,19.578106,19.499166,19.722202,19.922428,20.614460,20.115213,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.10512376,2.08578682,2.17912316,2.57769823,2.56795597,2.53991699,0.95617700,0.96378338,0.92647207,0.79448217,0.80387360,0.81430858,2.74743212e-03,5.13770524e-03,3.95203987e-03,2.65978836e-03,2.03363644e-03,1.35433138e-03,1.34709140e-03
5000,11.582853,4.163743,20.155659,20.050903,20.496248,23.129622,22.637396,22.927980,1.028443,1.023058,1.045722,1.178216,1.154235,1.169306,19.545746,19.457222,19.830471,20.139235,20.667671,20.115387,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.10207248,2.08357215,2.17649817,2.70813394,2.62539506,2.55004787,0.95753163,0.96681666,0.93162215,0.75958693,0.79260719,0.81269526,2.82766061e-03,5.38536068e-03,4.14857967e-03,2.68098526e-03,2.04912224e-03,1.35478727e-03,1.34712853e-03
