step,frac_zero,frac_pos,frac_neg,nonzero_per_hyperplane,hamming_vs_init,hamming_frac,sign_flips_vs_init,zero_to_nonzero_vs_init,nonzero_to_zero_vs_init,churn_vs_prev_eval,T_min,T_mean,T_max,b_min,b_mean,b_max,b_absmean,b_frac_nonzero,mean_nonzero_count,proj_std,score_over_temp,divisor_mean,sparsity_surrogate,penalty_value,target_nonzero_frac,sparsity_slack,hinge_active,topk_k,topk_mask_churn,topk_mask_entered,topk_mask_vs_init
2000,0.500000,0.249966,0.250034,192.0000,5616443,0.59513974,901187,2357628,2357628,1850553,0.349194,0.372070,0.397073,-0.040578,0.000052,0.048429,0.004996,1.000000,192.0000,0.861904,1.4114,16.0000,0.709643,0.000000,0.000000,+0.709643,0,192,1850512,925256,4715256
2200,0.500000,0.250000,0.250000,192.0000,5634934,0.59709913,917892,2358521,2358521,1709521,0.343284,0.368185,0.395444,-0.050615,0.000071,0.060921,0.005564,1.000000,192.0000,0.862645,1.3476,16.0000,0.714588,0.000000,0.000000,+0.714588,0,192,1709518,854759,4717042
2400,0.500000,0.249902,0.250098,192.0000,5651447,0.59884888,931823,2359812,2359812,1611112,0.334558,0.364205,0.394682,-0.052562,0.000078,0.063677,0.006121,1.000000,192.0000,0.862498,1.2855,16.0000,0.719864,0.000000,0.000000,+0.719864,0,192,1611110,805555,4719624
2600,0.500000,0.250064,0.249936,192.0000,5663086,0.60008222,943606,2359740,2359740,1539478,0.327411,0.360170,0.394771,-0.051427,0.000073,0.067892,0.006655,1.000000,192.0000,0.862335,1.2277,16.0000,0.725279,0.000000,0.000000,+0.725279,0,192,1539478,769739,4719480
2800,0.500000,0.249984,0.250016,192.0000,5676503,0.60150391,954023,2361240,2361240,1489080,0.319552,0.356151,0.393081,-0.054309,0.000086,0.069979,0.007152,1.000000,192.0000,0.862473,1.1746,16.0000,0.730709,0.000000,0.000000,+0.730709,0,192,1489080,744540,4722480
3000,0.500000,0.250078,0.249922,192.0000,5685028,0.60240728,962988,2361020,2361020,1435842,0.310828,0.352105,0.391554,-0.061838,0.000075,0.072031,0.007612,1.000000,192.0000,0.861873,1.1239,16.0000,0.736318,0.000000,0.000000,+0.736318,0,192,1435842,717921,4722040
3200,0.500000,0.250040,0.249960,192.0000,5694154,0.60337430,971800,2361177,2361177,1396384,0.303998,0.348012,0.390709,-0.063842,0.000059,0.076201,0.008056,1.000000,192.0000,0.861708,1.0798,16.0000,0.742093,0.000000,0.000000,+0.742093,0,192,1396384,698192,4722354
3400,0.500000,0.250056,0.249944,192.0000,5700843,0.60408306,978537,2361153,2361153,1366236,0.297096,0.343860,0.390315,-0.065767,0.000075,0.078713,0.008477,1.000000,192.0000,0.861735,1.0379,16.0000,0.748194,0.000000,0.000000,+0.748194,0,192,1366236,683118,4722306
3600,0.500000,0.250082,0.249918,192.0000,5708500,0.60489446,985410,2361545,2361545,1343442,0.290221,0.339667,0.390155,-0.069606,0.000086,0.079416,0.008889,1.000000,192.0000,0.862005,0.9972,16.0000,0.754406,0.000000,0.000000,+0.754406,0,192,1343442,671721,4723090
3800,0.500000,0.250101,0.249899,192.0000,5713441,0.60541803,990575,2361433,2361433,1325636,0.283583,0.335478,0.388104,-0.068728,0.000090,0.085384,0.009266,1.000000,192.0000,0.861863,0.9578,16.0000,0.760642,0.000000,0.000000,+0.760642,0,192,1325636,662818,4722866
4000,0.500000,0.249981,0.250019,192.0000,5717777,0.60587746,995745,2361016,2361016,1312498,0.275827,0.331242,0.385965,-0.068091,0.000078,0.085181,0.009653,1.000000,192.0000,0.862916,0.9219,16.0000,0.766919,0.000000,0.000000,+0.766919,0,192,1312498,656249,4722032
