step,train_loss,val_bpb,aux_ce,aux_top1
200,10.348572,3.154431,0.000000,0.000000
400,10.131540,3.059412,0.000000,0.000000
600,9.732441,2.912164,0.000000,0.000000
800,9.189825,2.731349,0.000000,0.000000
1000,8.613086,2.562424,0.000000,0.000000
1200,8.119295,2.431091,0.000000,0.000000
1400,7.744265,2.333984,0.000000,0.000244
1600,7.478919,2.267921,0.000000,0.000000
1800,7.293300,2.225098,0.000000,0.000000
2000,7.174489,2.198657,0.000000,0.000000
2200,7.111797,2.180735,0.000000,0.000000
2400,7.071062,2.166491,0.000000,0.000000
2600,7.001695,2.149098,0.000000,0.000000
2800,6.963514,2.136078,0.000000,0.000000
3000,6.925403,2.126232,0.000000,0.000000
3200,6.880887,2.114826,0.000000,0.000000
