step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
2000,0.440685,0.450254,0.372518,0.356918,0.548284,0.443147,0.517376,0.405112,0.574088,0.488812,0.512616,0.407585,0.578963,0.450515,0.578238,0.418401,0.557600,0.451655,0.454521,0.382930,0.530752,0.439065,0.592130,0.429404,0.584144,0.470190,0.453915,0.383391,0.487497,0.424916,0.601297,0.432660,0.517501,0.462343,0.424855,0.417320,0.544950,0.496876,0.600493,0.457495,0.494785,0.478862,0.438728,0.431920,0.513967,0.485690,0.585358,0.461980
2200,0.437178,0.446355,0.371222,0.346522,0.573907,0.448114,0.525823,0.394569,0.579110,0.484137,0.528123,0.404253,0.605600,0.455405,0.593311,0.410956,0.568187,0.445221,0.462771,0.373767,0.543533,0.432064,0.604502,0.421230,0.592275,0.464344,0.461725,0.374161,0.494698,0.416470,0.612851,0.422295,0.520083,0.456316,0.414792,0.405227,0.545948,0.489475,0.606810,0.446692,0.494212,0.475485,0.430501,0.422293,0.510750,0.477796,0.588333,0.449223
2400,0.433879,0.442474,0.373830,0.337128,0.600330,0.453945,0.534229,0.385397,0.585637,0.480949,0.542274,0.399562,0.632306,0.459315,0.607344,0.402939,0.577593,0.439986,0.472791,0.366161,0.557030,0.423866,0.615822,0.411746,0.597858,0.457204,0.472768,0.367407,0.504650,0.409540,0.622655,0.411537,0.523632,0.451299,0.407714,0.395077,0.547726,0.482449,0.611844,0.435547,0.493551,0.471356,0.422874,0.412991,0.507359,0.469908,0.592576,0.437675
2600,0.430734,0.438670,0.378473,0.329734,0.625600,0.458233,0.542013,0.376763,0.589081,0.475706,0.557134,0.395886,0.659622,0.463095,0.620349,0.396048,0.585842,0.434372,0.482053,0.358318,0.570922,0.416888,0.628292,0.404380,0.604705,0.451300,0.482472,0.361356,0.516055,0.403602,0.631174,0.401153,0.527617,0.446561,0.401442,0.386036,0.550281,0.475817,0.619246,0.425789,0.493800,0.468334,0.415824,0.404346,0.505477,0.462880,0.596391,0.425565
2800,0.427141,0.434231,0.383573,0.323071,0.651172,0.460456,0.548595,0.367489,0.593929,0.471848,0.571429,0.392317,0.687958,0.466464,0.631352,0.388336,0.593642,0.428783,0.492959,0.352830,0.588604,0.412240,0.639587,0.396473,0.608508,0.444889,0.491607,0.354716,0.528555,0.398565,0.640531,0.391048,0.529622,0.440867,0.396950,0.378042,0.553034,0.469389,0.625824,0.415485,0.493461,0.465062,0.411294,0.398188,0.504075,0.456278,0.600510,0.415016
3000,0.423963,0.430132,0.389795,0.317665,0.677576,0.463421,0.555873,0.359016,0.597001,0.467117,0.585232,0.389096,0.716142,0.469453,0.642854,0.381326,0.601564,0.422640,0.504064,0.347089,0.605857,0.407513,0.651149,0.389528,0.614373,0.438269,0.501134,0.349378,0.542844,0.394485,0.651479,0.382671,0.533374,0.435704,0.392968,0.370401,0.554883,0.462344,0.632052,0.405375,0.493899,0.462530,0.406452,0.391232,0.502025,0.448563,0.605240,0.404476
3200,0.421983,0.427145,0.396529,0.312733,0.702823,0.466279,0.564349,0.350779,0.600555,0.463468,0.600067,0.384710,0.743730,0.471357,0.651424,0.373925,0.611070,0.418124,0.515520,0.342505,0.623711,0.404316,0.659968,0.381613,0.617166,0.431365,0.512866,0.344574,0.558558,0.389460,0.660703,0.373693,0.537493,0.431219,0.389964,0.363868,0.557537,0.455566,0.639585,0.396018,0.493495,0.459173,0.401136,0.384140,0.499846,0.440895,0.611629,0.395143
3400,0.419113,0.423321,0.403177,0.308102,0.727781,0.467839,0.571605,0.343248,0.602482,0.458694,0.614216,0.380859,0.770832,0.473528,0.660990,0.367640,0.618577,0.413196,0.526392,0.337227,0.642154,0.400421,0.668144,0.374421,0.621413,0.426253,0.523581,0.340222,0.573242,0.386478,0.670081,0.365337,0.541303,0.426772,0.387886,0.357359,0.559210,0.448982,0.645040,0.386977,0.492270,0.455153,0.398187,0.378733,0.499176,0.434749,0.616595,0.385928
3600,0.417064,0.420336,0.409496,0.304551,0.750838,0.467978,0.578377,0.336136,0.604998,0.455114,0.626299,0.377272,0.797674,0.475700,0.669127,0.361076,0.625394,0.408087,0.536685,0.333170,0.660065,0.397017,0.676514,0.367600,0.623678,0.420492,0.531823,0.335563,0.588436,0.384136,0.679460,0.357496,0.543732,0.421947,0.386258,0.351720,0.562483,0.442774,0.652772,0.378891,0.491993,0.452024,0.394162,0.373042,0.496862,0.427547,0.621757,0.376726
3800,0.414450,0.416791,0.415478,0.300699,0.771974,0.467713,0.583858,0.328819,0.605952,0.450959,0.638187,0.374213,0.823320,0.477440,0.676288,0.354299,0.632460,0.403573,0.546402,0.329468,0.676780,0.393094,0.684980,0.361533,0.626939,0.415440,0.541553,0.331280,0.602523,0.381395,0.688663,0.350626,0.547918,0.418831,0.386111,0.347180,0.566097,0.436982,0.659504,0.371083,0.492286,0.449522,0.392304,0.368893,0.497129,0.422575,0.626851,0.369173
4000,0.412004,0.413574,0.421880,0.297479,0.792567,0.467469,0.590008,0.322903,0.608233,0.447328,0.649765,0.371008,0.847168,0.477343,0.683076,0.347585,0.639561,0.399816,0.555714,0.325679,0.693258,0.390274,0.690878,0.354630,0.631386,0.411313,0.551497,0.328453,0.616696,0.379295,0.697423,0.343564,0.551738,0.415432,0.386353,0.343152,0.571655,0.432487,0.666129,0.364844,0.492154,0.446968,0.390008,0.364880,0.496844,0.417566,0.632479,0.362996
4200,0.410093,0.410977,0.426954,0.294832,0.812192,0.467584,0.595064,0.317305,0.609267,0.443047,0.660249,0.367965,0.870825,0.477295,0.689255,0.342266,0.644969,0.395552,0.565142,0.322789,0.708565,0.386714,0.697523,0.349702,0.631067,0.405326,0.559932,0.325126,0.630896,0.376481,0.704054,0.337261,0.555228,0.411928,0.387500,0.339783,0.576193,0.428156,0.671102,0.357961,0.491141,0.443739,0.388877,0.361798,0.497466,0.413061,0.636730,0.356572
4400,0.408737,0.408795,0.431366,0.291882,0.829629,0.466590,0.598237,0.311707,0.610749,0.440007,0.670291,0.365033,0.893248,0.477585,0.694029,0.336599,0.651745,0.392141,0.573255,0.319797,0.725296,0.383732,0.703418,0.343932,0.632945,0.401202,0.567256,0.322115,0.645286,0.374766,0.710898,0.331786,0.557970,0.408374,0.388324,0.336620,0.579458,0.423665,0.676408,0.351847,0.491510,0.441467,0.388015,0.358919,0.497810,0.408411,0.641273,0.350602
4600,0.407065,0.406535,0.435402,0.289221,0.846366,0.465261,0.604179,0.307152,0.611188,0.436653,0.678564,0.362979,0.914928,0.478795,0.700239,0.331882,0.658008,0.388562,0.581276,0.317270,0.739994,0.381485,0.710394,0.339328,0.634871,0.397500,0.575149,0.319139,0.657608,0.373096,0.717654,0.326508,0.560576,0.405205,0.389586,0.334154,0.582445,0.419007,0.680706,0.346126,0.491687,0.439455,0.386296,0.355747,0.496974,0.403461,0.645888,0.344853
4800,0.405783,0.404689,0.438764,0.286680,0.861352,0.464008,0.609318,0.302904,0.611956,0.434034,0.685740,0.360329,0.933363,0.478436,0.704691,0.327694,0.663997,0.385772,0.588435,0.314908,0.754854,0.379463,0.715077,0.334699,0.636818,0.394158,0.581489,0.316521,0.669939,0.371458,0.723939,0.321660,0.563653,0.402852,0.391448,0.332152,0.586295,0.414735,0.685241,0.340944,0.491745,0.437185,0.385320,0.353139,0.497117,0.399355,0.650060,0.340354
5000,0.404181,0.402546,0.441533,0.284270,0.877162,0.463272,0.613056,0.298707,0.613753,0.432182,0.692769,0.357448,0.952778,0.477792,0.709764,0.324149,0.668844,0.382642,0.594690,0.312385,0.767548,0.376448,0.720128,0.330422,0.638746,0.390807,0.588416,0.314264,0.682017,0.369946,0.728370,0.316914,0.565504,0.400244,0.392936,0.330327,0.590023,0.411053,0.688937,0.335639,0.492114,0.435244,0.385014,0.351121,0.497139,0.395114,0.653510,0.335394
5200,0.402766,0.400733,0.443752,0.282317,0.889542,0.461817,0.615312,0.294633,0.612703,0.429120,0.698976,0.355464,0.970288,0.477254,0.713482,0.320791,0.672619,0.379717,0.600420,0.310014,0.778880,0.373894,0.724960,0.326918,0.639861,0.387647,0.594915,0.312186,0.693133,0.368882,0.732763,0.313082,0.567550,0.397918,0.394581,0.328622,0.593559,0.407982,0.693466,0.331655,0.492574,0.433558,0.384783,0.349463,0.497926,0.391816,0.657059,0.331481
5400,0.401461,0.399056,0.445138,0.280196,0.900844,0.460451,0.618538,0.291076,0.613305,0.427099,0.704576,0.353858,0.985581,0.477253,0.715864,0.317354,0.677199,0.377334,0.606174,0.308023,0.789978,0.371423,0.729033,0.323485,0.641376,0.385052,0.600018,0.310130,0.702730,0.367842,0.737450,0.309571,0.570032,0.396016,0.396656,0.327121,0.596495,0.404284,0.696517,0.327894,0.493647,0.432654,0.384920,0.347833,0.498735,0.389016,0.660079,0.327927
5600,0.400498,0.397742,0.445774,0.278199,0.910234,0.458712,0.620843,0.287993,0.613438,0.425303,0.710066,0.352499,1.000385,0.477053,0.719121,0.314903,0.680955,0.375255,0.610945,0.306204,0.800581,0.369248,0.732301,0.320260,0.643029,0.383107,0.605255,0.308555,0.711286,0.366564,0.740108,0.306154,0.572286,0.394015,0.399058,0.326360,0.600385,0.401572,0.698888,0.324174,0.494058,0.431503,0.384879,0.346319,0.499003,0.386217,0.662429,0.324684
5800,0.399697,0.396672,0.446126,0.276358,0.919409,0.457420,0.623047,0.285239,0.614437,0.423954,0.714030,0.350956,1.012573,0.476328,0.721260,0.312276,0.685425,0.373542,0.615375,0.304429,0.809685,0.367360,0.734815,0.317257,0.644653,0.381436,0.609855,0.306960,0.719956,0.365645,0.744161,0.303231,0.573939,0.392384,0.400849,0.325417,0.602898,0.398901,0.701106,0.320818,0.494179,0.430195,0.384858,0.345263,0.499341,0.383503,0.664744,0.321433
6000,0.398917,0.395641,0.446240,0.274695,0.927030,0.456223,0.623553,0.282435,0.614483,0.422387,0.717512,0.349446,1.024310,0.475629,0.723041,0.309814,0.688816,0.371682,0.619305,0.302977,0.818045,0.365716,0.738433,0.314695,0.644463,0.379101,0.614222,0.305677,0.727181,0.364666,0.748143,0.300836,0.575006,0.390597,0.402574,0.324783,0.605790,0.396802,0.704096,0.318227,0.494487,0.428936,0.384982,0.344280,0.500160,0.381405,0.666967,0.318661
6200,0.397965,0.394489,0.445688,0.273039,0.932182,0.454171,0.623633,0.279780,0.613950,0.420648,0.720836,0.348233,1.035028,0.475209,0.723875,0.307315,0.691869,0.370322,0.623154,0.301965,0.826276,0.364891,0.741279,0.312473,0.645413,0.377561,0.618177,0.304726,0.734175,0.364175,0.750994,0.298779,0.577212,0.389672,0.404396,0.324561,0.608770,0.394977,0.706362,0.315914,0.494694,0.427853,0.385296,0.343647,0.501077,0.379492,0.669849,0.316463
6400,0.397121,0.393531,0.445314,0.271613,0.937823,0.453062,0.624003,0.277733,0.613517,0.419092,0.723780,0.346972,1.044477,0.474888,0.725125,0.305549,0.694408,0.368923,0.626208,0.300873,0.832533,0.363493,0.743742,0.310482,0.645910,0.376028,0.621204,0.303620,0.740595,0.363545,0.753389,0.296644,0.578816,0.388914,0.406156,0.324111,0.611292,0.393557,0.708446,0.313857,0.494686,0.426749,0.385924,0.343285,0.501596,0.377818,0.671850,0.314494
6600,0.396482,0.392801,0.445161,0.270513,0.942436,0.452033,0.624423,0.275975,0.613829,0.418123,0.725983,0.345936,1.052827,0.474479,0.726379,0.303904,0.697046,0.367878,0.628680,0.299793,0.838039,0.362054,0.745927,0.308687,0.646339,0.374545,0.624261,0.302703,0.746177,0.362791,0.755488,0.294946,0.580257,0.388114,0.407830,0.323974,0.613822,0.392253,0.710015,0.311907,0.494921,0.425933,0.385982,0.342546,0.502249,0.376328,0.673369,0.312703
6800,0.395869,0.392118,0.444454,0.269337,0.946114,0.450660,0.624694,0.274251,0.613068,0.416719,0.728207,0.344950,1.060054,0.473937,0.726817,0.302321,0.699983,0.367006,0.631358,0.299036,0.843155,0.360926,0.747507,0.307104,0.646812,0.373345,0.627260,0.302137,0.751481,0.362534,0.757047,0.293313,0.581172,0.387081,0.409465,0.323927,0.616380,0.391245,0.711236,0.310144,0.495165,0.425301,0.386361,0.342160,0.502702,0.375044,0.675295,0.311214
7000,0.395520,0.391724,0.443880,0.268302,0.948592,0.449366,0.624610,0.272737,0.612773,0.415636,0.730242,0.344291,1.066731,0.473876,0.727990,0.301003,0.701794,0.366072,0.633585,0.298316,0.847629,0.359844,0.749127,0.305620,0.647283,0.372350,0.629822,0.301663,0.755643,0.362178,0.758638,0.291874,0.581913,0.386217,0.410823,0.323951,0.618070,0.390130,0.712208,0.308607,0.495041,0.424468,0.386608,0.341691,0.502959,0.373789,0.676411,0.309715
7200,0.395035,0.391172,0.442946,0.267288,0.951099,0.448515,0.624059,0.271313,0.612707,0.414869,0.732092,0.343547,1.072807,0.473724,0.728471,0.299821,0.703167,0.365198,0.635634,0.297750,0.851678,0.358853,0.750424,0.304504,0.647416,0.371271,0.631878,0.300960,0.759175,0.361803,0.760218,0.290680,0.582600,0.385387,0.411910,0.323803,0.619632,0.389134,0.713165,0.307253,0.495278,0.423923,0.386794,0.341293,0.503240,0.372810,0.677598,0.308469
7400,0.394534,0.390635,0.442151,0.266408,0.952930,0.447543,0.623828,0.270059,0.612723,0.414217,0.733955,0.343045,1.078161,0.473344,0.729145,0.298809,0.704695,0.364450,0.637536,0.297177,0.855408,0.358222,0.751384,0.303372,0.647839,0.370615,0.633755,0.300398,0.762556,0.361373,0.761623,0.289527,0.583404,0.384773,0.412883,0.323674,0.620874,0.388024,0.713948,0.306032,0.495554,0.423524,0.387135,0.341037,0.503494,0.371837,0.678612,0.307448
7600,0.394059,0.390177,0.441349,0.265586,0.954772,0.446754,0.623664,0.269027,0.612617,0.413532,0.735727,0.342590,1.083336,0.473189,0.730137,0.297901,0.706057,0.363568,0.639199,0.296665,0.858651,0.357437,0.752531,0.302348,0.647921,0.369732,0.635710,0.299987,0.765917,0.361326,0.762610,0.288418,0.584276,0.384278,0.414123,0.323801,0.621798,0.387039,0.714898,0.305005,0.495635,0.423013,0.387364,0.340727,0.503687,0.370828,0.679398,0.306278
7800,0.393787,0.389874,0.440545,0.264847,0.955573,0.445586,0.623098,0.267888,0.612395,0.412854,0.737029,0.342075,1.088037,0.473101,0.730517,0.296969,0.707618,0.362953,0.640905,0.296221,0.862185,0.356872,0.753824,0.301555,0.648357,0.369148,0.637406,0.299551,0.768893,0.361066,0.763371,0.287425,0.584852,0.383796,0.414851,0.323619,0.623054,0.386405,0.715899,0.304008,0.495738,0.422604,0.387621,0.340550,0.503868,0.369893,0.680309,0.305324
8000,0.393188,0.389297,0.439668,0.264052,0.956536,0.444670,0.622283,0.266748,0.612326,0.412286,0.738305,0.341579,1.092968,0.473126,0.730715,0.296059,0.708893,0.362339,0.642415,0.295775,0.865146,0.356228,0.755258,0.300682,0.648876,0.368494,0.638895,0.299037,0.771864,0.360935,0.764478,0.286564,0.585724,0.383452,0.415744,0.323583,0.624371,0.385671,0.716918,0.303181,0.496099,0.422350,0.387896,0.340389,0.504002,0.369019,0.681277,0.304460
