seed,update,env_steps,ep_ret_mean,ep_ret_max,ep_len_mean,lr,kl
0,1,262144,7.0,27.8,22.0,0.0003,0.0008
0,10,2621440,76.2,483.5,96.0,0.0003,0.0006
0,20,5242880,180.2,699.5,176.0,0.0003,0.0004
0,30,7864320,257.8,879.6,213.0,0.0003,0.0003
0,40,10485760,285.3,868.4,214.0,0.0003,0.0002
0,50,13107200,282.5,766.6,205.0,0.0003,0.0002
0,60,15728640,283.4,716.8,196.0,0.0003,0.0002
0,70,18350080,284.6,601.1,184.0,0.00029,0.0002
0,80,20971520,281.2,613.4,170.0,0.00029,0.0004
0,90,23592960,276.1,553.6,160.0,0.00029,0.0003
0,100,26214400,271.8,604.1,154.0,0.00029,0.0002
0,110,28835840,268.8,715.7,149.0,0.00029,0.0003
0,120,31457280,267.7,510.0,147.0,0.00028,0.0002
0,130,34078720,267.2,844.8,145.0,0.00028,0.0003
0,140,36700160,268.6,460.8,144.0,0.00028,0.0005
0,150,39321600,273.7,453.2,144.0,0.00028,0.0007
0,160,41943040,281.5,403.5,144.0,0.00027,0.0009
0,170,44564480,299.1,416.9,147.0,0.00027,0.0018
0,180,47185920,329.8,427.3,154.0,0.00027,0.0018
0,190,49807360,337.9,421.2,154.0,0.00026,0.0015
0,200,52428800,337.4,410.1,152.0,0.00026,0.0012
0,210,55050240,336.1,414.8,150.0,0.00025,0.0008
0,220,57671680,338.0,410.3,150.0,0.00025,0.0008
0,230,60293120,343.6,409.1,151.0,0.00024,0.001
0,240,62914560,351.2,428.1,153.0,0.00024,0.0007
0,250,65536000,358.5,423.6,154.0,0.00024,0.0007
0,260,68157440,361.4,437.2,153.0,0.00023,0.0007
0,270,70778880,361.3,436.8,151.0,0.00023,0.0008
0,280,73400320,362.5,439.8,149.0,0.00022,0.0009
0,290,76021760,363.2,446.7,148.0,0.00022,0.0009
0,300,78643200,363.9,443.4,147.0,0.00021,0.001
0,310,81264640,363.8,446.2,147.0,0.00021,0.001
0,320,83886080,363.5,439.1,146.0,0.0002,0.0013
0,330,86507520,361.6,439.5,146.0,0.00019,0.0011
0,340,89128960,359.9,435.5,145.0,0.00019,0.0009
0,350,91750400,359.4,434.7,145.0,0.00018,0.0007
0,360,94371840,361.4,444.1,145.0,0.00018,0.0007
0,370,96993280,367.9,452.0,146.0,0.00017,0.0009
0,380,99614720,379.9,467.0,148.0,0.00017,0.0008
0,390,102236160,398.9,495.5,152.0,0.00016,0.0007
0,400,104857600,417.0,513.2,155.0,0.00016,0.0007
0,410,107479040,425.6,520.4,157.0,0.00015,0.0006
0,420,110100480,430.4,527.9,157.0,0.00015,0.0005
0,430,112721920,434.8,529.2,158.0,0.00014,0.0004
0,440,115343360,438.6,526.6,158.0,0.00013,0.0004
0,450,117964800,440.7,534.6,158.0,0.00013,0.0003
0,460,120586240,443.1,529.0,158.0,0.00012,0.0003
0,470,123207680,445.5,534.5,158.0,0.00012,0.0003
0,480,125829120,446.7,551.6,159.0,0.00011,0.0002
0,490,128450560,449.3,528.0,159.0,0.00011,0.0002
0,500,131072000,451.3,534.6,160.0,0.0001,0.0002
0,510,133693440,453.1,547.6,160.0,9.8e-05,0.0002
0,520,136314880,454.1,539.6,160.0,9.4e-05,0.0002
0,530,138936320,454.6,537.9,160.0,8.9e-05,0.0001
0,540,141557760,455.7,557.8,161.0,8.5e-05,0.0001
0,550,144179200,456.4,569.0,161.0,8e-05,0.0001
0,560,146800640,456.5,563.7,161.0,7.6e-05,0.0001
0,570,149422080,457.9,566.1,162.0,7.2e-05,0.0001
0,580,152043520,458.3,563.9,162.0,6.8e-05,0.0001
0,590,154664960,457.9,558.3,162.0,6.4e-05,0.0001
0,600,157286400,457.2,565.8,162.0,6.1e-05,0.0001
0,610,159907840,456.8,558.6,162.0,5.7e-05,0.0001
0,620,162529280,456.7,558.6,162.0,5.4e-05,0.0001
0,630,165150720,456.4,560.3,162.0,5.1e-05,0.0001
0,640,167772160,456.0,552.1,162.0,4.8e-05,0.0
0,650,170393600,455.2,556.5,162.0,4.5e-05,0.0001
0,660,173015040,455.2,568.2,163.0,4.3e-05,0.0
0,670,175636480,455.0,561.5,163.0,4.1e-05,0.0
0,680,178257920,453.9,556.3,163.0,3.9e-05,0.0
0,690,180879360,453.9,574.9,163.0,3.7e-05,0.0
0,700,183500800,452.9,558.7,164.0,3.5e-05,0.0
0,710,186122240,453.6,549.2,164.0,3.4e-05,0.0
0,720,188743680,451.9,558.0,164.0,3.3e-05,0.0
0,730,191365120,450.9,569.5,164.0,3.2e-05,0.0
0,740,193986560,451.7,565.3,164.0,3.1e-05,0.0
0,750,196608000,451.0,565.3,164.0,3e-05,0.0
0,760,199229440,450.7,564.5,164.0,3e-05,0.0
1,1,262144,6.8,27.2,22.0,0.0003,0.0007
1,10,2621440,75.7,469.6,96.0,0.0003,0.0005
1,20,5242880,177.8,637.2,177.0,0.0003,0.0004
1,30,7864320,259.5,780.1,216.0,0.0003,0.0003
1,40,10485760,287.2,832.6,214.0,0.0003,0.0002
1,50,13107200,283.4,912.0,204.0,0.0003,0.0002
1,60,15728640,283.2,770.2,192.0,0.0003,0.0002
1,70,18350080,282.7,583.1,178.0,0.00029,0.0004
1,80,20971520,277.1,714.5,164.0,0.00029,0.0004
1,90,23592960,269.8,538.6,154.0,0.00029,0.0003
1,100,26214400,264.7,573.0,147.0,0.00029,0.0003
1,110,28835840,262.6,480.4,144.0,0.00029,0.0004
1,120,31457280,262.3,487.8,142.0,0.00028,0.0004
1,130,34078720,264.7,582.5,143.0,0.00028,0.0005
1,140,36700160,273.0,400.6,145.0,0.00028,0.0009
1,150,39321600,297.1,402.0,152.0,0.00028,0.0013
