step,L0.qk_joint.T_soft,L0.qk_joint.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.ffn_lut.T_soft,L0.ffn_lut.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_joint.T_soft,L1.qk_joint.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.ffn_lut.T_soft,L1.ffn_lut.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_joint.T_soft,L2.qk_joint.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.ffn_lut.T_soft,L2.ffn_lut.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_joint.T_soft,L3.qk_joint.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.ffn_lut.T_soft,L3.ffn_lut.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_joint.T_soft,L4.qk_joint.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.ffn_lut.T_soft,L4.ffn_lut.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_joint.T_soft,L5.qk_joint.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.ffn_lut.T_soft,L5.ffn_lut.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498261,0.498136,0.499027,0.499030,0.499417,0.499363,0.499770,0.499513,0.498055,0.497985,0.500255,0.500127,0.499370,0.499368,0.499545,0.499469,0.499957,0.499784,0.499068,0.498937,0.500064,0.499909,0.499485,0.499506,0.499669,0.499572,0.500067,0.499938,0.498993,0.498858,0.500035,0.499935,0.499541,0.499553,0.499748,0.499639,0.500090,0.499947,0.499016,0.498877,0.499993,0.499854,0.499225,0.499229,0.499405,0.499310,0.499932,0.499746,0.498990,0.498878,0.500058,0.499894,0.499470,0.499474,0.499616,0.499516,0.500014,0.499821,0.498974,0.498847
400,0.491474,0.490884,0.497579,0.497598,0.498748,0.498677,0.501078,0.499206,0.488997,0.488915,0.498199,0.497947,0.499400,0.499600,0.500327,0.499875,0.503148,0.502077,0.496537,0.495913,0.500403,0.499916,0.501882,0.502120,0.503249,0.503132,0.503260,0.503117,0.503699,0.502743,0.499937,0.499939,0.500257,0.500473,0.501267,0.501161,0.501011,0.501397,0.504672,0.504157,0.499127,0.498556,0.499568,0.499690,0.500006,0.500035,0.499298,0.499896,0.505388,0.505043,0.499675,0.499370,0.498172,0.498258,0.500043,0.500046,0.499892,0.500163,0.504977,0.504492
600,0.478014,0.477241,0.498390,0.498398,0.496108,0.495874,0.501487,0.497242,0.474017,0.473954,0.492511,0.491967,0.497825,0.498229,0.499885,0.498837,0.508964,0.504612,0.494885,0.492980,0.501188,0.500325,0.504962,0.505830,0.510338,0.510180,0.510883,0.508951,0.518105,0.516255,0.499769,0.499277,0.498303,0.499227,0.501517,0.502238,0.500165,0.503005,0.522319,0.521572,0.500002,0.499403,0.499312,0.499591,0.499903,0.500014,0.497600,0.501082,0.521683,0.520895,0.499627,0.499401,0.499916,0.499767,0.500868,0.500665,0.502786,0.504194,0.520936,0.519637
800,0.460020,0.459167,0.494404,0.494120,0.490918,0.490278,0.506089,0.493517,0.455116,0.455158,0.484782,0.485133,0.495960,0.496805,0.500967,0.498647,0.523361,0.510150,0.494906,0.491468,0.505543,0.504047,0.506287,0.507621,0.518354,0.517699,0.528344,0.521089,0.537986,0.534508,0.500214,0.499359,0.502502,0.505257,0.517191,0.517809,0.519177,0.524290,0.546619,0.545112,0.500578,0.500209,0.503923,0.504565,0.513383,0.511258,0.515409,0.519576,0.544374,0.543101,0.497612,0.497492,0.502352,0.502657,0.509106,0.507529,0.518917,0.520206,0.544010,0.542688
1000,0.440663,0.439671,0.486635,0.485829,0.485366,0.484409,0.520306,0.489297,0.434788,0.435045,0.475932,0.477053,0.493305,0.494675,0.503455,0.500319,0.543902,0.517914,0.493453,0.488468,0.509987,0.508345,0.505997,0.507808,0.524037,0.522798,0.546712,0.530813,0.557119,0.550536,0.501245,0.500858,0.507977,0.514063,0.535796,0.536607,0.542467,0.547354,0.575818,0.573861,0.500308,0.499929,0.507136,0.508823,0.531255,0.527815,0.537458,0.541240,0.573264,0.572080,0.495540,0.495160,0.508160,0.510451,0.525237,0.522391,0.539795,0.538748,0.572099,0.570691
1200,0.423528,0.422371,0.479585,0.478401,0.479782,0.478718,0.541793,0.486215,0.415223,0.415849,0.466558,0.468451,0.489840,0.492120,0.503753,0.499972,0.564149,0.525121,0.490134,0.484047,0.511987,0.510285,0.505385,0.507325,0.526802,0.524657,0.560664,0.535254,0.569942,0.562371,0.498659,0.498934,0.512800,0.520101,0.555011,0.556547,0.567322,0.570134,0.604573,0.602132,0.495839,0.495675,0.511006,0.514195,0.549271,0.545025,0.558180,0.561375,0.600352,0.597619,0.492579,0.492351,0.513261,0.516321,0.540038,0.536765,0.561708,0.557290,0.599667,0.596106
1400,0.406430,0.405102,0.472979,0.471527,0.473963,0.472889,0.566351,0.483695,0.397183,0.398236,0.457437,0.459451,0.486115,0.489165,0.504145,0.499617,0.584877,0.530206,0.486019,0.479197,0.512172,0.510559,0.503070,0.505174,0.527645,0.524875,0.577497,0.538612,0.580482,0.570656,0.501494,0.501756,0.517162,0.525975,0.572850,0.575294,0.590529,0.590835,0.634338,0.629716,0.494864,0.494478,0.514351,0.518170,0.564635,0.559820,0.579829,0.580085,0.628297,0.617648,0.493558,0.493421,0.518164,0.523996,0.555656,0.552306,0.583807,0.576252,0.627220,0.615892
1600,0.387686,0.386105,0.464742,0.463002,0.467352,0.466051,0.592928,0.482113,0.380423,0.381765,0.448933,0.450187,0.481599,0.485617,0.503134,0.498199,0.608930,0.535740,0.481026,0.473445,0.512543,0.510858,0.501867,0.504206,0.528172,0.524810,0.592511,0.540205,0.588676,0.577046,0.503088,0.503777,0.522826,0.534882,0.588761,0.591478,0.612536,0.610016,0.666238,0.655943,0.494635,0.493874,0.514946,0.522976,0.581164,0.576889,0.601529,0.597293,0.656418,0.633537,0.494320,0.494061,0.522270,0.530824,0.572035,0.569302,0.606090,0.595176,0.654119,0.629381
1800,0.367101,0.365436,0.458275,0.456371,0.459703,0.457408,0.621915,0.479537,0.365142,0.366448,0.440681,0.441401,0.478193,0.482796,0.503928,0.498476,0.634567,0.542024,0.475459,0.467194,0.513999,0.512380,0.499858,0.502493,0.528163,0.524400,0.606706,0.541024,0.594574,0.581951,0.502768,0.504011,0.527838,0.542328,0.605749,0.609206,0.637013,0.631148,0.700041,0.677066,0.496230,0.495758,0.517371,0.527455,0.598585,0.593699,0.624559,0.615582,0.682802,0.646076,0.494338,0.494206,0.525125,0.533978,0.588394,0.585734,0.629815,0.613084,0.679282,0.639317
