step,train_loss,qreg_loss,lambda,val_loss,val_loss_snapped
0,6.600279,0.362916,0.000000,6.656465,6.736722
1000,2.650210,0.445029,0.000000,2.616840,2.633268
2000,2.417370,0.477239,0.000000,2.397600,2.399813
3000,2.279175,0.488373,0.000000,2.270576,2.270139
4000,2.219365,0.493814,0.000000,2.219321,2.219545
5000,2.182008,0.497007,0.000000,2.180720,2.179659
6000,2.148939,0.498687,0.000000,2.136367,2.136885
7000,2.115127,0.499513,0.000000,2.118813,2.119799
8000,2.090593,0.499725,0.000000,2.096386,2.096977
9000,2.073749,0.499921,0.000000,2.076517,2.077249
10000,2.057664,0.499873,0.000000,2.048230,2.047606
11000,2.045867,0.486771,0.000250,2.044573,2.043835
12000,2.007745,0.478512,0.000500,2.008168,2.009050
13000,2.018160,0.473212,0.000750,2.009356,2.009228
14000,1.981659,0.469230,0.001000,1.989867,1.989793
15000,2.006874,0.469471,0.001250,1.996517,1.995302
16000,1.982510,0.463788,0.001500,1.985870,1.984108
17000,1.966380,0.459735,0.001750,1.964996,1.963632
18000,1.966924,0.456879,0.002000,1.961998,1.963138
19000,1.966431,0.454462,0.002250,1.956861,1.957175
20000,1.959862,0.449629,0.002500,1.963890,1.963616
21000,1.946231,0.448780,0.002750,1.938742,1.938066
22000,1.938883,0.445053,0.003000,1.933240,1.932071
23000,1.943916,0.442201,0.003250,1.946085,1.946002
24000,1.939344,0.438180,0.003500,1.937303,1.936849
25000,1.932511,0.435756,0.003750,1.932729,1.933068
26000,1.927827,0.431470,0.004000,1.923466,1.923159
27000,1.923596,0.428670,0.004250,1.915016,1.914304
28000,1.920940,0.424141,0.004500,1.920073,1.918910
29000,1.915143,0.418140,0.004750,1.903675,1.903473
30000,1.899394,0.413970,0.005000,1.903258,1.905506
31000,1.901113,0.412743,0.005250,1.903917,1.904120
32000,1.892869,0.405758,0.005500,1.894481,1.893600
33000,1.895673,0.402107,0.005750,1.889429,1.889135
34000,1.884969,0.396364,0.006000,1.888167,1.888342
35000,1.880189,0.390934,0.006250,1.880939,1.881119
36000,1.879742,0.385105,0.006500,1.876313,1.876942
37000,1.879609,0.376931,0.006750,1.878184,1.879367
38000,1.876119,0.370186,0.007000,1.874165,1.873826
39000,1.868004,0.361255,0.007250,1.863284,1.864884
40000,1.865616,0.353147,0.007500,1.866609,1.867578
41000,1.875268,0.347695,0.007750,1.865201,1.862372
42000,1.869073,0.339589,0.008000,1.863258,1.863137
43000,1.867395,0.330534,0.008250,1.858801,1.856813
44000,1.859220,0.320441,0.008500,1.856613,1.854885
45000,1.861648,0.311201,0.008750,1.853796,1.851975
46000,1.852905,0.301600,0.009000,1.850519,1.848004
47000,1.847996,0.293138,0.009250,1.852039,1.851012
48000,1.845718,0.286450,0.009500,1.845638,1.845493
49000,1.853421,0.281322,0.009750,1.850336,1.849197
